# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa (post filter),global (period-level prediction),14,1.320426,-0.094458,-0.101728,0.007270,0.0046,0.003229,0.011478,nan,nan
(i) Δa (post filter),W60,15,1.189609,-0.096464,-0.099769,0.003304,0.0260,0.000984,0.005698,-0.000233,0.006572
(i) Δa (post filter),global (run-level prediction),15,1.327772,-0.108192,-0.000000,-0.108192,0.0001,-0.114903,-0.101048,nan,nan
(i) Δa (post filter),global (period-level prediction),15,1.327772,-0.108192,-0.111309,0.003118,0.2185,-0.001479,0.007486,nan,nan
(i) Δa (post filter),W60,16,1.187665,-0.092246,-0.096001,0.003756,0.0046,0.001736,0.005841,0.000080,0.004638
(i) Δa (post filter),global (run-level prediction),16,1.325072,-0.104057,0.000000,-0.104057,0.0001,-0.108616,-0.098513,nan,nan
(i) Δa (post filter),global (period-level prediction),16,1.325072,-0.104057,-0.110559,0.006502,0.0077,0.002365,0.011414,nan,nan
(i) Δa (post filter),W60,17,1.188981,-0.097607,-0.100648,0.003041,0.0226,0.000851,0.004899,0.000428,0.006155
(i) Δa (post filter),global (run-level prediction),17,1.325922,-0.108169,-0.000000,-0.108169,0.0001,-0.115214,-0.100718,nan,nan
(i) Δa (post filter),global (period-level prediction),17,1.325922,-0.108169,-0.115726,0.007557,0.0070,0.003243,0.011541,nan,nan
(i) Δa (post filter),W60,18,1.185845,-0.092640,-0.096275,0.003635,0.0154,0.001288,0.005974,0.000169,0.007156
(i) Δa (post filter),global (run-level prediction),18,1.324999,-0.101654,0.000000,-0.101654,0.0001,-0.106768,-0.097287,nan,nan
(i) Δa (post filter),global (period-level prediction),18,1.324999,-0.101654,-0.107462,0.005808,0.0143,0.001980,0.009528,nan,nan
(i) Δa (post filter),W60,19,1.188680,-0.095174,-0.097127,0.001953,0.0537,0.000122,0.003519,-0.000167,0.006455
(i) Δa (post filter),global (run-level prediction),19,1.327386,-0.107701,0.000000,-0.107701,0.0001,-0.111445,-0.103849,nan,nan
(i) Δa (post filter),global (period-level prediction),19,1.327386,-0.107701,-0.110647,0.002946,0.1660,-0.001132,0.006331,nan,nan
(i) Δa (post filter),W60,20,1.192309,-0.098913,-0.099918,0.001005,0.3890,-0.000910,0.003126,0.000157,0.004890
(i) Δa (post filter),global (run-level prediction),20,1.326789,-0.106900,0.000000,-0.106900,0.0001,-0.111073,-0.103168,nan,nan
(i) Δa (post filter),global (period-level prediction),20,1.326789,-0.106900,-0.111519,0.004620,0.0015,0.002591,0.006852,nan,nan
(i) Δa (post filter),W60,21,1.191642,-0.097789,-0.099818,0.002029,0.2168,-0.001064,0.004821,0.000207,0.007028
(i) Δa (post filter),global (run-level prediction),21,1.327881,-0.105541,0.000000,-0.105541,0.0001,-0.110742,-0.099829,nan,nan
(i) Δa (post filter),global (period-level prediction),21,1.327881,-0.105541,-0.109236,0.003695,0.0092,0.001310,0.006308,nan,nan
(i) Δa (post filter),W60,22,1.188465,-0.092427,-0.096118,0.003691,0.0001,0.002202,0.005209,-0.000119,0.006558
(i) Δa (post filter),global (run-level prediction),22,1.324773,-0.105936,-0.000000,-0.105936,0.0001,-0.111833,-0.099846,nan,nan
(i) Δa (post filter),global (period-level prediction),22,1.324773,-0.105936,-0.109955,0.004019,0.0264,0.001020,0.006986,nan,nan
(i) Δa (post filter),W60,23,1.190807,-0.094304,-0.097430,0.003126,0.0150,0.001117,0.005258,-0.000019,0.007170
(i) Δa (post filter),global (run-level prediction),23,1.331293,-0.106503,-0.000000,-0.106503,0.0001,-0.111389,-0.101064,nan,nan
(i) Δa (post filter),global (period-level prediction),23,1.331293,-0.106503,-0.111962,0.005459,0.0046,0.002585,0.008414,nan,nan
(i) Δa (post filter),W60,24,1.186289,-0.093975,-0.097163,0.003189,0.0006,0.001692,0.004924,-0.000139,0.006949
(i) Δa (post filter),global (run-level prediction),24,1.322090,-0.102650,0.000000,-0.102650,0.0001,-0.109310,-0.097303,nan,nan
(i) Δa (post filter),global (period-level prediction),24,1.322090,-0.102650,-0.108640,0.005990,0.0009,0.003443,0.008412,nan,nan
(i) Δa (post filter),W60,25,1.183910,-0.087799,-0.091347,0.003548,0.0125,0.001172,0.006243,0.000087,0.006577
(i) Δa (post filter),global (run-level prediction),25,1.322425,-0.102426,0.000000,-0.102426,0.0001,-0.109396,-0.094737,nan,nan
