# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(ii) Δc = +0.01,W60,18,1.189029,-0.002257,-0.002006,-0.000251,0.8926,-0.003594,0.003232,0.000020,-0.001174
(ii) Δc = +0.01,global (run-level prediction),18,1.338317,-0.004623,-0.000000,-0.004623,0.2007,-0.011845,0.001223,nan,nan
(ii) Δc = +0.01,global (period-level prediction),18,1.338317,-0.004623,-0.001949,-0.002674,0.2000,-0.006409,0.000979,nan,nan
(ii) Δc = +0.01,W60,19,1.189161,-0.002333,-0.003159,0.000825,0.5105,-0.001607,0.003171,0.000877,-0.001562
(ii) Δc = +0.01,global (run-level prediction),19,1.336392,-0.002238,-0.000000,-0.002238,0.6533,-0.011199,0.006414,nan,nan
(ii) Δc = +0.01,global (period-level prediction),19,1.336392,-0.002238,-0.001074,-0.001164,0.6779,-0.006590,0.003574,nan,nan
(ii) Δc = +0.01,W60,20,1.187743,0.002095,0.000575,0.001520,0.0339,0.000401,0.002700,0.000515,0.000296
(ii) Δc = +0.01,global (run-level prediction),20,1.336197,-0.001353,0.000000,-0.001353,0.6959,-0.008032,0.005413,nan,nan
(ii) Δc = +0.01,global (period-level prediction),20,1.336197,-0.001353,-0.000912,-0.000440,0.8298,-0.004562,0.003086,nan,nan
(ii) Δc = +0.01,W60,21,1.186729,0.006134,0.004412,0.001722,0.2758,-0.001226,0.004588,0.000115,-0.000192
(ii) Δc = +0.01,global (run-level prediction),21,1.337361,-0.002128,-0.000000,-0.002128,0.5261,-0.008121,0.004280,nan,nan
(ii) Δc = +0.01,global (period-level prediction),21,1.337361,-0.002128,0.000292,-0.002420,0.1691,-0.005292,0.000820,nan,nan
(ii) Δc = +0.01,W60,22,1.189035,0.002027,0.001029,0.000998,0.4451,-0.001332,0.003379,0.000207,-0.000058
(ii) Δc = +0.01,global (run-level prediction),22,1.335800,0.002626,0.000000,0.002626,0.4279,-0.003264,0.008947,nan,nan
(ii) Δc = +0.01,global (period-level prediction),22,1.335800,0.002626,0.001054,0.001572,0.4707,-0.002452,0.005557,nan,nan
(ii) Δc = +0.01,W60,23,1.186572,0.002603,0.003307,-0.000704,0.5088,-0.002717,0.001290,0.000556,-0.000351
(ii) Δc = +0.01,global (run-level prediction),23,1.335203,0.001969,-0.000000,0.001969,0.5934,-0.004690,0.008894,nan,nan
(ii) Δc = +0.01,global (period-level prediction),23,1.335203,0.001969,0.001538,0.000431,0.8416,-0.003909,0.004831,nan,nan
(ii) Δc = +0.01,W60,24,1.186305,0.002989,0.001225,0.001764,0.1964,-0.000687,0.003916,0.000465,0.001916
(ii) Δc = +0.01,global (run-level prediction),24,1.335034,-0.003733,0.000000,-0.003733,0.2473,-0.009230,0.002272,nan,nan
(ii) Δc = +0.01,global (period-level prediction),24,1.335034,-0.003733,-0.000293,-0.003440,0.0463,-0.006395,-0.000650,nan,nan
(ii) Δc = +0.01,W60,25,1.185541,-0.002882,-0.002056,-0.000826,0.4845,-0.002860,0.001406,0.000406,0.001494
(ii) Δc = +0.01,global (run-level prediction),25,1.331016,-0.002437,0.000000,-0.002437,0.5588,-0.009901,0.005661,nan,nan
(ii) Δc = +0.01,global (period-level prediction),25,1.331016,-0.002437,-0.002893,0.000456,0.7877,-0.002664,0.003705,nan,nan
(ii) Δc = +0.01,W60,26,1.187585,-0.000386,-0.001365,0.000979,0.2885,-0.000547,0.002550,0.000494,-0.001406
(ii) Δc = +0.01,global (run-level prediction),26,1.333636,0.001193,0.000000,0.001193,0.5634,-0.002681,0.004814,nan,nan
(ii) Δc = +0.01,global (period-level prediction),26,1.333636,0.001193,-0.000053,0.001245,0.3245,-0.000755,0.003699,nan,nan
(ii) Δc = +0.01,W60,27,1.187877,0.002447,0.000854,0.001593,0.0831,-0.000163,0.003226,0.000188,0.000466
(ii) Δc = +0.01,global (run-level prediction),27,1.336749,-0.000632,-0.000000,-0.000632,0.8280,-0.005660,0.004774,nan,nan
(ii) Δc = +0.01,global (period-level prediction),27,1.336749,-0.000632,-0.001510,0.000878,0.7831,-0.005264,0.006472,nan,nan
(ii) Δc = +0.01,W60,28,1.183613,0.004132,0.002152,0.001979,0.1790,-0.000549,0.004589,-0.000105,-0.000645
(ii) Δc = +0.01,global (run-level prediction),28,1.332466,-0.000290,0.000000,-0.000290,0.9332,-0.007197,0.006088,nan,nan
(ii) Δc = +0.01,global (period-level prediction),28,1.332466,-0.000290,0.002121,-0.002411,0.1929,-0.005745,0.000920,nan,nan
(ii) Δc = +0.01,W60,29,1.186799,-0.000544,-0.001237,0.000693,0.6483,-0.002209,0.003385,-0.000070,-0.000193
(ii) Δc = +0.01,global (run-level prediction),29,1.332701,0.000444,0.000000,0.000444,0.9135,-0.006901,0.007937,nan,nan
(ii) Δc = +0.01,global (period-level prediction),29,1.332701,0.000444,-0.000388,0.000831,0.6497,-0.002404,0.004307,nan,nan
(ii) Δc = +0.01,W60,30,1.187008,0.000029,-0.000330,0.000359,0.8279,-0.002566,0.003503,0.000284,-0.001486
(ii) Δc = +0.01,global (run-level prediction),30,1.332928,0.001524,-0.000000,0.001524,0.5631,-0.003287,0.006434,nan,nan
(ii) Δc = +0.01,global (period-level prediction),30,1.332928,0.001524,-0.001861,0.003385,0.1295,-0.000469,0.007162,nan,nan
(ii) Δc = +0.01,W60,31,1.190739,0.001637,0.000018,0.001619,0.2504,-0.000795,0.004022,0.000582,-0.001099
(ii) Δc = +0.01,global (run-level prediction),31,1.337844,0.000930,-0.000000,0.000930,0.7819,-0.005374,0.007867,nan,nan
(ii) Δc = +0.01,global (period-level prediction),31,1.337844,0.000930,-0.001226,0.002156,0.2887,-0.001473,0.005973,nan,nan
(ii) Δc = +0.01,W60,32,1.188701,0.002048,0.002141,-0.000093,0.9017,-0.001462,0.001349,0.000123,-0.000124
(ii) Δc = +0.01,global (run-level prediction),32,1.335543,0.001645,-0.000000,0.001645,0.5869,-0.003721,0.007272,nan,nan
(ii) Δc = +0.01,global (period-level prediction),32,1.335543,0.001645,0.003451,-0.001806,0.4508,-0.006458,0.002172,nan,nan
(ii) Δc = +0.01,W60,33,1.186275,0.004832,0.004344,0.000488,0.7217,-0.001923,0.003115,0.000105,-0.000602
(ii) Δc = +0.01,global (run-level prediction),33,1.329981,0.008537,-0.000000,0.008537,0.0171,0.002684,0.013820,nan,nan
(ii) Δc = +0.01,global (period-level prediction),33,1.329981,0.008537,0.005501,0.003036,0.0721,0.000345,0.005966,nan,nan
(ii) Δc = +0.01,W60,34,1.190339,0.002190,0.001634,0.000556,0.6477,-0.001522,0.002759,-0.000180,0.000178
(ii) Δc = +0.01,global (run-level prediction),34,1.338772,-0.000619,0.000000,-0.000619,0.8309,-0.005795,0.004667,nan,nan
(ii) Δc = +0.01,global (period-level prediction),34,1.338772,-0.000619,0.000030,-0.000649,0.6757,-0.003472,0.002172,nan,nan
(ii) Δc = +0.01,W60,35,1.187721,0.003394,0.001413,0.001981,0.1565,-0.000384,0.004465,0.000378,-0.001467
(ii) Δc = +0.01,global (run-level prediction),35,1.331158,0.005995,-0.000000,0.005995,0.0425,0.001196,0.011852,nan,nan
(ii) Δc = +0.01,global (period-level prediction),35,1.331158,0.005995,0.001144,0.004851,0.0153,0.001630,0.007897,nan,nan
(ii) Δc = +0.01,W60,36,1.188005,-0.000971,-0.001682,0.000711,0.5034,-0.001140,0.002664,0.000840,-0.001064
(ii) Δc = +0.01,global (run-level prediction),36,1.336410,-0.002605,-0.000000,-0.002605,0.5516,-0.010577,0.005312,nan,nan
(ii) Δc = +0.01,global (period-level prediction),36,1.336410,-0.002605,-0.001815,-0.000790,0.7758,-0.005457,0.004561,nan,nan
(ii) Δc = +0.01,W60,37,1.192731,-0.004945,-0.003452,-0.001493,0.1870,-0.003588,0.000261,0.000021,-0.000105
(ii) Δc = +0.01,global (run-level prediction),37,1.338412,-0.005341,0.000000,-0.005341,0.0551,-0.009853,-0.000770,nan,nan
(ii) Δc = +0.01,global (period-level prediction),37,1.338412,-0.005341,-0.002815,-0.002526,0.3223,-0.007057,0.002404,nan,nan
(ii) Δc = +0.01,W60,38,1.187207,0.001708,0.002290,-0.000583,0.6223,-0.002638,0.001445,0.000662,0.000403
(ii) Δc = +0.01,global (run-level prediction),38,1.332291,0.004291,-0.000000,0.004291,0.2296,-0.001845,0.010704,nan,nan
(ii) Δc = +0.01,global (period-level prediction),38,1.332291,0.004291,-0.000602,0.004893,0.0095,0.001558,0.008076,nan,nan
(ii) Δc = +0.01,W60,39,1.188433,-0.004721,-0.002541,-0.002180,0.0046,-0.003762,-0.000934,0.000283,0.000632
(ii) Δc = +0.01,global (run-level prediction),39,1.334852,-0.002309,0.000000,-0.002309,0.1368,-0.004888,0.000639,nan,nan
(ii) Δc = +0.01,global (period-level prediction),39,1.334852,-0.002309,0.000432,-0.002740,0.0974,-0.005649,0.000206,nan,nan
(ii) Δc = +0.01,W60,40,1.188892,-0.001057,-0.001478,0.000421,0.5420,-0.000860,0.001687,0.000308,-0.001347
(ii) Δc = +0.01,global (run-level prediction),40,1.337089,0.002356,-0.000000,0.002356,0.5562,-0.005407,0.009490,nan,nan
(ii) Δc = +0.01,global (period-level prediction),40,1.337089,0.002356,0.001811,0.000546,0.8235,-0.004166,0.005062,nan,nan
(ii) Δc = +0.01,W60,41,1.187107,0.004128,0.002910,0.001219,0.3358,-0.001098,0.003543,0.000670,0.000380
(ii) Δc = +0.01,global (run-level prediction),41,1.333515,0.006178,-0.000000,0.006178,0.0515,0.000319,0.011357,nan,nan
(ii) Δc = +0.01,global (period-level prediction),41,1.333515,0.006178,0.002382,0.003796,0.0576,0.000476,0.007322,nan,nan
(ii) Δc = +0.01,W60,42,1.190950,-0.007436,-0.006928,-0.000508,0.6063,-0.002323,0.001114,0.000204,0.001450
(ii) Δc = +0.01,global (run-level prediction),42,1.334331,-0.004399,-0.000000,-0.004399,0.1511,-0.009822,0.000876,nan,nan
(ii) Δc = +0.01,global (period-level prediction),42,1.334331,-0.004399,-0.005323,0.000924,0.5115,-0.001664,0.003525,nan,nan
(ii) Δc = +0.01,W60,43,1.190147,-0.004687,-0.006122,0.001435,0.2944,-0.001056,0.003907,-0.000010,-0.001167
(ii) Δc = +0.01,global (run-level prediction),43,1.340423,-0.007096,0.000000,-0.007096,0.0029,-0.010756,-0.003463,nan,nan
(ii) Δc = +0.01,global (period-level prediction),43,1.340423,-0.007096,-0.005516,-0.001579,0.3779,-0.004962,0.001897,nan,nan
(ii) Δc = +0.01,W60,44,1.184798,0.000284,0.000320,-0.000036,0.9738,-0.002209,0.001951,-0.000246,0.000993
(ii) Δc = +0.01,global (run-level prediction),44,1.333633,-0.000863,-0.000000,-0.000863,0.7906,-0.007144,0.004169,nan,nan
(ii) Δc = +0.01,global (period-level prediction),44,1.333633,-0.000863,0.001243,-0.002107,0.3387,-0.006098,0.001454,nan,nan
(ii) Δc = +0.01,W60,45,1.190136,-0.001524,-0.002775,0.001251,0.2496,-0.000862,0.003086,0.000269,-0.001220
(ii) Δc = +0.01,global (run-level prediction),45,1.337426,-0.001387,-0.000000,-0.001387,0.7080,-0.008583,0.005216,nan,nan
(ii) Δc = +0.01,global (period-level prediction),45,1.337426,-0.001387,-0.000007,-0.001380,0.4791,-0.005018,0.002108,nan,nan
(ii) Δc = +0.01,W60,46,1.185571,0.004590,0.005049,-0.000459,0.6514,-0.002278,0.001480,0.000224,-0.000299
(ii) Δc = +0.01,global (run-level prediction),46,1.331668,0.008438,-0.000000,0.008438,0.0607,0.000500,0.015893,nan,nan
(ii) Δc = +0.01,global (period-level prediction),46,1.331668,0.008438,0.005520,0.002918,0.2328,-0.001776,0.007041,nan,nan
(ii) Δc = +0.01,W60,47,1.186067,0.001893,0.000125,0.001768,0.1947,-0.000525,0.004101,0.000025,0.000897
(ii) Δc = +0.01,global (run-level prediction),47,1.333905,0.000186,0.000000,0.000186,0.9650,-0.008111,0.008840,nan,nan
(ii) Δc = +0.01,global (period-level prediction),47,1.333905,0.000186,0.000184,0.000002,0.9998,-0.005111,0.004890,nan,nan
(ii) Δc = +0.01,W60,48,1.187027,-0.002349,0.000368,-0.002717,0.0663,-0.005070,-0.000298,0.000479,0.001199
(ii) Δc = +0.01,global (run-level prediction),48,1.336337,-0.004198,-0.000000,-0.004198,0.1003,-0.008679,0.000425,nan,nan
(ii) Δc = +0.01,global (period-level prediction),48,1.336337,-0.004198,-0.002844,-0.001353,0.4249,-0.004473,0.001551,nan,nan
(ii) Δc = +0.01,W60,49,1.183651,0.004066,0.002941,0.001125,0.3684,-0.001148,0.003252,0.000579,-0.000094
(ii) Δc = +0.01,global (run-level prediction),49,1.331342,0.003306,-0.000000,0.003306,0.4031,-0.003713,0.010122,nan,nan
(ii) Δc = +0.01,global (period-level prediction),49,1.331342,0.003306,0.004551,-0.001245,0.6271,-0.005559,0.003790,nan,nan
(ii) Δc = +0.01,W60,50,1.188519,0.001033,0.000488,0.000546,0.6512,-0.001666,0.002902,0.000426,-0.000719
(ii) Δc = +0.01,global (run-level prediction),50,1.334408,0.002597,0.000000,0.002597,0.4333,-0.003192,0.008493,nan,nan
(ii) Δc = +0.01,global (period-level prediction),50,1.334408,0.002597,0.000979,0.001618,0.4448,-0.002337,0.005587,nan,nan
(ii) Δc = +0.02,W60,1,1.185092,0.003587,0.003370,0.000217,0.8168,-0.001490,0.002091,0.000605,-0.000938
(ii) Δc = +0.02,global (run-level prediction),1,1.336683,-0.000823,0.000000,-0.000823,0.7853,-0.006293,0.004722,nan,nan
(ii) Δc = +0.02,global (period-level prediction),1,1.336683,-0.000823,0.002385,-0.003209,0.0933,-0.006606,0.000020,nan,nan
(ii) Δc = +0.02,W60,2,1.187550,0.001444,0.001801,-0.000357,0.7561,-0.002299,0.001810,0.000378,0.000420
(ii) Δc = +0.02,global (run-level prediction),2,1.335150,0.000948,-0.000000,0.000948,0.8146,-0.006846,0.008121,nan,nan
(ii) Δc = +0.02,global (period-level prediction),2,1.335150,0.000948,-0.000373,0.001321,0.5596,-0.002981,0.005478,nan,nan
(ii) Δc = +0.02,W60,3,1.186965,0.002500,0.000935,0.001566,0.0830,0.000060,0.003168,0.000937,-0.001457
(ii) Δc = +0.02,global (run-level prediction),3,1.332501,0.000740,0.000000,0.000740,0.8290,-0.005652,0.006449,nan,nan
(ii) Δc = +0.02,global (period-level prediction),3,1.332501,0.000740,-0.000793,0.001533,0.5079,-0.002461,0.005753,nan,nan
(ii) Δc = +0.02,W60,4,1.188934,0.000906,0.001351,-0.000445,0.6775,-0.002260,0.001664,0.000429,-0.000407
(ii) Δc = +0.02,global (run-level prediction),4,1.334743,0.002936,-0.000000,0.002936,0.2048,-0.001232,0.007075,nan,nan
(ii) Δc = +0.02,global (period-level prediction),4,1.334743,0.002936,0.000428,0.002508,0.0013,0.001376,0.003647,nan,nan
(ii) Δc = +0.02,W60,5,1.192718,-0.000993,0.002410,-0.003402,0.0120,-0.005803,-0.001293,0.000408,0.001896
(ii) Δc = +0.02,global (run-level prediction),5,1.338489,0.002054,-0.000000,0.002054,0.5396,-0.004135,0.008299,nan,nan
(ii) Δc = +0.02,global (period-level prediction),5,1.338489,0.002054,0.002798,-0.000744,0.7388,-0.004952,0.003489,nan,nan
(ii) Δc = +0.02,W60,6,1.187137,0.004337,0.003249,0.001088,0.3879,-0.001276,0.003359,0.000348,0.000830
(ii) Δc = +0.02,global (run-level prediction),6,1.334098,0.000243,0.000000,0.000243,0.9551,-0.007550,0.007703,nan,nan
(ii) Δc = +0.02,global (period-level prediction),6,1.334098,0.000243,-0.001028,0.001272,0.6006,-0.003224,0.005764,nan,nan
(ii) Δc = +0.02,W60,7,1.184324,0.005219,0.004110,0.001109,0.0952,-0.000084,0.002210,0.000012,-0.001758
(ii) Δc = +0.02,global (run-level prediction),7,1.331724,0.002061,-0.000000,0.002061,0.6288,-0.005121,0.009970,nan,nan
(ii) Δc = +0.02,global (period-level prediction),7,1.331724,0.002061,0.003220,-0.001159,0.5804,-0.004932,0.002822,nan,nan
(ii) Δc = +0.02,W60,8,1.189534,-0.000867,-0.000701,-0.000166,0.9005,-0.002582,0.002488,0.000599,-0.001131
(ii) Δc = +0.02,global (run-level prediction),8,1.336555,-0.000071,-0.000000,-0.000071,0.9855,-0.006272,0.006724,nan,nan
(ii) Δc = +0.02,global (period-level prediction),8,1.336555,-0.000071,0.000499,-0.000570,0.7396,-0.003313,0.002806,nan,nan
(ii) Δc = +0.02,W60,9,1.185536,-0.000845,0.000768,-0.001612,0.2072,-0.003897,0.000571,0.000541,-0.000330
(ii) Δc = +0.02,global (run-level prediction),9,1.329923,0.001365,-0.000000,0.001365,0.6252,-0.003454,0.006416,nan,nan
(ii) Δc = +0.02,global (period-level prediction),9,1.329923,0.001365,0.001639,-0.000274,0.8641,-0.002987,0.002739,nan,nan
(ii) Δc = +0.02,W60,10,1.188159,0.000789,0.001113,-0.000324,0.7977,-0.002561,0.002057,0.000788,0.000803
(ii) Δc = +0.02,global (run-level prediction),10,1.334858,0.004966,-0.000000,0.004966,0.1952,-0.001614,0.011292,nan,nan
(ii) Δc = +0.02,global (period-level prediction),10,1.334858,0.004966,0.003158,0.001808,0.4604,-0.002528,0.006826,nan,nan
(ii) Δc = +0.02,W60,11,1.191697,-0.001102,-0.000080,-0.001022,0.1688,-0.002280,0.000371,0.000366,-0.000663
(ii) Δc = +0.02,global (run-level prediction),11,1.340855,0.000229,-0.000000,0.000229,0.9452,-0.006074,0.006495,nan,nan
(ii) Δc = +0.02,global (period-level prediction),11,1.340855,0.000229,0.001291,-0.001062,0.5934,-0.005069,0.002704,nan,nan
(ii) Δc = +0.02,W60,12,1.186986,-0.000165,-0.000459,0.000294,0.8192,-0.002234,0.002455,0.000376,-0.000942
(ii) Δc = +0.02,global (run-level prediction),12,1.334248,-0.002082,0.000000,-0.002082,0.6121,-0.009332,0.005581,nan,nan
(ii) Δc = +0.02,global (period-level prediction),12,1.334248,-0.002082,-0.001784,-0.000298,0.9083,-0.004608,0.004290,nan,nan
(ii) Δc = +0.02,W60,13,1.190809,0.000626,-0.000155,0.000781,0.6031,-0.002093,0.003283,0.000618,-0.000232
(ii) Δc = +0.02,global (run-level prediction),13,1.339048,0.001883,0.000000,0.001883,0.4573,-0.002557,0.006583,nan,nan
(ii) Δc = +0.02,global (period-level prediction),13,1.339048,0.001883,-0.001255,0.003138,0.1328,-0.000522,0.006887,nan,nan
(ii) Δc = +0.02,W60,14,1.186744,0.001025,0.001151,-0.000126,0.9183,-0.002288,0.002176,0.000446,0.001352
(ii) Δc = +0.02,global (run-level prediction),14,1.333883,0.000006,0.000000,0.000006,0.9985,-0.005803,0.006006,nan,nan
(ii) Δc = +0.02,global (period-level prediction),14,1.333883,0.000006,-0.000665,0.000671,0.6998,-0.002448,0.003863,nan,nan
(ii) Δc = +0.02,W60,15,1.188701,0.000072,0.000598,-0.000526,0.7255,-0.003063,0.002298,0.000585,0.000847
(ii) Δc = +0.02,global (run-level prediction),15,1.337510,-0.000097,-0.000000,-0.000097,0.9730,-0.005747,0.005721,nan,nan
(ii) Δc = +0.02,global (period-level prediction),15,1.337510,-0.000097,0.001219,-0.001315,0.5417,-0.005262,0.002585,nan,nan
(ii) Δc = +0.02,W60,16,1.191481,0.002865,0.003407,-0.000543,0.6189,-0.002636,0.001531,0.000180,0.000439
(ii) Δc = +0.02,global (run-level prediction),16,1.340214,-0.000033,0.000000,-0.000033,0.9932,-0.007177,0.006523,nan,nan
(ii) Δc = +0.02,global (period-level prediction),16,1.340214,-0.000033,-0.000333,0.000300,0.8799,-0.003225,0.003679,nan,nan
(ii) Δc = +0.02,W60,17,1.188542,0.000380,0.000539,-0.000159,0.8934,-0.002233,0.002052,0.000366,0.000282
(ii) Δc = +0.02,global (run-level prediction),17,1.334051,0.000774,0.000000,0.000774,0.7994,-0.004566,0.006314,nan,nan
(ii) Δc = +0.02,global (period-level prediction),17,1.334051,0.000774,0.000895,-0.000122,0.9509,-0.003498,0.002855,nan,nan
(ii) Δc = +0.02,W60,18,1.183982,0.001261,0.000293,0.000968,0.3530,-0.000869,0.002808,0.000782,-0.001841
(ii) Δc = +0.02,global (run-level prediction),18,1.333883,-0.003242,-0.000000,-0.003242,0.3630,-0.009982,0.003451,nan,nan
(ii) Δc = +0.02,global (period-level prediction),18,1.333883,-0.003242,-0.004482,0.001239,0.5182,-0.002184,0.004623,nan,nan
(ii) Δc = +0.02,W60,19,1.188440,-0.001837,0.000353,-0.002190,0.1538,-0.004959,0.000731,0.000704,0.001020
(ii) Δc = +0.02,global (run-level prediction),19,1.337625,-0.004212,-0.000000,-0.004212,0.2383,-0.011153,0.002653,nan,nan
(ii) Δc = +0.02,global (period-level prediction),19,1.337625,-0.004212,-0.000485,-0.003726,0.0986,-0.008014,0.000450,nan,nan
(ii) Δc = +0.02,W60,20,1.191070,-0.000389,0.001188,-0.001577,0.1622,-0.003627,0.000203,-0.000262,-0.000349
(ii) Δc = +0.02,global (run-level prediction),20,1.337070,-0.001902,0.000000,-0.001902,0.4417,-0.006455,0.003001,nan,nan
(ii) Δc = +0.02,global (period-level prediction),20,1.337070,-0.001902,0.000470,-0.002372,0.2539,-0.006021,0.001262,nan,nan
(ii) Δc = +0.02,W60,21,1.190635,-0.001258,-0.001376,0.000118,0.9462,-0.003279,0.003124,0.000463,0.000812
(ii) Δc = +0.02,global (run-level prediction),21,1.338818,-0.001488,0.000000,-0.001488,0.6180,-0.006519,0.004078,nan,nan
(ii) Δc = +0.02,global (period-level prediction),21,1.338818,-0.001488,-0.001129,-0.000358,0.8342,-0.003218,0.002785,nan,nan
(ii) Δc = +0.02,W60,22,1.187216,-0.000720,-0.000226,-0.000494,0.6116,-0.002414,0.001351,0.000455,0.002322
(ii) Δc = +0.02,global (run-level prediction),22,1.334004,0.000539,-0.000000,0.000539,0.8265,-0.004149,0.004870,nan,nan
(ii) Δc = +0.02,global (period-level prediction),22,1.334004,0.000539,-0.001805,0.002343,0.1604,-0.000568,0.005154,nan,nan
(ii) Δc = +0.02,W60,23,1.185864,0.003854,0.002780,0.001074,0.3334,-0.000728,0.002998,0.000822,-0.000798
(ii) Δc = +0.02,global (run-level prediction),23,1.333742,0.005082,-0.000000,0.005082,0.0804,-0.000237,0.009776,nan,nan
(ii) Δc = +0.02,global (period-level prediction),23,1.333742,0.005082,0.001786,0.003297,0.0813,-0.000269,0.006388,nan,nan
(ii) Δc = +0.02,W60,24,1.185531,0.001339,0.003499,-0.002159,0.1525,-0.004825,0.000796,0.000193,-0.001369
(ii) Δc = +0.02,global (run-level prediction),24,1.335327,0.000023,-0.000000,0.000023,0.9944,-0.005725,0.006074,nan,nan
(ii) Δc = +0.02,global (period-level prediction),24,1.335327,0.000023,0.001309,-0.001286,0.4618,-0.004291,0.002162,nan,nan
(ii) Δc = +0.02,W60,25,1.185550,0.001613,0.000289,0.001325,0.3108,-0.001016,0.003761,0.000411,0.000154
(ii) Δc = +0.02,global (run-level prediction),25,1.330113,0.002672,0.000000,0.002672,0.5944,-0.006689,0.010705,nan,nan
(ii) Δc = +0.02,global (period-level prediction),25,1.330113,0.002672,0.001398,0.001274,0.5924,-0.002994,0.005619,nan,nan
(ii) Δc = +0.02,W60,26,1.188282,-0.001075,-0.003256,0.002181,0.0864,0.000099,0.004576,0.000770,-0.000765
(ii) Δc = +0.02,global (run-level prediction),26,1.336759,0.000401,0.000000,0.000401,0.9070,-0.006251,0.006911,nan,nan
(ii) Δc = +0.02,global (period-level prediction),26,1.336759,0.000401,-0.002171,0.002572,0.1361,-0.000448,0.005701,nan,nan
(ii) Δc = +0.02,W60,27,1.184179,0.002695,0.005529,-0.002833,0.0677,-0.005359,-0.000280,0.000453,0.001554
(ii) Δc = +0.02,global (run-level prediction),27,1.330088,0.006562,0.000000,0.006562,0.1097,-0.000581,0.014246,nan,nan
(ii) Δc = +0.02,global (period-level prediction),27,1.330088,0.006562,0.006830,-0.000267,0.9004,-0.004248,0.003482,nan,nan
(ii) Δc = +0.02,W60,28,1.186021,0.005789,0.006391,-0.000602,0.6005,-0.002691,0.001636,0.000410,-0.001512
(ii) Δc = +0.02,global (run-level prediction),28,1.332464,0.010530,0.000000,0.010530,0.0182,0.002681,0.016828,nan,nan
(ii) Δc = +0.02,global (period-level prediction),28,1.332464,0.010530,0.008369,0.002161,0.4476,-0.003474,0.007009,nan,nan
(ii) Δc = +0.02,W60,29,1.183844,-0.001592,-0.000410,-0.001182,0.2676,-0.003038,0.000872,0.000780,0.000397
(ii) Δc = +0.02,global (run-level prediction),29,1.329416,0.002172,0.000000,0.002172,0.3635,-0.002191,0.006274,nan,nan
(ii) Δc = +0.02,global (period-level prediction),29,1.329416,0.002172,-0.000724,0.002896,0.1244,-0.000449,0.006072,nan,nan
(ii) Δc = +0.02,W60,30,1.186339,-0.000861,-0.002804,0.001942,0.1210,-0.000182,0.004088,0.000431,-0.000897
(ii) Δc = +0.02,global (run-level prediction),30,1.332870,0.001106,0.000000,0.001106,0.7341,-0.005148,0.007346,nan,nan
(ii) Δc = +0.02,global (period-level prediction),30,1.332870,0.001106,-0.002820,0.003926,0.0830,0.000320,0.007930,nan,nan
(ii) Δc = +0.02,W60,31,1.186662,0.004255,0.006616,-0.002361,0.0171,-0.003940,-0.000753,0.000478,-0.000114
(ii) Δc = +0.02,global (run-level prediction),31,1.331819,0.006162,0.000000,0.006162,0.1116,-0.001888,0.012306,nan,nan
(ii) Δc = +0.02,global (period-level prediction),31,1.331819,0.006162,0.003968,0.002193,0.2001,-0.001070,0.005302,nan,nan
(ii) Δc = +0.02,W60,32,1.187274,-0.005501,-0.005073,-0.000428,0.7383,-0.002691,0.001992,0.000697,-0.000586
(ii) Δc = +0.02,global (run-level prediction),32,1.336321,-0.006307,0.000000,-0.006307,0.1302,-0.013454,0.000875,nan,nan
(ii) Δc = +0.02,global (period-level prediction),32,1.336321,-0.006307,-0.004500,-0.001807,0.4299,-0.005903,0.002444,nan,nan
(ii) Δc = +0.02,W60,33,1.189306,0.000335,0.000712,-0.000377,0.7660,-0.002628,0.002051,0.000604,-0.000744
(ii) Δc = +0.02,global (run-level prediction),33,1.335640,-0.001188,-0.000000,-0.001188,0.7461,-0.008341,0.006340,nan,nan
(ii) Δc = +0.02,global (period-level prediction),33,1.335640,-0.001188,0.000163,-0.001352,0.5526,-0.005373,0.002948,nan,nan
(ii) Δc = +0.02,W60,34,1.189250,-0.004620,-0.004539,-0.000081,0.9517,-0.002600,0.002355,0.000260,0.000402
(ii) Δc = +0.02,global (run-level prediction),34,1.337696,-0.005779,0.000000,-0.005779,0.0819,-0.011302,-0.000253,nan,nan
(ii) Δc = +0.02,global (period-level prediction),34,1.337696,-0.005779,-0.003701,-0.002078,0.1930,-0.004901,0.000667,nan,nan
(ii) Δc = +0.02,W60,35,1.188585,0.000489,-0.000291,0.000780,0.6268,-0.002257,0.003814,0.000834,-0.000801
(ii) Δc = +0.02,global (run-level prediction),35,1.336536,-0.004415,-0.000000,-0.004415,0.2928,-0.011471,0.004307,nan,nan
(ii) Δc = +0.02,global (period-level prediction),35,1.336536,-0.004415,-0.002102,-0.002314,0.1840,-0.005508,0.000812,nan,nan
(ii) Δc = +0.02,W60,36,1.185000,-0.000267,-0.000853,0.000586,0.6154,-0.001706,0.002708,0.000006,-0.000802
(ii) Δc = +0.02,global (run-level prediction),36,1.335085,-0.006494,-0.000000,-0.006494,0.0597,-0.012533,-0.000368,nan,nan
(ii) Δc = +0.02,global (period-level prediction),36,1.335085,-0.006494,-0.003993,-0.002501,0.3550,-0.007616,0.002165,nan,nan
