variant,subject,condition,n_trs,n_trs_last_window,delta_run,delta_wd,delta_means,delta_within,delta_pool,delta_eps,delta_d60,delta_d60_winsign,a,absq,sumpi,frac_qneg,frac_absq05,frac_absq10
ts_gsr,1,DMT,840,60,0.0041201003071146105,0.004084714136053256,3.538617106135507e-05,0.003632784370099705,0.0005227721153280465,-7.084234937449526e-05,0.003332389792574436,0.00619910290985881,0.8571686860010909,0.19884496570285623,0.9563401835334412,0.5519450800915332,0.1536231884057971,0.312280701754386
ts_gsr,1,PCB,840,60,0.0026297580062331666,0.0026594573418523594,-2.9699335619192466e-05,0.00260775513044005,0.00011640304024288242,-6.470082883057336e-05,0.0022942051377492687,0.005260060111275852,0.8646241910640173,0.189732907496527,0.9637508698023173,0.5533180778032036,0.16628527841342486,0.3348588863463005
ts_gsr,2,DMT,840,60,0.0032483795561306906,0.0032423411629043217,6.038393226369085e-06,0.0027279786354154592,0.0006039894561819734,-8.962692869311145e-05,0.0021898322903326104,0.005394924102393002,0.8601609113814375,0.19032454510446634,0.9692080820029537,0.5351639969488939,0.17925247902364608,0.34401220442410374
ts_gsr,2,PCB,840,60,0.0007452708627979282,0.0007541867329243678,-8.91587012643956e-06,0.0006145560418436977,0.00014239808090116648,-2.7673898204964014e-06,0.00037871986117948424,0.005391462578992428,0.8673845438853283,0.19707336052605334,0.9669672490014334,0.5368421052631579,0.1688787185354691,0.32814645308924484
ts_gsr,3,DMT,840,60,0.003354181898379248,0.0033648167657068435,-1.063486732759551e-05,0.0028190811334704046,0.0005509268012669824,-5.19116903054417e-06,0.0019809544090784665,0.005103809224219554,0.8603008216306539,0.1745407040246306,0.9666715084697348,0.5575896262395118,0.19191456903127382,0.3728451563691838
ts_gsr,3,PCB,839,59,0.00297501749412285,0.002918844303468376,5.6173190654474066e-05,0.002821810100819236,8.200296829399753e-05,1.5031234355142806e-05,0.002685137978799048,0.005384841780259212,0.8707532403515885,0.22654912711006212,0.9706738054935957,0.5372997711670481,0.14172387490465294,0.2826849733028223
ts_gsr,4,DMT,840,60,0.0038864001071786283,0.0038317734976248854,5.462660955374322e-05,0.0034961358245399537,0.0003714039692721082,-3.5766296187176215e-05,0.0031336548643386614,0.008056965317639692,0.8741600410107591,0.1601492594707479,0.9617434799552868,0.5496567505720824,0.22013729977116706,0.41022120518688027
ts_gsr,4,PCB,840,60,0.00492072491884509,0.004890430687571893,3.029423127319741e-05,0.004416298966978878,0.0005034883472320022,-2.935662663898721e-05,0.004073697738780355,0.008332270415445998,0.8791030020340302,0.17115554639922356,0.965062298448515,0.5449275362318841,0.20061022120518687,0.38093058733790996
ts_gsr,5,DMT,840,60,0.0029375829758323518,0.0029307849973458436,6.7979784865081216e-06,0.002603332715723865,0.0002466034790492939,8.084880257268482e-05,0.0021506661934112487,0.006323148955361582,0.8682111021185035,0.18243430133569136,0.9679024923914846,0.5281464530892449,0.17772692601067888,0.3491990846681922
ts_gsr,5,PCB,840,60,0.002642720015949868,0.0026880429897394526,-4.532297378958461e-05,0.002383350803752542,0.0003470946060451016,-4.240242005819103e-05,0.0020017555984209122,0.005951881626311597,0.8719443688065921,0.20466366902331637,0.9556526706994571,0.5437070938215103,0.15087719298245614,0.2988558352402746
ts_gsr,6,DMT,840,60,0.004626218935578981,0.004625894252092637,3.246834863439149e-07,0.0038842733257371744,0.0007633719131669746,-2.1750986811511872e-05,0.0035886177571634596,0.007313558297569482,0.8670758545857133,0.17198495977953587,0.9615414591522203,0.5482837528604119,0.19862700228832952,0.37848970251716246
ts_gsr,6,PCB,840,60,0.004437225314435949,0.004432762295726537,4.4630187094120446e-06,0.004122966789807738,0.0003087803188912744,1.0151870275242809e-06,0.003773550625432309,0.007602860048423681,0.8695330884786282,0.1694494958170207,0.9624449594190485,0.5519450800915332,0.1925247902364607,0.3746758199847445
ts_gsr,7,DMT,840,60,0.0051988795830078,0.005162060364334694,3.68192186731065e-05,0.0038372493832629297,0.0011341178083969206,0.000190693172674843,0.0034493318368385476,0.006672802496029584,0.8680229599479135,0.20854116486337806,0.9574068424733486,0.5278413424866514,0.16384439359267736,0.313348588863463
ts_gsr,7,PCB,840,60,0.0017911283681735144,0.001727056093680227,6.407227449328693e-05,0.0013834516277475117,0.0003788269294308646,-3.522246349814881e-05,0.0008063073505581689,0.0038628898089141717,0.8599213573005478,0.22726637922587958,0.9642219019009114,0.5351639969488939,0.14263920671243327,0.26987032799389776
ts_gsr,8,DMT,840,60,0.003127620405942553,0.0031715661224766653,-4.394571653411175e-05,0.0020957295842312525,0.0010830882527604177,-7.251714515005164e-06,0.001315155102368213,0.005626765699100624,0.8653743164698693,0.1854495386581321,0.9589811940145142,0.5508771929824562,0.17848970251716248,0.3481311975591152
ts_gsr,8,PCB,840,60,0.004590916424931579,0.004586891143631658,4.025281299920808e-06,0.0039008516579863073,0.0007589545985809834,-7.29151129356324e-05,0.003002450209129159,0.008704320301738783,0.8871040595224129,0.20594671135148027,0.952842410333453,0.5568268497330282,0.14279176201372998,0.2889397406559878
ts_gsr,9,DMT,840,60,0.004896356515014336,0.00476417938701511,0.00013217712799922537,0.003909988498000648,0.001050024475907876,-0.00019583358689341364,0.003218739449588872,0.0064640545481257404,0.8691201586379552,0.20620895362128358,0.9618197297455813,0.5455377574370709,0.1597254004576659,0.30785659801678106
ts_gsr,9,PCB,840,60,0.0042798358992058305,0.004276693971007045,3.141928198785652e-06,0.0036601490002220764,0.0006630682355070316,-4.652326472206288e-05,0.0030540029989519317,0.007411199789924034,0.8745473872320791,0.19425569575253712,0.9618784665809468,0.547673531655225,0.1635392829900839,0.32540045766590386
ts_gsr,10,DMT,840,60,0.0032091316022023796,0.003131943116235897,7.718848596648272e-05,0.0026946249913154287,0.0004069884857285486,3.03296391919199e-05,0.0021628530963833533,0.005888030442882092,0.8677822444441905,0.22426550768249784,0.9643152087916459,0.5376048817696415,0.14416475972540047,0.2742944317315027
ts_gsr,10,PCB,840,60,0.0016974028957297753,0.0016876415115711222,9.761384158652985e-06,0.001787821597634702,-2.9775324099311515e-05,-7.040476196426826e-05,0.0013039734105198659,0.005257719709170833,0.8705548831560713,0.20765537358098018,0.9608583409893886,0.5520976353928299,0.15392829900839053,0.30526315789473685
ts_gsr,11,DMT,840,60,0.003451052430533171,0.0034245942036799848,2.6458226853186474e-05,0.002975770861963877,0.0004820701548814727,-3.3246813165365304e-05,0.002849933934417254,0.0056007403684048005,0.8578534799984425,0.18360223127032022,0.9606836221746283,0.5455377574370709,0.17925247902364608,0.3481311975591152
ts_gsr,11,PCB,840,60,0.0017085609293046357,0.0017770760840298745,-6.851515472523888e-05,0.0016753608612815564,8.741124093536315e-05,1.4303981812955421e-05,0.0010418721221229122,0.004684670566476006,0.8602351574800029,0.20789193430344022,0.9655411476238973,0.5458428680396644,0.14263920671243327,0.2933638443935927
