# partB21_inference_revision.py; one row per quantity; git=a9d9ca4
group,label,set,field,source,quoted_at,n,mean,committed_mean,check,p_exact,committed_p,p_tol,pct_lo,pct_hi,inv_lo,inv_hi,t_lo,t_hi,width_ratio,zero_in_pct,zero_in_inv,zero_in_t,n_neg,grid_violations,note
pickle,CCS rtr ts_gsr W60,early,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.020687285323152255,np.float64(-0.020687285323152255),ok,0.0009765625,0.0009765625,1e-09,np.float64(-0.028905396401193904),np.float64(-0.012320249246274497),-0.030235281512141894,-0.01120766846930684,np.float64(-0.030160799280364293),np.float64(-0.011213771365940216),np.float64(1.1472682675107393),no,no,no,12,0,
pickle,CCS rtr ts_gsr W60,late,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.00578506132392301,np.float64(-0.00578506132392301),ok,0.35009765625,0.35009765625,1e-09,np.float64(-0.01679267781963677),np.float64(0.0063460123610782435),-0.019164358017096626,0.007482718992642002,np.float64(-0.01890209290539313),np.float64(0.00733197025754711),np.float64(1.1516242622906843),yes,yes,yes,9,0,
pickle,CCS rtr ts_gsr W60,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.011982881549980189,np.float64(-0.011982881549980189),ok,0.03857421875,0.03857421875,1e-09,np.float64(-0.02152048777641317),np.float64(-0.002207951165563509),-0.02318825932046545,-0.0007473158932839699,np.float64(-0.02310137272420725),np.float64(-0.0008643903757531261),np.float64(1.1619883953811794),no,no,no,9,0,
pickle,CCS rtr ts_gsr W60,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.016077422103520925,np.float64(-0.016077422103520925),ok,0.00537109375,0.00537109375,1e-09,np.float64(-0.024692676933376283),np.float64(-0.007134322974892208),-0.026074056662438977,-0.006020756151877738,np.float64(-0.026046532663115685),np.float64(-0.006108311543926168),np.float64(1.1420945584065767),no,no,no,12,0,
pickle,CCS sts ts_gsr global-bins,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,0.02101053861189865,np.float64(0.02101053861189865),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.015373492610931504),np.float64(0.02696164557581366),0.01442166852248766,0.027674153596414595,np.float64(0.014382919208880116),np.float64(0.02763815801491718),np.float64(1.1436235881670298),no,no,no,0,0,
pickle,CCS sts ts_gsr global-bins,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,0.020465821745743854,np.float64(0.020465821745743854),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.014955648195783966),np.float64(0.026356168616038556),0.013963128370169343,0.02705261051702116,np.float64(0.013902981891849263),np.float64(0.027028661599638446),np.float64(1.148147774341648),no,no,no,0,0,
pickle,CCS sts ts_gsr global-bins,early,did,notes/review_results/inference_rows_ccs.pkl,,14,0.0199062475056138,np.float64(0.0199062475056138),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.014430481544312415),np.float64(0.02577896991023803),0.013464247873988377,0.026592655935179038,np.float64(0.013329627267104963),np.float64(0.026482867744122635),np.float64(1.1568420073116823),no,no,no,0,0,
pickle,CCS sts ts_gsr global-bins,late,did,notes/review_results/inference_rows_ccs.pkl,,14,0.02189397149692653,np.float64(0.02189397149692653),ok,0.000244140625,0.000244140625,1e-09,np.float64(0.015205970965703993),np.float64(0.028663509975020304),0.014343499802170565,0.029492165716612506,np.float64(0.014342735732526937),np.float64(0.02944520726132612),np.float64(1.1256639051133277),no,no,no,1,0,
pickle,CCS sts ts_gsr global-bins,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,0.02421961258202335,np.float64(0.02421961258202335),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.01803435586741269),np.float64(0.030331144280386215),0.01722825911091762,0.031210640246274256,np.float64(0.01723925699637209),np.float64(0.031199968167674612),np.float64(1.1370758498702598),no,no,no,0,0,
pickle,CCS sts ts_gsr global-bins,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,0.024164653587483594,np.float64(0.024164653587483594),ok,0.0001220703125,0.0001220703125,1e-09,np.float64(0.018154867420918507),np.float64(0.030198416750457206),0.017279465413275734,0.031145821327419908,np.float64(0.01721480354827164),np.float64(0.031114503626695548),np.float64(1.1513512781597328),no,no,no,0,0,
pickle,CCS xtx+yty ts_gsr global-bins,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.0807116361822682,np.float64(-0.0807116361822682),ok,0.0201416015625,0.0201416015625,1e-09,np.float64(-0.1424258031650308),np.float64(-0.02149842593446583),-0.14884331814424795,-0.013328954901107344,np.float64(-0.14973473791538522),np.float64(-0.011688534449151189),np.float64(1.1206260017097989),no,no,no,13,0,
pickle,CCS xtx+yty ts_gsr global-bins,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.07823513489801082,np.float64(-0.07823513489801082),ok,0.023193359375,0.023193359375,1e-09,np.float64(-0.1401052916340393),np.float64(-0.019323431056530137),-0.1458991437856571,-0.011470831633748221,np.float64(-0.14660092233016309),np.float64(-0.009869347465858533),np.float64(1.1129842801655006),no,no,no,13,0,
