variant,subject,condition,n_trs,mean_crosslag_deviation,signq_weighted_mean_deviation,slope_deviation_on_q,share_pairs_q_negative,mean_deviation_q_positive,mean_deviation_q_negative,sd_across_pairs,mean_abs_deviation,observed_sts,predicted_sts,residual,mean_pair_a,mean_pair_abs_q,w60_mean_crosslag_deviation,w60_signq_weighted_mean_deviation,w60_slope_deviation_on_q,w60_residual
ts_gsr,1,DMT,840,4.865533346236077e-05,0.004120100307114609,0.019284362518097495,0.5519450800915332,0.0046520587715325225,-0.003688270011372372,0.04335111531729676,0.034593101157746664,1.2333115631380052,1.249907929718501,-0.01659636658049579,0.8571686860010909,0.19884496570285623,6.799386132113986e-05,0.006199102909858811,0.020632176542588195,-0.050070208496318776
ts_gsr,1,PCB,840,2.639751389562544e-05,0.00262975800623317,0.013325843999050492,0.5533180778032036,0.002973206870635973,-0.0023524990387748285,0.040481083277911216,0.032358222604396164,1.2688686915174743,1.2811013913727487,-0.01223269985527442,0.8646241910640173,0.189732907496527,5.5747484770191525e-05,0.0052600601112758535,0.01796135688840351,-0.045869113865167774
ts_gsr,2,DMT,840,9.26189515069053e-05,0.003248379556130686,0.015012324498195923,0.5351639969488939,0.0035937389592327553,-0.0029484051829117564,0.04437476313598781,0.03516683983011466,1.2523242357134665,1.2663869388314644,-0.014062703117997843,0.8601609113814375,0.19032454510446634,0.00014636742884911592,0.005394924102393002,0.018012674889172964,-0.04662640162986829
ts_gsr,2,PCB,840,5.0456103993205987e-05,0.00074527086279794,0.0039215243795944,0.5368421052631579,0.0008590234300586239,-0.0006471313930044086,0.04698466169265431,0.03736286640987056,1.303210560142404,1.3123566642544395,-0.009146104112035536,0.867384543885328,0.19707336052605334,6.593749991128427e-05,0.005391462578992429,0.017154445497845755,-0.04841124062685024
ts_gsr,3,DMT,840,1.5844360078338158e-05,0.0033541818983792555,0.017036757602991795,0.5575896262395118,0.0038087107110671603,-0.0029935434423478137,0.03684047809416604,0.029389150304536524,1.2596646981953181,1.2712261910516454,-0.011561492856327238,0.8603008216306539,0.1745407040246306,8.245848034192433e-05,0.005103809224219554,0.016940591855272108,-0.04214210194296465
ts_gsr,3,PCB,839,2.8133835840687726e-05,0.0029750174941228493,0.011829497231598363,0.5372997711670481,0.0032452451315382433,-0.0027423086854116365,0.03573024463033622,0.028513308282321646,1.3046894618586715,1.319584937002649,-0.014895475143977377,0.8707532403515885,0.22654912711006212,3.9656679550365667e-05,0.005384841780259213,0.017151242885323666,-0.048434636788664776
ts_gsr,4,DMT,840,0.0001801141867135837,0.003886400107178626,0.023108413912589942,0.5496567505720824,0.004514905351704511,-0.00337145492765034,0.03387342628015999,0.02711475948126333,1.3385300842321046,1.3506669712386374,-0.012136887006532815,0.8741600410107592,0.16014925947074787,0.00022680303121643477,0.00805696531763969,0.02856339741286696,-0.04774665153113817
ts_gsr,4,PCB,840,0.000352058882636521,0.00492072491884509,0.025655341085675694,0.5449275362318841,0.005793345259589668,-0.004191994102372224,0.03146850155725275,0.025153881201714884,1.3638008577205059,1.378496942053829,-0.014696084333323256,0.8791030020340302,0.17115554639922356,0.00038368301845273566,0.008332270415445998,0.028794807000395183,-0.05138726660532178
ts_gsr,5,DMT,840,0.00012773246066629063,0.0029375829758323474,0.014881541079795562,0.5281464530892449,0.0032481640294614576,-0.0026601054487165655,0.03769265051245131,0.03019345954268082,1.3016750305379905,1.31337552826075,-0.011700497722759495,0.8682111021185036,0.18243430133569136,0.00026801374123141045,0.006323148955361582,0.021322886990268734,-0.04577042123930441
ts_gsr,5,PCB,840,5.9096938732284104e-05,0.00264272001594987,0.01257217850754519,0.5437070938215103,0.0029606168736110872,-0.0023759328382661725,0.035418719045021835,0.028088180036022776,1.3204314530815244,1.3327987135594503,-0.012367260477925912,0.871944368806592,0.20466366902331637,0.00013878494081092852,0.005951881626311598,0.018991663022241694,-0.04922233106569292
