# partB21_inference_revision.py; per-subject half DiDs (partB19's halves), W = 60; git=a9d9ca4
variant,subject,sts_odd,sts_even,r1_odd,r1_even
ts_gsr,1,-0.1070497969,-0.06159304059,-0.02337442617,-0.01059674547
ts_gsr,2,-0.06371948386,-0.02589254011,-0.004946931492,0.000147733521
ts_gsr,3,-0.1375489303,-0.1727964115,-0.0196344558,-0.03131366977
ts_gsr,4,-0.1266502132,-0.1551470384,-0.01337592217,-0.02714530767
ts_gsr,5,-0.04874217736,0.02507159849,-0.006004057093,0.007284865813
ts_gsr,6,-0.01580043298,-0.08554646398,-0.009619927885,-0.02629184369
ts_gsr,7,-0.06752625921,-0.05926299879,-0.008464760076,-0.006890034674
ts_gsr,8,-0.2303837409,-0.3202229499,-0.05557865129,-0.07152606469
ts_gsr,9,-0.08593684239,-0.1716790027,-0.02469356745,-0.037081052
ts_gsr,10,-0.04859808189,-0.2563831996,0.001414484344,-0.0420424311
ts_gsr,11,-0.1070458243,0.01996504266,-0.02548160438,-0.00420172174
ts_gsr,12,-0.07566221705,-0.06376229749,-0.007064068739,-0.009804383225
ts_gsr,13,-0.02535411188,0.01632901964,-0.001156571328,-0.000111264152
ts_gsr,14,0.04639684312,0.140617467,0.01945086135,0.02838396941
ts_demean,1,-0.09813391766,0.02167968848,-0.02113933439,-0.008260753644
ts_demean,2,-0.05094069835,0.05856246171,-0.01425726332,-0.003030371618
ts_demean,3,-0.1598829772,-0.1520024475,-0.02173191808,-0.0299908146
ts_demean,4,-0.1500693405,-0.1537232124,-0.02385450372,-0.03949091397
ts_demean,5,0.00440148492,-0.05648963058,0.002529780008,-0.002418044968
ts_demean,6,0.01832919065,-0.07520068002,-0.006244521502,-0.02502580673
ts_demean,7,-0.04150613073,-0.1251932351,-0.003854239449,-0.01638003081
ts_demean,8,-0.3196747633,-0.2986577956,-0.07100136091,-0.06148047076
ts_demean,9,-0.2035812686,-0.2266085127,-0.04450260387,-0.03116847422
ts_demean,10,-0.1670620817,-0.2297479126,-0.03523323627,-0.03853063825
ts_demean,11,-0.1929711416,0.04319695774,-0.03784733924,0.002787336272
ts_demean,12,-0.1552010429,-0.1556273616,-0.02385514899,-0.03396837343
ts_demean,13,-0.1068478308,-0.1246832518,-0.02109916302,-0.04047924347
ts_demean,14,0.07375952093,0.1086114446,0.02046305531,0.01774334811
