# partB17_calibration.py; one row per condition × estimator × replicate; git=f1f5fcc
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(ii) Δc = +0.01,global (run-level prediction),13,1.135596,-0.002792,-0.000000,-0.002792,0.5492,-0.010827,0.005683,nan,nan
(ii) Δc = +0.01,global (period-level prediction),13,1.135596,-0.002792,0.000128,-0.002920,0.3605,-0.008954,0.002620,nan,nan
(ii) Δc = +0.01,W60,14,0.714313,0.005875,0.004832,0.001043,0.4146,-0.001340,0.003305,0.007214,-0.000034
(ii) Δc = +0.01,global (run-level prediction),14,1.140688,0.001352,0.000000,0.001352,0.7988,-0.007514,0.011347,nan,nan
(ii) Δc = +0.01,global (period-level prediction),14,1.140688,0.001352,0.004737,-0.003385,0.1241,-0.007316,0.000639,nan,nan
(ii) Δc = +0.01,W60,15,0.711463,0.004697,0.007842,-0.003145,0.1704,-0.007091,0.001097,0.006638,-0.000777
(ii) Δc = +0.01,global (run-level prediction),15,1.135353,0.000157,0.000000,0.000157,0.9755,-0.009488,0.009745,nan,nan
(ii) Δc = +0.01,global (period-level prediction),15,1.135353,0.000157,0.001152,-0.000994,0.7180,-0.006294,0.004357,nan,nan
(ii) Δc = +0.01,W60,16,0.715223,-0.002257,-0.001771,-0.000486,0.7836,-0.003865,0.002611,0.007820,-0.000265
(ii) Δc = +0.01,global (run-level prediction),16,1.137927,-0.003665,-0.000000,-0.003665,0.4933,-0.013481,0.005414,nan,nan
(ii) Δc = +0.01,global (period-level prediction),16,1.137927,-0.003665,0.001966,-0.005631,0.0413,-0.010262,-0.000802,nan,nan
(ii) Δc = +0.01,W60,17,0.717586,0.000171,0.000550,-0.000379,0.8313,-0.003394,0.003003,0.007751,-0.000084
(ii) Δc = +0.01,global (run-level prediction),17,1.138131,0.001900,0.000000,0.001900,0.6377,-0.005477,0.009232,nan,nan
(ii) Δc = +0.01,global (period-level prediction),17,1.138131,0.001900,0.002204,-0.000304,0.9396,-0.007516,0.005650,nan,nan
(ii) Δc = +0.01,W60,18,0.716326,-0.003248,-0.002604,-0.000644,0.6998,-0.003734,0.002547,0.007609,-0.000292
(ii) Δc = +0.01,global (run-level prediction),18,1.135696,-0.002205,0.000000,-0.002205,0.6581,-0.010833,0.005743,nan,nan
(ii) Δc = +0.01,global (period-level prediction),18,1.135696,-0.002205,-0.000446,-0.001759,0.6039,-0.007943,0.004114,nan,nan
(ii) Δc = +0.01,W60,19,0.714815,0.002480,0.003855,-0.001375,0.3394,-0.004068,0.001150,0.007269,-0.001514
(ii) Δc = +0.01,global (run-level prediction),19,1.137580,0.006270,-0.000000,0.006270,0.2273,-0.002557,0.014902,nan,nan
(ii) Δc = +0.01,global (period-level prediction),19,1.137580,0.006270,0.008728,-0.002458,0.5504,-0.010261,0.005993,nan,nan
(ii) Δc = +0.01,W60,20,0.717033,-0.002231,0.000830,-0.003061,0.1130,-0.006395,0.000324,0.008027,-0.000542
(ii) Δc = +0.01,global (run-level prediction),20,1.135984,0.008244,0.000000,0.008244,0.1499,-0.002664,0.018257,nan,nan
(ii) Δc = +0.01,global (period-level prediction),20,1.135984,0.008244,0.006250,0.001994,0.5066,-0.003501,0.007329,nan,nan
(ii) Δc = +0.01,W60,21,0.716762,-0.001302,0.000032,-0.001334,0.3440,-0.003905,0.001140,0.006747,0.000311
(ii) Δc = +0.01,global (run-level prediction),21,1.137773,-0.006348,0.000000,-0.006348,0.2123,-0.015858,0.002725,nan,nan
(ii) Δc = +0.01,global (period-level prediction),21,1.137773,-0.006348,-0.001288,-0.005061,0.1495,-0.011733,0.001075,nan,nan
(ii) Δc = +0.01,W60,22,0.712146,0.004012,0.008980,-0.004968,0.0065,-0.007762,-0.002141,0.007064,-0.000058
(ii) Δc = +0.01,global (run-level prediction),22,1.134116,0.000625,0.000000,0.000625,0.8608,-0.005739,0.007091,nan,nan
(ii) Δc = +0.01,global (period-level prediction),22,1.134116,0.000625,0.008339,-0.007713,0.0168,-0.012715,-0.002476,nan,nan
(ii) Δc = +0.01,W60,23,0.714457,-0.002785,0.001437,-0.004222,0.0508,-0.007875,-0.000494,0.008274,0.000409
(ii) Δc = +0.01,global (run-level prediction),23,1.138031,-0.000867,0.000000,-0.000867,0.7983,-0.007727,0.005488,nan,nan
(ii) Δc = +0.01,global (period-level prediction),23,1.138031,-0.000867,-0.000187,-0.000680,0.8015,-0.005511,0.004324,nan,nan
(ii) Δc = +0.01,W60,24,0.716043,-0.002791,-0.000164,-0.002626,0.1963,-0.006518,0.000786,0.008024,-0.000544
(ii) Δc = +0.01,global (run-level prediction),24,1.140486,0.000694,0.000000,0.000694,0.8511,-0.005956,0.008320,nan,nan
(ii) Δc = +0.01,global (period-level prediction),24,1.140486,0.000694,0.003719,-0.003025,0.3606,-0.008938,0.002992,nan,nan
(ii) Δc = +0.01,W60,25,0.715760,0.005425,0.006603,-0.001178,0.5092,-0.004486,0.001950,0.008229,0.000348
(ii) Δc = +0.01,global (run-level prediction),25,1.136916,0.006109,0.000000,0.006109,0.2261,-0.002812,0.014925,nan,nan
(ii) Δc = +0.01,global (period-level prediction),25,1.136916,0.006109,0.007947,-0.001838,0.5359,-0.007612,0.003571,nan,nan
(ii) Δc = +0.01,W60,26,0.713856,0.004551,0.006563,-0.002013,0.1437,-0.004601,0.000130,0.006960,-0.000217
(ii) Δc = +0.01,global (run-level prediction),26,1.137197,-0.000202,-0.000000,-0.000202,0.9731,-0.012878,0.011178,nan,nan
(ii) Δc = +0.01,global (period-level prediction),26,1.137197,-0.000202,0.008738,-0.008940,0.0098,-0.014242,-0.003625,nan,nan
(ii) Δc = +0.01,W60,27,0.714005,0.001069,-0.002007,0.003075,0.1780,-0.000904,0.007123,0.007978,0.000212
(ii) Δc = +0.01,global (run-level prediction),27,1.138643,-0.001139,-0.000000,-0.001139,0.8208,-0.010645,0.007155,nan,nan
(ii) Δc = +0.01,global (period-level prediction),27,1.138643,-0.001139,-0.000962,-0.000177,0.9602,-0.007155,0.006849,nan,nan
(ii) Δc = +0.01,W60,28,0.714049,0.003373,0.002276,0.001097,0.4939,-0.001903,0.003750,0.007719,0.000103
(ii) Δc = +0.01,global (run-level prediction),28,1.136688,0.002470,0.000000,0.002470,0.4572,-0.003311,0.008884,nan,nan
(ii) Δc = +0.01,global (period-level prediction),28,1.136688,0.002470,0.003268,-0.000798,0.7538,-0.005331,0.003895,nan,nan
(ii) Δc = +0.01,W60,29,0.714299,0.000775,0.001832,-0.001057,0.3284,-0.002981,0.000759,0.009581,-0.000911
(ii) Δc = +0.01,global (run-level prediction),29,1.140862,-0.004156,-0.000000,-0.004156,0.4630,-0.015422,0.005460,nan,nan
(ii) Δc = +0.01,global (period-level prediction),29,1.140862,-0.004156,0.000615,-0.004771,0.2089,-0.011689,0.001986,nan,nan
(ii) Δc = +0.01,W60,30,0.714886,-0.000347,-0.003337,0.002990,0.1412,-0.000552,0.006617,0.008042,-0.000673
(ii) Δc = +0.01,global (run-level prediction),30,1.138676,-0.008816,-0.000000,-0.008816,0.2548,-0.023339,0.005075,nan,nan
(ii) Δc = +0.01,global (period-level prediction),30,1.138676,-0.008816,-0.004956,-0.003859,0.1721,-0.008612,0.000949,nan,nan
(ii) Δc = +0.01,W60,31,0.711865,0.006409,0.006362,0.000046,0.9753,-0.002197,0.002442,0.008000,-0.000326
(ii) Δc = +0.01,global (run-level prediction),31,1.133542,0.010221,0.000000,0.010221,0.1277,-0.001246,0.022359,nan,nan
(ii) Δc = +0.01,global (period-level prediction),31,1.133542,0.010221,0.013489,-0.003268,0.2179,-0.008212,0.001229,nan,nan
(ii) Δc = +0.01,W60,32,0.717234,-0.001932,-0.000466,-0.001466,0.5032,-0.005681,0.002114,0.007970,0.000618
(ii) Δc = +0.01,global (run-level prediction),32,1.143953,-0.003795,0.000000,-0.003795,0.3334,-0.010497,0.002775,nan,nan
(ii) Δc = +0.01,global (period-level prediction),32,1.143953,-0.003795,-0.000361,-0.003433,0.2688,-0.008728,0.001973,nan,nan
(ii) Δc = +0.01,W60,33,0.719942,-0.002294,-0.001801,-0.000494,0.8269,-0.004852,0.003603,0.006835,-0.000343
(ii) Δc = +0.01,global (run-level prediction),33,1.144573,-0.002918,-0.000000,-0.002918,0.4933,-0.010336,0.005000,nan,nan
(ii) Δc = +0.01,global (period-level prediction),33,1.144573,-0.002918,0.003688,-0.006606,0.0371,-0.011943,-0.001220,nan,nan
(ii) Δc = +0.01,W60,34,0.714939,-0.001521,0.000102,-0.001623,0.4219,-0.005610,0.002215,0.006720,0.000405
(ii) Δc = +0.01,global (run-level prediction),34,1.137145,-0.003631,-0.000000,-0.003631,0.4060,-0.011754,0.004591,nan,nan
(ii) Δc = +0.01,global (period-level prediction),34,1.137145,-0.003631,-0.000029,-0.003602,0.2896,-0.009491,0.002361,nan,nan
(ii) Δc = +0.01,W60,35,0.714050,0.006544,0.007343,-0.000799,0.6869,-0.004485,0.002765,0.007178,-0.000364
(ii) Δc = +0.01,global (run-level prediction),35,1.144410,0.000251,0.000000,0.000251,0.9635,-0.009939,0.010942,nan,nan
(ii) Δc = +0.01,global (period-level prediction),35,1.144410,0.000251,0.000838,-0.000588,0.8627,-0.006950,0.005492,nan,nan
(ii) Δc = +0.01,W60,36,0.716564,0.001257,0.002298,-0.001040,0.6177,-0.004951,0.002664,0.008351,0.000140
(ii) Δc = +0.01,global (run-level prediction),36,1.143417,0.005715,-0.000000,0.005715,0.3297,-0.005746,0.015343,nan,nan
(ii) Δc = +0.01,global (period-level prediction),36,1.143417,0.005715,0.007495,-0.001780,0.5647,-0.007327,0.004038,nan,nan
(ii) Δc = +0.01,W60,37,0.714935,0.007294,0.010852,-0.003557,0.0450,-0.006512,-0.000778,0.007634,-0.000947
(ii) Δc = +0.01,global (run-level prediction),37,1.137519,0.004104,-0.000000,0.004104,0.3687,-0.004856,0.011574,nan,nan
(ii) Δc = +0.01,global (period-level prediction),37,1.137519,0.004104,0.008323,-0.004219,0.0924,-0.009062,0.000042,nan,nan
(ii) Δc = +0.01,W60,38,0.713659,0.001719,0.004835,-0.003116,0.0649,-0.006211,-0.000280,0.008426,-0.000019
(ii) Δc = +0.01,global (run-level prediction),38,1.139004,0.002983,-0.000000,0.002983,0.6075,-0.007013,0.014056,nan,nan
(ii) Δc = +0.01,global (period-level prediction),38,1.139004,0.002983,0.003607,-0.000624,0.8624,-0.007213,0.006423,nan,nan
(ii) Δc = +0.01,W60,39,0.714927,0.002248,0.000845,0.001403,0.4021,-0.001402,0.004409,0.008723,-0.000207
(ii) Δc = +0.01,global (run-level prediction),39,1.144647,-0.003077,0.000000,-0.003077,0.5857,-0.013673,0.006763,nan,nan
(ii) Δc = +0.01,global (period-level prediction),39,1.144647,-0.003077,0.000709,-0.003786,0.1949,-0.008922,0.001353,nan,nan
(ii) Δc = +0.01,W60,40,0.715537,-0.004631,-0.005152,0.000521,0.7812,-0.003277,0.003895,0.006985,-0.000130
(ii) Δc = +0.01,global (run-level prediction),40,1.144297,-0.008300,-0.000000,-0.008300,0.0424,-0.015550,-0.001854,nan,nan
(ii) Δc = +0.01,global (period-level prediction),40,1.144297,-0.008300,-0.003991,-0.004309,0.0194,-0.007198,-0.001466,nan,nan
(ii) Δc = +0.01,W60,41,0.716882,0.000170,0.001618,-0.001448,0.4064,-0.004816,0.001663,0.007614,-0.000309
(ii) Δc = +0.01,global (run-level prediction),41,1.135400,0.005943,0.000000,0.005943,0.1638,-0.002530,0.013485,nan,nan
(ii) Δc = +0.01,global (period-level prediction),41,1.135400,0.005943,0.007049,-0.001106,0.6536,-0.005414,0.003316,nan,nan
(ii) Δc = +0.01,W60,42,0.713806,-0.004497,-0.002610,-0.001887,0.3149,-0.005191,0.001348,0.006138,-0.000629
(ii) Δc = +0.01,global (run-level prediction),42,1.134623,-0.002948,-0.000000,-0.002948,0.6271,-0.013728,0.008146,nan,nan
(ii) Δc = +0.01,global (period-level prediction),42,1.134623,-0.002948,-0.001508,-0.001440,0.6227,-0.007073,0.003841,nan,nan
(ii) Δc = +0.01,W60,43,0.716033,0.002483,0.001275,0.001208,0.2780,-0.000735,0.003191,0.008591,-0.001244
(ii) Δc = +0.01,global (run-level prediction),43,1.137428,0.004224,-0.000000,0.004224,0.4525,-0.007016,0.014822,nan,nan
(ii) Δc = +0.01,global (period-level prediction),43,1.137428,0.004224,0.001112,0.003112,0.3510,-0.002917,0.008852,nan,nan
(ii) Δc = +0.01,W60,44,0.716866,0.000454,0.001675,-0.001221,0.4591,-0.004181,0.001972,0.007461,0.000187
(ii) Δc = +0.01,global (run-level prediction),44,1.142240,-0.005155,0.000000,-0.005155,0.3962,-0.016595,0.004704,nan,nan
(ii) Δc = +0.01,global (period-level prediction),44,1.142240,-0.005155,-0.000277,-0.004877,0.1675,-0.010877,0.001495,nan,nan
(ii) Δc = +0.01,W60,45,0.713833,-0.000328,-0.000789,0.000461,0.7487,-0.002477,0.003125,0.007949,0.000102
(ii) Δc = +0.01,global (run-level prediction),45,1.139591,-0.000178,0.000000,-0.000178,0.9686,-0.008216,0.008074,nan,nan
(ii) Δc = +0.01,global (period-level prediction),45,1.139591,-0.000178,0.000402,-0.000580,0.8019,-0.004484,0.002714,nan,nan
(ii) Δc = +0.01,W60,46,0.712423,0.008489,0.007615,0.000873,0.5809,-0.002102,0.003847,0.008644,0.000160
(ii) Δc = +0.01,global (run-level prediction),46,1.136177,0.009642,0.000000,0.009642,0.1016,0.000206,0.019772,nan,nan
(ii) Δc = +0.01,global (period-level prediction),46,1.136177,0.009642,0.008064,0.001578,0.5953,-0.004192,0.007192,nan,nan
(ii) Δc = +0.01,W60,47,0.719320,-0.002091,-0.002402,0.000311,0.8794,-0.003579,0.003949,0.006528,0.000155
(ii) Δc = +0.01,global (run-level prediction),47,1.142777,-0.000573,0.000000,-0.000573,0.9189,-0.011241,0.008443,nan,nan
(ii) Δc = +0.01,global (period-level prediction),47,1.142777,-0.000573,-0.000654,0.000081,0.9857,-0.007603,0.008265,nan,nan
(ii) Δc = +0.01,W60,48,0.717687,0.000953,0.001960,-0.001007,0.5908,-0.004548,0.002510,0.008291,-0.000457
(ii) Δc = +0.01,global (run-level prediction),48,1.140269,0.000200,-0.000000,0.000200,0.9612,-0.007551,0.007148,nan,nan
(ii) Δc = +0.01,global (period-level prediction),48,1.140269,0.000200,0.000807,-0.000607,0.8820,-0.007814,0.007251,nan,nan
(ii) Δc = +0.01,W60,49,0.713454,0.001867,0.002313,-0.000446,0.7987,-0.003510,0.002662,0.006454,-0.001305
(ii) Δc = +0.01,global (run-level prediction),49,1.142985,0.000979,-0.000000,0.000979,0.8440,-0.008298,0.010850,nan,nan
(ii) Δc = +0.01,global (period-level prediction),49,1.142985,0.000979,-0.000015,0.000994,0.7727,-0.005684,0.007299,nan,nan
(ii) Δc = +0.01,W60,50,0.713072,0.004340,0.007655,-0.003315,0.0275,-0.005511,-0.000686,0.008135,-0.000568
(ii) Δc = +0.01,global (run-level prediction),50,1.139869,0.000829,-0.000000,0.000829,0.8927,-0.010455,0.012093,nan,nan
(ii) Δc = +0.01,global (period-level prediction),50,1.139869,0.000829,0.001346,-0.000517,0.8801,-0.006241,0.006024,nan,nan
(ii) Δc = +0.02,W60,1,0.715235,0.001393,0.006854,-0.005460,0.0303,-0.009389,-0.001305,0.014666,0.000254
(ii) Δc = +0.02,global (run-level prediction),1,1.142490,-0.002265,0.000000,-0.002265,0.5747,-0.009203,0.005521,nan,nan
(ii) Δc = +0.02,global (period-level prediction),1,1.142490,-0.002265,0.010561,-0.012826,0.0005,-0.017102,-0.008275,nan,nan
(ii) Δc = +0.02,W60,2,0.713327,0.006188,0.009882,-0.003694,0.0758,-0.006880,-0.000206,0.014278,-0.000151
(ii) Δc = +0.02,global (run-level prediction),2,1.146436,-0.003006,0.000000,-0.003006,0.4022,-0.009932,0.003425,nan,nan
(ii) Δc = +0.02,global (period-level prediction),2,1.146436,-0.003006,0.007050,-0.010056,0.0040,-0.015662,-0.004361,nan,nan
(ii) Δc = +0.02,W60,3,0.714747,-0.000305,0.005243,-0.005548,0.0098,-0.008762,-0.002218,0.014520,-0.000548
(ii) Δc = +0.02,global (run-level prediction),3,1.146327,-0.008511,-0.000000,-0.008511,0.2491,-0.022581,0.003816,nan,nan
(ii) Δc = +0.02,global (period-level prediction),3,1.146327,-0.008511,0.008960,-0.017471,0.0016,-0.024789,-0.009610,nan,nan
(ii) Δc = +0.02,W60,4,0.710238,-0.000618,0.005568,-0.006186,0.0044,-0.009103,-0.002511,0.014131,-0.000109
(ii) Δc = +0.02,global (run-level prediction),4,1.148837,-0.006662,0.000000,-0.006662,0.2340,-0.016557,0.001168,nan,nan
(ii) Δc = +0.02,global (period-level prediction),4,1.148837,-0.006662,0.004967,-0.011629,0.0040,-0.018486,-0.005464,nan,nan
(ii) Δc = +0.02,W60,5,0.715173,0.001605,0.007177,-0.005572,0.0035,-0.008259,-0.002747,0.014127,-0.001344
(ii) Δc = +0.02,global (run-level prediction),5,1.140916,0.000149,-0.000000,0.000149,0.9773,-0.010191,0.009302,nan,nan
(ii) Δc = +0.02,global (period-level prediction),5,1.140916,0.000149,0.010192,-0.010042,0.0026,-0.014824,-0.005392,nan,nan
(ii) Δc = +0.02,W60,6,0.715023,-0.000952,-0.000697,-0.000255,0.8542,-0.002972,0.002264,0.015189,0.000578
(ii) Δc = +0.02,global (run-level prediction),6,1.146069,-0.006121,-0.000000,-0.006121,0.3540,-0.018836,0.005290,nan,nan
(ii) Δc = +0.02,global (period-level prediction),6,1.146069,-0.006121,0.001275,-0.007397,0.0795,-0.014305,-0.000730,nan,nan
(ii) Δc = +0.02,W60,7,0.716852,0.001699,0.008450,-0.006751,0.0009,-0.009761,-0.003867,0.013641,0.000051
(ii) Δc = +0.02,global (run-level prediction),7,1.146666,-0.006653,0.000000,-0.006653,0.1129,-0.014244,0.000719,nan,nan
(ii) Δc = +0.02,global (period-level prediction),7,1.146666,-0.006653,0.009110,-0.015763,0.0021,-0.022899,-0.008956,nan,nan
(ii) Δc = +0.02,W60,8,0.712145,0.006349,0.010154,-0.003805,0.0189,-0.006344,-0.000950,0.013970,-0.000948
(ii) Δc = +0.02,global (run-level prediction),8,1.142596,-0.004084,-0.000000,-0.004084,0.5514,-0.015898,0.009646,nan,nan
(ii) Δc = +0.02,global (period-level prediction),8,1.142596,-0.004084,0.009949,-0.014033,0.0011,-0.020180,-0.008010,nan,nan
(ii) Δc = +0.02,W60,9,0.714925,-0.004665,0.001850,-0.006515,0.0031,-0.009675,-0.003289,0.016539,0.000154
(ii) Δc = +0.02,global (run-level prediction),9,1.142338,-0.003566,-0.000000,-0.003566,0.3955,-0.010916,0.004274,nan,nan
(ii) Δc = +0.02,global (period-level prediction),9,1.142338,-0.003566,0.008879,-0.012445,0.0037,-0.019048,-0.005694,nan,nan
(ii) Δc = +0.02,W60,10,0.719825,-0.008170,-0.001214,-0.006957,0.0005,-0.009584,-0.004265,0.014691,-0.000286
(ii) Δc = +0.02,global (run-level prediction),10,1.147944,-0.008160,-0.000000,-0.008160,0.0350,-0.014364,-0.001589,nan,nan
(ii) Δc = +0.02,global (period-level prediction),10,1.147944,-0.008160,0.005706,-0.013866,0.0013,-0.020514,-0.007565,nan,nan
(ii) Δc = +0.02,W60,11,0.716353,-0.003452,0.003820,-0.007272,0.0024,-0.011730,-0.003026,0.015732,-0.000695
(ii) Δc = +0.02,global (run-level prediction),11,1.144132,-0.007906,0.000000,-0.007906,0.2360,-0.019656,0.004520,nan,nan
(ii) Δc = +0.02,global (period-level prediction),11,1.144132,-0.007906,0.009418,-0.017324,0.0005,-0.024016,-0.011273,nan,nan
(ii) Δc = +0.02,W60,12,0.713854,0.007078,0.011817,-0.004739,0.0370,-0.008620,-0.000830,0.014318,-0.000468
(ii) Δc = +0.02,global (run-level prediction),12,1.138976,0.008929,0.000000,0.008929,0.0214,0.002635,0.015030,nan,nan
(ii) Δc = +0.02,global (period-level prediction),12,1.138976,0.008929,0.019742,-0.010813,0.0051,-0.015877,-0.004875,nan,nan
(ii) Δc = +0.02,W60,13,0.716597,-0.004145,0.002478,-0.006623,0.0033,-0.009770,-0.003454,0.015443,0.000467
(ii) Δc = +0.02,global (run-level prediction),13,1.146306,-0.002457,-0.000000,-0.002457,0.6218,-0.010669,0.007473,nan,nan
(ii) Δc = +0.02,global (period-level prediction),13,1.146306,-0.002457,0.008404,-0.010861,0.0135,-0.017643,-0.003634,nan,nan
(ii) Δc = +0.02,W60,14,0.720150,-0.002135,0.005107,-0.007242,0.0042,-0.011520,-0.003170,0.014789,0.000209
(ii) Δc = +0.02,global (run-level prediction),14,1.147254,-0.003344,0.000000,-0.003344,0.5604,-0.013704,0.007304,nan,nan
(ii) Δc = +0.02,global (period-level prediction),14,1.147254,-0.003344,0.007113,-0.010458,0.0181,-0.017962,-0.003067,nan,nan
(ii) Δc = +0.02,W60,15,0.716303,0.000061,0.004584,-0.004522,0.0101,-0.007208,-0.001779,0.014789,-0.000833
(ii) Δc = +0.02,global (run-level prediction),15,1.150578,-0.008788,0.000000,-0.008788,0.1171,-0.019731,0.001484,nan,nan
(ii) Δc = +0.02,global (period-level prediction),15,1.150578,-0.008788,0.006398,-0.015186,0.0005,-0.020655,-0.009354,nan,nan
(ii) Δc = +0.02,W60,16,0.720122,0.000578,0.006067,-0.005489,0.0258,-0.009369,-0.001298,0.014028,-0.000824
(ii) Δc = +0.02,global (run-level prediction),16,1.147741,-0.003606,-0.000000,-0.003606,0.4871,-0.012377,0.006760,nan,nan
(ii) Δc = +0.02,global (period-level prediction),16,1.147741,-0.003606,0.007586,-0.011192,0.0084,-0.016906,-0.004104,nan,nan
(ii) Δc = +0.02,W60,17,0.714014,0.004825,0.010982,-0.006157,0.0126,-0.010419,-0.002469,0.014197,-0.000734
(ii) Δc = +0.02,global (run-level prediction),17,1.142264,-0.004756,-0.000000,-0.004756,0.2117,-0.011634,0.002346,nan,nan
(ii) Δc = +0.02,global (period-level prediction),17,1.142264,-0.004756,0.010105,-0.014861,0.0001,-0.018387,-0.010987,nan,nan
(ii) Δc = +0.02,W60,18,0.718277,-0.001092,0.003604,-0.004696,0.0680,-0.009187,-0.000336,0.014270,-0.000547
(ii) Δc = +0.02,global (run-level prediction),18,1.143970,0.003455,0.000000,0.003455,0.4503,-0.005082,0.012090,nan,nan
(ii) Δc = +0.02,global (period-level prediction),18,1.143970,0.003455,0.011147,-0.007691,0.0677,-0.015242,-0.000290,nan,nan
(ii) Δc = +0.02,W60,19,0.713510,0.004681,0.008517,-0.003836,0.1102,-0.007652,0.000227,0.013852,-0.000009
(ii) Δc = +0.02,global (run-level prediction),19,1.142523,0.006656,-0.000000,0.006656,0.2709,-0.003154,0.017637,nan,nan
(ii) Δc = +0.02,global (period-level prediction),19,1.142523,0.006656,0.012522,-0.005867,0.1200,-0.012629,0.001361,nan,nan
(ii) Δc = +0.02,W60,20,0.716275,-0.000919,0.001406,-0.002325,0.2451,-0.005875,0.001584,0.016024,-0.000770
(ii) Δc = +0.02,global (run-level prediction),20,1.144073,-0.001620,-0.000000,-0.001620,0.7926,-0.012400,0.008804,nan,nan
(ii) Δc = +0.02,global (period-level prediction),20,1.144073,-0.001620,0.009806,-0.011426,0.0167,-0.020277,-0.002796,nan,nan
(ii) Δc = +0.02,W60,21,0.712912,0.006144,0.010319,-0.004175,0.0067,-0.006793,-0.001834,0.014619,-0.001128
(ii) Δc = +0.02,global (run-level prediction),21,1.139806,0.008646,-0.000000,0.008646,0.0479,0.000911,0.016560,nan,nan
(ii) Δc = +0.02,global (period-level prediction),21,1.139806,0.008646,0.016339,-0.007693,0.0112,-0.012944,-0.003100,nan,nan
(ii) Δc = +0.02,W60,22,0.711998,0.001402,0.007150,-0.005748,0.0167,-0.009404,-0.002069,0.014383,-0.000725
(ii) Δc = +0.02,global (run-level prediction),22,1.142427,-0.008556,-0.000000,-0.008556,0.0824,-0.017940,-0.000288,nan,nan
(ii) Δc = +0.02,global (period-level prediction),22,1.142427,-0.008556,0.004858,-0.013414,0.0001,-0.019332,-0.008235,nan,nan
(ii) Δc = +0.02,W60,23,0.717516,0.000486,0.007434,-0.006949,0.0094,-0.011004,-0.002662,0.014515,-0.000375
(ii) Δc = +0.02,global (run-level prediction),23,1.145539,-0.003299,0.000000,-0.003299,0.4546,-0.011738,0.004842,nan,nan
(ii) Δc = +0.02,global (period-level prediction),23,1.145539,-0.003299,0.010325,-0.013624,0.0013,-0.019185,-0.008140,nan,nan
(ii) Δc = +0.02,W60,24,0.713999,0.005630,0.010637,-0.005007,0.0005,-0.007277,-0.002826,0.014873,-0.000317
(ii) Δc = +0.02,global (run-level prediction),24,1.145276,0.004703,0.000000,0.004703,0.4258,-0.006790,0.015521,nan,nan
(ii) Δc = +0.02,global (period-level prediction),24,1.145276,0.004703,0.017374,-0.012671,0.0061,-0.021429,-0.004632,nan,nan
(ii) Δc = +0.02,W60,25,0.719147,0.004082,0.007591,-0.003509,0.2279,-0.008668,0.002162,0.015077,-0.000581
(ii) Δc = +0.02,global (run-level prediction),25,1.146633,-0.003792,-0.000000,-0.003792,0.3800,-0.011694,0.004368,nan,nan
(ii) Δc = +0.02,global (period-level prediction),25,1.146633,-0.003792,0.009001,-0.012793,0.0022,-0.019165,-0.006908,nan,nan
(ii) Δc = +0.02,W60,26,0.717879,-0.000400,0.002696,-0.003096,0.1411,-0.006777,0.000630,0.015245,0.000044
(ii) Δc = +0.02,global (run-level prediction),26,1.148047,-0.003691,0.000000,-0.003691,0.5123,-0.014060,0.007260,nan,nan
(ii) Δc = +0.02,global (period-level prediction),26,1.148047,-0.003691,0.009112,-0.012804,0.0099,-0.020874,-0.005150,nan,nan
(ii) Δc = +0.02,W60,27,0.714307,0.003848,0.011110,-0.007262,0.0031,-0.011345,-0.003450,0.013915,-0.000031
(ii) Δc = +0.02,global (run-level prediction),27,1.143943,-0.003044,0.000000,-0.003044,0.6001,-0.014126,0.007465,nan,nan
(ii) Δc = +0.02,global (period-level prediction),27,1.143943,-0.003044,0.012433,-0.015478,0.0002,-0.022935,-0.008719,nan,nan
(ii) Δc = +0.02,W60,28,0.715363,-0.000986,0.002807,-0.003793,0.1011,-0.008051,-0.000123,0.013876,-0.000265
(ii) Δc = +0.02,global (run-level prediction),28,1.143351,-0.001390,-0.000000,-0.001390,0.7941,-0.011756,0.009078,nan,nan
(ii) Δc = +0.02,global (period-level prediction),28,1.143351,-0.001390,0.012417,-0.013808,0.0021,-0.020367,-0.007227,nan,nan
(ii) Δc = +0.02,W60,29,0.714646,-0.002253,0.006452,-0.008706,0.0004,-0.011747,-0.005683,0.014699,0.000472
(ii) Δc = +0.02,global (run-level prediction),29,1.146307,-0.003739,-0.000000,-0.003739,0.4723,-0.012267,0.005753,nan,nan
(ii) Δc = +0.02,global (period-level prediction),29,1.146307,-0.003739,0.006865,-0.010604,0.0001,-0.015184,-0.006830,nan,nan
(ii) Δc = +0.02,W60,30,0.712956,0.007107,0.011140,-0.004033,0.0786,-0.007902,0.000064,0.014763,-0.000757
(ii) Δc = +0.02,global (run-level prediction),30,1.142216,-0.000547,0.000000,-0.000547,0.9043,-0.009311,0.007572,nan,nan
(ii) Δc = +0.02,global (period-level prediction),30,1.142216,-0.000547,0.011522,-0.012069,0.0090,-0.020046,-0.004791,nan,nan
(ii) Δc = +0.02,W60,31,0.717278,0.002088,0.005307,-0.003219,0.1333,-0.006922,0.000641,0.015301,-0.000031
(ii) Δc = +0.02,global (run-level prediction),31,1.144809,0.005957,-0.000000,0.005957,0.2827,-0.004371,0.016491,nan,nan
