# partB17_calibration.py; one row per condition × estimator × replicate; git=f1f5fcc
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa = −0.015, Δc = 0,W60,15,0.712438,-0.038907,-0.043662,0.004755,0.0214,0.001501,0.008186,0.000052,0.000966
(i) Δa = −0.015, Δc = 0,global (run-level prediction),15,1.132182,-0.064985,0.000000,-0.064985,0.0001,-0.069743,-0.060853,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),15,1.132182,-0.064985,-0.075395,0.010410,0.0026,0.005414,0.015707,nan,nan
(i) Δa = −0.015, Δc = 0,W60,16,0.716745,-0.044498,-0.053893,0.009394,0.0005,0.005596,0.013480,-0.001392,0.001051
(i) Δa = −0.015, Δc = 0,global (run-level prediction),16,1.135828,-0.082131,0.000000,-0.082131,0.0001,-0.093469,-0.070226,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),16,1.135828,-0.082131,-0.085799,0.003668,0.2834,-0.002524,0.010005,nan,nan
(i) Δa = −0.015, Δc = 0,W60,17,0.714467,-0.045344,-0.050883,0.005539,0.0017,0.003180,0.007854,0.000734,0.001814
(i) Δa = −0.015, Δc = 0,global (run-level prediction),17,1.131385,-0.068962,0.000000,-0.068962,0.0001,-0.079562,-0.059227,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),17,1.131385,-0.068962,-0.078024,0.009062,0.0232,0.002712,0.015468,nan,nan
(i) Δa = −0.015, Δc = 0,W60,18,0.715194,-0.042702,-0.048192,0.005491,0.0497,0.000733,0.011066,-0.000226,0.000758
(i) Δa = −0.015, Δc = 0,global (run-level prediction),18,1.129355,-0.065561,-0.000000,-0.065561,0.0001,-0.071467,-0.060228,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),18,1.129355,-0.065561,-0.074286,0.008726,0.0010,0.005029,0.012434,nan,nan
(i) Δa = −0.015, Δc = 0,W60,19,0.713909,-0.042842,-0.050853,0.008010,0.0035,0.003688,0.012067,-0.000190,0.002287
(i) Δa = −0.015, Δc = 0,global (run-level prediction),19,1.133841,-0.075280,-0.000000,-0.075280,0.0001,-0.085725,-0.065583,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),19,1.133841,-0.075280,-0.084004,0.008725,0.0615,0.000316,0.016496,nan,nan
(i) Δa = −0.015, Δc = 0,W60,20,0.713771,-0.044735,-0.048127,0.003392,0.0509,0.000433,0.006566,0.000458,0.001817
(i) Δa = −0.015, Δc = 0,global (run-level prediction),20,1.130806,-0.069198,0.000000,-0.069198,0.0001,-0.079192,-0.057801,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),20,1.130806,-0.069198,-0.078919,0.009721,0.0005,0.005228,0.014924,nan,nan
(i) Δa = −0.015, Δc = 0,W60,21,0.716826,-0.037895,-0.043536,0.005642,0.0012,0.003316,0.007792,-0.000360,0.001164
