# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
58,RH_SomMot_1,2,0.037479,0.054286,0.02490234,0,11,0.015682,-0.021797,0.169885
59,RH_SomMot_2,2,0.032014,0.056302,0.05261230,0,8,0.006814,-0.025200,0.161740
60,RH_SomMot_3,2,0.033602,0.042127,0.01208496,1,11,0.018666,-0.014936,0.156807
61,RH_SomMot_4,2,0.025071,0.048806,0.07800293,0,10,0.006149,-0.018921,0.148460
62,RH_SomMot_5,2,0.034765,0.048912,0.02172852,1,10,0.017944,-0.016822,0.152867
63,RH_SomMot_6,2,0.043712,0.058948,0.01794434,1,10,0.015591,-0.028121,0.155187
64,RH_SomMot_7,2,0.050943,0.058881,0.00427246,1,13,0.020010,-0.030933,0.144932
65,RH_SomMot_8,2,0.058860,0.073791,0.01245117,1,11,0.027271,-0.031589,0.156214
66,RH_DorsAttn_Post_1,3,0.025922,0.053907,0.09704590,0,9,0.016953,-0.008969,0.161505
67,RH_DorsAttn_Post_2,3,0.028782,0.061450,0.10290527,0,9,0.008695,-0.020087,0.152545
68,RH_DorsAttn_Post_3,3,0.041128,0.065652,0.03125000,0,10,0.018321,-0.022807,0.150543
69,RH_DorsAttn_Post_4,3,0.039775,0.070305,0.05505371,0,8,0.022519,-0.017256,0.148602
70,RH_DorsAttn_Post_5,3,0.042828,0.062742,0.02307129,1,9,0.030867,-0.011961,0.140655
71,RH_DorsAttn_PrCv_1,3,0.039713,0.059581,0.02795410,0,10,0.018467,-0.021247,0.160759
72,RH_DorsAttn_FEF_1,3,0.038748,0.041059,0.00585938,1,10,0.033910,-0.004838,0.152769
73,RH_SalVentAttn_TempOccPar_1,4,0.037269,0.066489,0.05419922,0,9,0.027299,-0.009970,0.157871
74,RH_SalVentAttn_TempOccPar_2,4,0.033888,0.043976,0.01196289,1,13,0.010578,-0.023309,0.159683
75,RH_SalVentAttn_FrOperIns_1,4,0.051079,0.050871,0.00354004,1,11,0.029254,-0.021824,0.161850
76,RH_SalVentAttn_Med_1,4,0.037931,0.035604,0.00219727,1,11,0.019200,-0.018731,0.168993
77,RH_SalVentAttn_Med_2,4,0.049739,0.058210,0.00219727,1,12,0.032557,-0.017182,0.155339
78,RH_Limbic_OFC_1,5,0.009085,0.042615,0.43017578,0,7,0.009331,0.000245,0.126899
79,RH_Limbic_TempPole_1,5,0.034555,0.065653,0.07177734,0,11,0.011383,-0.023172,0.156657
80,RH_Cont_Par_1,6,0.028135,0.077733,0.19787598,0,8,0.012997,-0.015138,0.149822
81,RH_Cont_Par_2,6,0.023406,0.048872,0.09680176,0,10,0.013069,-0.010337,0.132503
82,RH_Cont_PFCl_1,6,0.030280,0.061754,0.06420898,0,10,0.008885,-0.021395,0.150158
83,RH_Cont_PFCl_2,6,0.034405,0.062168,0.05566406,0,8,0.015368,-0.019038,0.159022
84,RH_Cont_PFCl_3,6,0.022614,0.056955,0.16052246,0,11,0.019200,-0.003414,0.151693
85,RH_Cont_PFCl_4,6,0.022990,0.062834,0.20080566,0,8,0.003922,-0.019068,0.158593
86,RH_Cont_Cing_1,6,0.012802,0.058471,0.42504883,0,8,0.002663,-0.010139,0.167766
87,RH_Cont_PFCmp_1,6,0.043385,0.072557,0.04394531,0,10,0.027374,-0.016010,0.161458
88,RH_Cont_pCun_1,6,0.020392,0.048117,0.13525391,0,10,0.021633,0.001241,0.151035
89,RH_Default_Par_1,7,0.039736,0.045550,0.00439453,1,11,0.019643,-0.020094,0.140678
90,RH_Default_Temp_1,7,0.022789,0.038611,0.02368164,1,11,0.009284,-0.013505,0.142607
91,RH_Default_Temp_2,7,0.022002,0.079091,0.31970215,0,8,0.017535,-0.004467,0.149986
