# rev_regional_phir.py EXPLORATORY series=raw variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
58,RH_SomMot_1,2,0.020883,0.056043,0.19067383,0,7,0.015974,-0.004909,0.076574
59,RH_SomMot_2,2,0.013037,0.057443,0.41699219,0,8,0.006487,-0.006550,0.064593
60,RH_SomMot_3,2,0.007929,0.040524,0.47546387,0,7,0.007373,-0.000556,0.069898
61,RH_SomMot_4,2,0.006233,0.036765,0.53747559,0,8,0.001164,-0.005070,0.048066
62,RH_SomMot_5,2,0.011494,0.047500,0.38281250,0,9,0.009444,-0.002050,0.058066
63,RH_SomMot_6,2,0.006504,0.048891,0.62683105,0,10,0.000990,-0.005514,0.061680
64,RH_SomMot_7,2,0.022233,0.044209,0.08020020,0,10,0.013285,-0.008948,0.044651
65,RH_SomMot_8,2,0.028587,0.056167,0.07556152,0,11,0.019745,-0.008842,0.060595
66,RH_DorsAttn_Post_1,3,0.007959,0.045769,0.52661133,0,7,0.007845,-0.000115,0.062563
67,RH_DorsAttn_Post_2,3,0.007282,0.038909,0.49438477,0,11,-0.002376,-0.009658,0.067360
68,RH_DorsAttn_Post_3,3,0.033352,0.051086,0.02551270,0,10,0.022302,-0.011049,0.045203
69,RH_DorsAttn_Post_4,3,0.028579,0.050979,0.04919434,0,8,0.018399,-0.010179,0.049530
70,RH_DorsAttn_Post_5,3,0.012984,0.042173,0.28308105,0,8,0.014107,0.001123,0.045032
71,RH_DorsAttn_PrCv_1,3,0.031961,0.049178,0.03234863,0,9,0.020314,-0.011647,0.054811
72,RH_DorsAttn_FEF_1,3,0.024763,0.051149,0.09582520,0,9,0.020042,-0.004721,0.051464
73,RH_SalVentAttn_TempOccPar_1,4,0.009016,0.043172,0.46655273,0,7,0.012593,0.003577,0.059309
74,RH_SalVentAttn_TempOccPar_2,4,0.014294,0.035321,0.15576172,0,10,0.007981,-0.006313,0.063395
75,RH_SalVentAttn_FrOperIns_1,4,0.026026,0.047622,0.06530762,0,10,0.018369,-0.007657,0.059584
76,RH_SalVentAttn_Med_1,4,0.017200,0.039813,0.13146973,0,9,0.015360,-0.001839,0.064663
77,RH_SalVentAttn_Med_2,4,0.028230,0.049015,0.05114746,0,10,0.023530,-0.004699,0.059264
78,RH_Limbic_OFC_1,5,-0.002134,0.024336,0.74719238,0,5,0.004286,0.006420,0.021474
79,RH_Limbic_TempPole_1,5,0.020671,0.046338,0.12573242,0,7,0.015626,-0.005045,0.032659
80,RH_Cont_Par_1,6,0.029279,0.038632,0.01501465,0,11,0.017130,-0.012149,0.038814
81,RH_Cont_Par_2,6,0.018564,0.042442,0.11938477,0,10,0.010112,-0.008452,0.038922
82,RH_Cont_PFCl_1,6,0.030527,0.061669,0.07946777,0,9,0.018393,-0.012134,0.036617
83,RH_Cont_PFCl_2,6,0.032754,0.053465,0.03442383,0,9,0.019894,-0.012860,0.040485
84,RH_Cont_PFCl_3,6,0.033379,0.047311,0.01745605,0,11,0.026358,-0.007021,0.038732
85,RH_Cont_PFCl_4,6,0.023178,0.060189,0.19409180,0,9,0.014612,-0.008567,0.047712
86,RH_Cont_Cing_1,6,0.025011,0.056325,0.13671875,0,8,0.016472,-0.008539,0.046467
87,RH_Cont_PFCmp_1,6,0.040018,0.059738,0.01318359,0,11,0.027669,-0.012349,0.045445
88,RH_Cont_pCun_1,6,0.023376,0.042014,0.05810547,0,9,0.021645,-0.001731,0.050233
89,RH_Default_Par_1,7,0.018658,0.036171,0.07214355,0,8,0.008998,-0.009661,0.047922
90,RH_Default_Temp_1,7,0.012287,0.047673,0.38574219,0,6,0.012062,-0.000225,0.034958
91,RH_Default_Temp_2,7,0.006220,0.037875,0.56799316,0,8,0.011890,0.005670,0.040606
92,RH_Default_Temp_3,7,0.009772,0.046628,0.45190430,0,7,0.012925,0.003153,0.051410
93,RH_Default_PFCv_1,7,0.023235,0.040621,0.04406738,0,9,0.018397,-0.004838,0.036409
