# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_gsr estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
56,RH_Vis_7,1,-0.000813,0.026095,0.90966797,0,5,-0.009513,-0.008700,0.028705
57,RH_Vis_8,1,-0.011281,0.026275,0.13159180,0,5,-0.016718,-0.005437,0.035912
58,RH_SomMot_1,2,-0.010415,0.021715,0.09704590,0,3,-0.006860,0.003555,0.026204
59,RH_SomMot_2,2,0.000686,0.023835,0.91589355,0,7,0.000599,-0.000088,0.020698
60,RH_SomMot_3,2,-0.006921,0.026743,0.36657715,0,3,-0.004384,0.002537,0.028982
61,RH_SomMot_4,2,-0.001153,0.020433,0.83178711,0,6,-0.004009,-0.002856,0.023170
62,RH_SomMot_5,2,-0.006361,0.022210,0.29797363,0,5,-0.004027,0.002334,0.023445
63,RH_SomMot_6,2,-0.005611,0.021566,0.34643555,0,5,-0.006575,-0.000964,0.026210
64,RH_SomMot_7,2,0.004595,0.018851,0.37609863,0,8,-0.004931,-0.009527,0.020720
65,RH_SomMot_8,2,0.000681,0.025952,0.92272949,0,7,-0.005705,-0.006386,0.024910
66,RH_DorsAttn_Post_1,3,-0.002208,0.029925,0.78833008,0,4,-0.002364,-0.000156,0.019534
67,RH_DorsAttn_Post_2,3,0.000522,0.018319,0.91320801,0,7,-0.003837,-0.004358,0.024006
68,RH_DorsAttn_Post_3,3,-0.013073,0.022291,0.05041504,0,4,-0.010487,0.002586,0.026367
69,RH_DorsAttn_Post_4,3,-0.004908,0.021328,0.41540527,0,5,-0.004196,0.000712,0.021454
70,RH_DorsAttn_Post_5,3,0.002117,0.020254,0.70690918,0,6,-0.001910,-0.004026,0.019600
71,RH_DorsAttn_PrCv_1,3,-0.012677,0.033845,0.18505859,0,4,-0.012874,-0.000197,0.030963
72,RH_DorsAttn_FEF_1,3,-0.006912,0.025557,0.33215332,0,6,-0.003053,0.003860,0.020154
73,RH_SalVentAttn_TempOccPar_1,4,0.000927,0.018370,0.85375977,0,7,-0.005285,-0.006212,0.017359
74,RH_SalVentAttn_TempOccPar_2,4,0.001314,0.028210,0.89245605,0,6,-0.001254,-0.002567,0.029298
75,RH_SalVentAttn_FrOperIns_1,4,-0.007568,0.024282,0.26306152,0,3,-0.010274,-0.002706,0.031816
76,RH_SalVentAttn_Med_1,4,-0.000028,0.017538,0.99450684,0,7,0.000396,0.000423,0.019214
77,RH_SalVentAttn_Med_2,4,-0.000054,0.034137,0.99682617,0,7,-0.004218,-0.004164,0.028122
78,RH_Limbic_OFC_1,5,0.002362,0.017690,0.63037109,0,6,0.001887,-0.000475,0.012462
79,RH_Limbic_TempPole_1,5,0.002689,0.016716,0.55212402,0,7,0.000089,-0.002600,0.017536
80,RH_Cont_Par_1,6,-0.009683,0.027744,0.21044922,0,4,-0.010208,-0.000526,0.029140
81,RH_Cont_Par_2,6,-0.009395,0.029318,0.24597168,0,3,-0.014373,-0.004978,0.037474
82,RH_Cont_PFCl_1,6,-0.007135,0.029326,0.38830566,0,5,-0.011708,-0.004573,0.029768
83,RH_Cont_PFCl_2,6,-0.015438,0.025160,0.04125977,0,5,-0.017414,-0.001976,0.032634
84,RH_Cont_PFCl_3,6,-0.000919,0.030287,0.91113281,0,7,-0.002072,-0.001153,0.022436
85,RH_Cont_PFCl_4,6,-0.018967,0.023961,0.01245117,0,5,-0.017213,0.001754,0.035033
86,RH_Cont_Cing_1,6,-0.012107,0.020033,0.04174805,0,5,-0.008174,0.003933,0.029193
87,RH_Cont_PFCmp_1,6,-0.001722,0.036349,0.87780762,0,6,-0.007162,-0.005440,0.025682
88,RH_Cont_pCun_1,6,-0.004450,0.019332,0.41235352,0,7,-0.004650,-0.000200,0.023856
89,RH_Default_Par_1,7,0.002702,0.025893,0.72436523,0,8,-0.008846,-0.011548,0.029678
90,RH_Default_Temp_1,7,-0.003817,0.033014,0.67724609,0,5,-0.007103,-0.003286,0.025681
91,RH_Default_Temp_2,7,-0.004426,0.020136,0.41894531,0,6,-0.002661,0.001765,0.016430
92,RH_Default_Temp_3,7,0.004455,0.012003,0.19409180,0,11,-0.001011,-0.005466,0.013553
93,RH_Default_PFCv_1,7,0.007293,0.014171,0.08032227,0,9,0.000787,-0.006506,0.014485
94,RH_Default_PFCv_2,7,0.001094,0.025343,0.87573242,0,6,-0.009454,-0.010548,0.022890
95,RH_Default_PFCdPFCm_1,7,-0.000191,0.018278,0.96826172,0,7,-0.001836,-0.001645,0.025708
96,RH_Default_PFCdPFCm_2,7,-0.006062,0.020933,0.29309082,0,6,-0.005698,0.000364,0.028350
97,RH_Default_PFCdPFCm_3,7,-0.004437,0.021496,0.44604492,0,7,-0.005211,-0.000774,0.024353
98,RH_Default_pCunPCC_1,7,-0.004940,0.017709,0.30920410,0,5,-0.002784,0.002156,0.016008
99,RH_Default_pCunPCC_2,7,0.000288,0.022831,0.96276855,0,6,-0.001625,-0.001913,0.026349
100,SUB_1,8,-0.001588,0.015311,0.71032715,0,4,0.000076,0.001664,0.013975
101,SUB_2,8,-0.001031,0.012431,0.75708008,0,6,-0.001302,-0.000271,0.013854
102,SUB_3,8,-0.015182,0.023184,0.02209473,0,4,-0.010142,0.005041,0.020043
103,SUB_4,8,-0.006048,0.026093,0.40100098,0,9,-0.005253,0.000795,0.022387
104,SUB_5,8,0.007128,0.013282,0.06726074,0,10,0.000539,-0.006590,0.010996
105,SUB_6,8,-0.004428,0.016085,0.31811523,0,4,-0.006615,-0.002187,0.016560
106,SUB_7,8,0.000540,0.019506,0.91564941,0,8,-0.006539,-0.007079,0.024121
107,SUB_8,8,0.000099,0.022974,0.98791504,0,6,-0.002813,-0.002912,0.017469
108,SUB_9,8,-0.008523,0.023482,0.20275879,0,5,-0.003338,0.005185,0.017026
109,SUB_10,8,0.005783,0.016582,0.22375488,0,9,0.006829,0.001047,0.010068
110,SUB_11,8,-0.005441,0.030801,0.52148438,0,6,-0.005487,-0.000046,0.019127
111,SUB_12,8,-0.006125,0.021414,0.30505371,0,6,-0.003092,0.003032,0.020065
112,SUB_13,8,0.007734,0.015014,0.07922363,0,8,0.001240,-0.006494,0.010220
113,SUB_14,8,0.001778,0.023507,0.78576660,0,7,-0.002248,-0.004026,0.012059
114,SUB_15,8,-0.001552,0.029587,0.84521484,0,7,-0.006702,-0.005150,0.025550
115,SUB_16,8,-0.001233,0.017022,0.78649902,0,7,-0.005386,-0.004153,0.017980
