# rev_regional_phir.py EXPLORATORY series=raw variant=ts_demean estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
58,RH_SomMot_1,2,0.016224,0.040716,0.15905762,0,9,0.011558,-0.004666,0.144980
59,RH_SomMot_2,2,0.010851,0.046497,0.40942383,0,8,0.001383,-0.009469,0.134816
60,RH_SomMot_3,2,0.006707,0.039329,0.55261230,0,9,0.006186,-0.000521,0.137118
61,RH_SomMot_4,2,0.002895,0.039230,0.78894043,0,6,0.000041,-0.002854,0.124311
62,RH_SomMot_5,2,0.009328,0.042791,0.42590332,0,9,0.007056,-0.002273,0.129271
63,RH_SomMot_6,2,0.006766,0.042362,0.55834961,0,7,-0.001816,-0.008582,0.135397
64,RH_SomMot_7,2,0.021606,0.046116,0.10766602,0,9,0.010193,-0.011413,0.118543
65,RH_SomMot_8,2,0.022723,0.055577,0.15014648,0,8,0.014251,-0.008471,0.136517
66,RH_DorsAttn_Post_1,3,0.002579,0.045052,0.85876465,0,7,0.003372,0.000793,0.136141
67,RH_DorsAttn_Post_2,3,0.010486,0.038417,0.33679199,0,8,0.000124,-0.010363,0.133513
68,RH_DorsAttn_Post_3,3,0.028271,0.052713,0.07031250,0,10,0.015553,-0.012718,0.119475
69,RH_DorsAttn_Post_4,3,0.025288,0.051819,0.09167480,0,9,0.012689,-0.012598,0.124764
70,RH_DorsAttn_Post_5,3,0.011861,0.041848,0.32690430,0,7,0.012781,0.000920,0.121448
71,RH_DorsAttn_PrCv_1,3,0.026054,0.049341,0.06933594,0,9,0.015534,-0.010519,0.131002
72,RH_DorsAttn_FEF_1,3,0.022062,0.043120,0.07910156,0,9,0.020259,-0.001803,0.125078
73,RH_SalVentAttn_TempOccPar_1,4,0.012286,0.055159,0.42932129,0,9,0.012721,0.000435,0.130538
74,RH_SalVentAttn_TempOccPar_2,4,0.017125,0.032152,0.06811523,0,10,0.010326,-0.006799,0.129410
75,RH_SalVentAttn_FrOperIns_1,4,0.027906,0.049213,0.05297852,0,9,0.020898,-0.007008,0.130919
76,RH_SalVentAttn_Med_1,4,0.013113,0.038563,0.22753906,0,10,0.012756,-0.000358,0.137174
77,RH_SalVentAttn_Med_2,4,0.026805,0.044197,0.03723145,0,9,0.021779,-0.005026,0.130118
78,RH_Limbic_OFC_1,5,0.000633,0.026851,0.93237305,0,8,0.003333,0.002700,0.096196
