# rev_regional_phir.py EXPLORATORY series=raw variant=ts_gsr estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
57,RH_Vis_8,1,-0.002187,0.025854,0.75354004,0,6,-0.016415,-0.014229,0.111694
58,RH_SomMot_1,2,-0.007114,0.031962,0.41979980,0,7,-0.003715,0.003399,0.101020
59,RH_SomMot_2,2,0.002037,0.026506,0.77087402,0,8,-0.004102,-0.006139,0.098165
60,RH_SomMot_3,2,0.000214,0.024020,0.97290039,0,7,-0.004922,-0.005136,0.105333
61,RH_SomMot_4,2,0.002708,0.026477,0.70471191,0,7,-0.004874,-0.007581,0.100177
62,RH_SomMot_5,2,-0.003479,0.026135,0.62475586,0,6,-0.005841,-0.002363,0.100475
63,RH_SomMot_6,2,0.002369,0.033018,0.83276367,0,7,-0.004541,-0.006910,0.102526
64,RH_SomMot_7,2,0.005725,0.029257,0.54858398,0,7,-0.005118,-0.010844,0.095494
65,RH_SomMot_8,2,0.005196,0.042680,0.66369629,0,8,-0.004906,-0.010102,0.102701
66,RH_DorsAttn_Post_1,3,0.000821,0.030484,0.91967773,0,6,-0.000912,-0.001733,0.092765
67,RH_DorsAttn_Post_2,3,0.006567,0.029069,0.46264648,0,6,-0.001719,-0.008286,0.099205
68,RH_DorsAttn_Post_3,3,-0.002760,0.022290,0.64685059,0,6,-0.001685,0.001075,0.093426
69,RH_DorsAttn_Post_4,3,0.010531,0.030565,0.21960449,0,9,0.002896,-0.007634,0.091326
70,RH_DorsAttn_Post_5,3,0.005293,0.022365,0.39758301,0,7,-0.003934,-0.009226,0.096468
71,RH_DorsAttn_PrCv_1,3,-0.005042,0.027854,0.50793457,0,4,-0.004214,0.000827,0.098502
72,RH_DorsAttn_FEF_1,3,-0.001287,0.025731,0.85461426,0,7,-0.001238,0.000049,0.093277
73,RH_SalVentAttn_TempOccPar_1,4,0.000416,0.022691,0.94775391,0,7,-0.002404,-0.002820,0.088233
74,RH_SalVentAttn_TempOccPar_2,4,0.004926,0.030289,0.57067871,0,6,0.002713,-0.002213,0.099526
75,RH_SalVentAttn_FrOperIns_1,4,0.000166,0.027538,0.97985840,0,7,-0.001666,-0.001832,0.104347
76,RH_SalVentAttn_Med_1,4,0.000006,0.021942,0.99902344,0,7,0.002959,0.002953,0.093885
77,RH_SalVentAttn_Med_2,4,0.004776,0.031716,0.58935547,0,6,0.000611,-0.004165,0.101577
78,RH_Limbic_OFC_1,5,0.001423,0.023689,0.84582520,0,5,-0.000524,-0.001947,0.087561
79,RH_Limbic_TempPole_1,5,0.010297,0.022034,0.09802246,0,9,0.001524,-0.008774,0.090096
