# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
58,RH_SomMot_1,2,0.018057,0.057060,0.26708984,0,8,0.014109,-0.003948,0.073801
59,RH_SomMot_2,2,0.012302,0.058218,0.44677734,0,9,0.004911,-0.007391,0.063634
60,RH_SomMot_3,2,0.011395,0.041084,0.31494141,0,9,0.012546,0.001151,0.064142
61,RH_SomMot_4,2,0.008021,0.046983,0.53308105,0,8,0.003013,-0.005009,0.045496
62,RH_SomMot_5,2,0.016833,0.051281,0.25195312,0,10,0.015075,-0.001757,0.052883
63,RH_SomMot_6,2,0.016397,0.058226,0.31445312,0,9,0.008297,-0.008100,0.056158
64,RH_SomMot_7,2,0.030493,0.055010,0.04931641,0,11,0.016745,-0.013748,0.040748
65,RH_SomMot_8,2,0.036136,0.063347,0.04772949,0,11,0.020866,-0.015270,0.058670
66,RH_DorsAttn_Post_1,3,0.015937,0.044835,0.21752930,0,8,0.011306,-0.004631,0.059750
67,RH_DorsAttn_Post_2,3,0.008605,0.052627,0.54736328,0,10,0.002247,-0.006358,0.061187
68,RH_DorsAttn_Post_3,3,0.028650,0.057332,0.08483887,0,9,0.018054,-0.010596,0.049223
69,RH_DorsAttn_Post_4,3,0.024409,0.055753,0.12475586,0,8,0.016601,-0.007808,0.050800
70,RH_DorsAttn_Post_5,3,0.016745,0.043512,0.17102051,0,8,0.016831,0.000086,0.043068
71,RH_DorsAttn_PrCv_1,3,0.028086,0.051166,0.06335449,0,9,0.016747,-0.011339,0.056060
72,RH_DorsAttn_FEF_1,3,0.027063,0.047702,0.05224609,0,10,0.021823,-0.005240,0.050007
73,RH_SalVentAttn_TempOccPar_1,4,0.014663,0.047654,0.26452637,0,7,0.016776,0.002112,0.059418
74,RH_SalVentAttn_TempOccPar_2,4,0.015197,0.045682,0.24328613,0,10,0.007708,-0.007489,0.061711
75,RH_SalVentAttn_FrOperIns_1,4,0.032290,0.045575,0.02160645,0,11,0.022576,-0.009714,0.058404
76,RH_SalVentAttn_Med_1,4,0.024310,0.047116,0.06896973,0,9,0.019694,-0.004616,0.062462
77,RH_SalVentAttn_Med_2,4,0.034934,0.054011,0.03051758,0,10,0.028843,-0.006091,0.054656
78,RH_Limbic_OFC_1,5,-0.005548,0.032595,0.53308105,0,6,0.002039,0.007587,0.025098
79,RH_Limbic_TempPole_1,5,0.017357,0.062282,0.31982422,0,6,0.012009,-0.005348,0.041351
80,RH_Cont_Par_1,6,0.028679,0.046871,0.04040527,0,8,0.016954,-0.011724,0.041884
81,RH_Cont_Par_2,6,0.018246,0.046589,0.19665527,0,7,0.006573,-0.011674,0.041200
82,RH_Cont_PFCl_1,6,0.023745,0.066971,0.23925781,0,7,0.010811,-0.012934,0.043703
83,RH_Cont_PFCl_2,6,0.028604,0.049746,0.05371094,0,10,0.017379,-0.011226,0.044635
84,RH_Cont_PFCl_3,6,0.029051,0.053372,0.06164551,0,11,0.022162,-0.006889,0.047027
85,RH_Cont_PFCl_4,6,0.014102,0.062319,0.42150879,0,6,0.003255,-0.010847,0.057409
86,RH_Cont_Cing_1,6,0.011195,0.064422,0.53063965,0,7,0.003673,-0.007522,0.061903
