# script=01_synergy_timecourse.py variant=ts_demean regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=global window_trs=na placebo_fit_trs=na seed=20261120 git=nogit
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,PCB,3,0.022139,0.003896,0.001159,0.406322,0.001174,0.447930,-0.001174,-0.405588,0.003896,-0.003896,0.434174,-0.405793,0.406170,-0.405330,-0.405237,0.846879
0,PCB,4,0.018110,0.011289,0.010506,0.379656,0.010538,0.371354,-0.010538,-0.369096,0.011289,-0.011289,0.387862,-0.367075,0.378791,-0.365816,-0.367808,0.792443
0,PCB,5,0.024901,0.007905,0.012474,0.361007,0.012457,0.394250,-0.012457,-0.356229,0.007905,-0.007905,0.367086,-0.353310,0.360976,-0.353922,-0.356391,0.781751
0,PCB,6,0.021350,0.005769,0.008900,0.430488,0.008903,0.459216,-0.008903,-0.427253,0.005769,-0.005769,0.449842,-0.428114,0.430285,-0.427736,-0.427587,0.885540
0,PCB,7,0.034799,-0.001262,0.002486,0.392017,0.002484,0.420491,-0.002484,-0.398021,-0.001262,0.001262,0.418408,-0.396029,0.389800,-0.392758,-0.394072,0.839119
0,PCB,8,0.032579,0.008492,0.016495,0.407639,0.016496,0.436105,-0.016496,-0.401746,0.008492,-0.008492,0.433587,-0.402659,0.408067,-0.402821,-0.401882,0.871154
0,PCB,9,0.015598,0.006642,0.008495,0.378988,0.008498,0.422192,-0.008498,-0.377519,0.006642,-0.006642,0.408891,-0.376189,0.377508,-0.375138,-0.375962,0.790240
0,PCB,10,0.012983,0.007275,0.011745,0.433445,0.011747,0.447127,-0.011747,-0.423837,0.007275,-0.007275,0.422507,-0.423595,0.433699,-0.424671,-0.425364,0.891986
0,PCB,11,0.013584,0.015015,0.014554,0.369739,0.014556,0.388466,-0.014556,-0.357760,0.015015,-0.015015,0.386032,-0.359121,0.370820,-0.357980,-0.360321,0.766215
0,PCB,12,0.030112,0.021813,0.038727,0.322537,0.038697,0.325267,-0.038697,-0.292748,0.021813,-0.021813,0.347056,-0.289783,0.321700,-0.291351,-0.293208,0.701182
0,PCB,13,0.013919,0.007853,0.018743,0.325093,0.018669,0.340887,-0.018669,-0.308327,0.007853,-0.007853,0.348586,-0.307306,0.324757,-0.306344,-0.310129,0.687524
0,PCB,14,0.029565,0.016871,0.034247,0.317056,0.034199,0.314210,-0.034199,-0.292276,0.016871,-0.016871,0.318313,-0.290626,0.318060,-0.293181,-0.293425,0.705857
0,PCB,15,0.021439,0.016492,0.017234,0.413186,0.017228,0.442694,-0.017228,-0.399717,0.016492,-0.016492,0.410768,-0.398623,0.412777,-0.398331,-0.399743,0.861839
0,PCB,16,0.015154,0.007263,0.004355,0.452287,0.004363,0.489111,-0.004363,-0.448730,0.007263,-0.007263,0.460078,-0.451646,0.450114,-0.448656,-0.447289,0.912644
0,PCB,17,0.030101,0.011311,0.015197,0.427915,0.015212,0.470204,-0.015212,-0.421345,0.011311,-0.011311,0.428019,-0.421840,0.428534,-0.422745,-0.423488,0.882497
0,PCB,18,0.008881,0.016269,0.031448,0.361594,0.031455,0.358701,-0.031455,-0.336855,0.016269,-0.016269,0.347714,-0.337818,0.362561,-0.339365,-0.338809,0.749964
0,PCB,19,0.020392,0.011520,0.009681,0.428372,0.009672,0.448677,-0.009672,-0.419343,0.011520,-0.011520,0.437528,-0.421238,0.426330,-0.417777,-0.418412,0.883275
0,PCB,20,0.026908,0.001773,0.000669,0.439636,0.000718,0.466385,-0.000718,-0.446957,0.001773,-0.001773,0.480599,-0.446386,0.440385,-0.449687,-0.447423,0.934310
0,PCB,21,0.029623,0.016866,0.007684,0.444727,0.007622,0.496087,-0.007622,-0.436208,0.016866,-0.016866,0.482507,-0.439158,0.447560,-0.441676,-0.440601,0.942425
0,PCB,22,0.024328,0.008789,0.003572,0.442310,0.003631,0.503406,-0.003631,-0.440784,0.008789,-0.008789,0.464177,-0.440995,0.439287,-0.438881,-0.438521,0.911280
0,PCB,23,0.027024,0.006039,0.004661,0.461005,0.004643,0.501384,-0.004643,-0.462067,0.006039,-0.006039,0.472798,-0.464837,0.459593,-0.462402,-0.460960,0.969360
0,PCB,24,0.041795,-0.000225,0.008553,0.503104,0.008543,0.555620,-0.008543,-0.501503,-0.000225,0.000225,0.532601,-0.504362,0.504073,-0.505668,-0.503735,1.047426
0,PCB,25,0.035920,0.044480,0.030751,0.352830,0.030645,0.383242,-0.030645,-0.324730,0.044480,-0.044480,0.369005,-0.325697,0.354644,-0.329064,-0.330803,0.812001
0,PCB,26,0.020551,0.029974,0.032056,0.318100,0.032008,0.310270,-0.032008,-0.292315,0.029974,-0.029974,0.299251,-0.292350,0.317380,-0.289648,-0.289012,0.675753
0,PCB,27,0.019155,0.009161,0.010800,0.350082,0.010806,0.330637,-0.010806,-0.344262,0.009161,-0.009161,0.368980,-0.344846,0.349653,-0.346823,-0.344344,0.735780
1,DMT,0,0.026652,0.005950,0.005027,0.514074,0.005027,0.549813,-0.005027,-0.515548,0.005950,-0.005950,0.513357,-0.512919,0.513615,-0.512979,-0.513523,1.050928
1,DMT,1,0.008364,0.009723,0.013236,0.433019,0.013236,0.446300,-0.013236,-0.424495,0.009723,-0.009723,0.446608,-0.423498,0.433628,-0.422652,-0.425568,0.878205
1,DMT,2,0.008198,0.003048,0.006029,0.401250,0.006029,0.449024,-0.006029,-0.398635,0.003048,-0.003048,0.415522,-0.398561,0.403439,-0.400698,-0.400611,0.821905
1,DMT,3,0.013813,0.001714,0.009471,0.380015,0.009471,0.431432,-0.009471,-0.378000,0.001714,-0.001714,0.408365,-0.379695,0.380771,-0.379558,-0.378389,0.800307
1,DMT,4,0.015451,0.009335,0.007868,0.406850,0.007868,0.431058,-0.007868,-0.402349,0.009335,-0.009335,0.416337,-0.401893,0.405791,-0.401305,-0.401718,0.831742
1,DMT,5,0.013836,0.004661,0.003377,0.452059,0.003377,0.506823,-0.003377,-0.450002,0.004661,-0.004661,0.473720,-0.450857,0.452533,-0.451055,-0.450009,0.923569
1,DMT,6,0.027786,0.017179,0.015995,0.350364,0.015995,0.392938,-0.015995,-0.340265,0.017179,-0.017179,0.365085,-0.341564,0.349547,-0.341237,-0.340712,0.754191
1,DMT,7,0.011453,0.008909,0.000683,0.408455,0.000683,0.433398,-0.000683,-0.402513,0.008909,-0.008909,0.419686,-0.405032,0.410417,-0.408092,-0.405809,0.839433
1,DMT,8,0.019593,0.004952,0.002949,0.434273,0.002949,0.490679,-0.002949,-0.432017,0.004952,-0.004952,0.453801,-0.433300,0.434732,-0.433226,-0.432947,0.898537
1,DMT,9,0.009435,0.006806,0.004652,0.356407,0.004652,0.401291,-0.004652,-0.351391,0.006806,-0.006806,0.380189,-0.351817,0.355874,-0.351388,-0.351251,0.731995
1,DMT,10,0.009918,0.004805,0.005606,0.379497,0.005606,0.429836,-0.005606,-0.376515,0.004805,-0.004805,0.395666,-0.377076,0.380422,-0.378313,-0.377782,0.778022
1,DMT,11,0.011090,0.005384,0.005459,0.353521,0.005459,0.413102,-0.005459,-0.347550,0.005384,-0.005384,0.371079,-0.348804,0.353877,-0.349116,-0.349221,0.724661
