# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=window window_trs=60 placebo_fit_trs=na seed=20261120 git=nogit
subject,condition,window,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
1,DMT,3,0.019818,0.029862,0.028372,0.382723,0.028296,0.410536,-0.028139,-0.338521,0.029807,-0.029710,0.384681,-0.340753,0.382100,-0.339343,-0.339734,0.780326
1,DMT,4,0.019830,0.027529,0.031619,0.363070,0.031534,0.399690,-0.031398,-0.316790,0.027543,-0.027234,0.386811,-0.320372,0.363196,-0.319953,-0.317815,0.738852
1,DMT,5,0.017775,0.029627,0.033916,0.328736,0.033855,0.336337,-0.033371,-0.276330,0.029649,-0.029281,0.329372,-0.277258,0.328511,-0.277174,-0.277329,0.667074
1,DMT,6,0.019414,0.028064,0.025811,0.380649,0.025830,0.413382,-0.025652,-0.342565,0.028057,-0.027968,0.403762,-0.342750,0.379964,-0.341103,-0.342516,0.773398
1,DMT,7,0.016958,0.027826,0.027604,0.357290,0.027591,0.383133,-0.027285,-0.314443,0.027882,-0.027667,0.378649,-0.313087,0.356295,-0.313472,-0.312792,0.725091
1,DMT,8,0.022094,0.035436,0.034347,0.339175,0.034444,0.362293,-0.034108,-0.286777,0.035518,-0.035056,0.351118,-0.287714,0.339186,-0.286315,-0.287656,0.691696
1,DMT,9,0.030931,0.030330,0.034687,0.410741,0.034660,0.453271,-0.034446,-0.372284,0.030286,-0.030083,0.440272,-0.373893,0.408306,-0.371157,-0.371117,0.838006
1,DMT,10,0.018518,0.026013,0.026702,0.404463,0.026730,0.440721,-0.026652,-0.363697,0.025989,-0.025918,0.410913,-0.365982,0.403854,-0.362829,-0.366090,0.821785
1,DMT,11,0.019913,0.024349,0.026445,0.420451,0.026447,0.468150,-0.026331,-0.381410,0.024395,-0.024290,0.441431,-0.384583,0.420478,-0.381881,-0.383778,0.850595
1,DMT,12,0.026416,0.027708,0.032468,0.416338,0.032483,0.463331,-0.032329,-0.373610,0.027486,-0.027358,0.437492,-0.376021,0.416532,-0.375273,-0.377396,0.851614
1,DMT,13,0.028726,0.027132,0.029677,0.434093,0.029632,0.487850,-0.029615,-0.399927,0.027213,-0.027014,0.453864,-0.400739,0.434615,-0.398408,-0.402067,0.888394
1,PCB,0,0.028523,0.038589,0.036414,0.393807,0.036393,0.405997,-0.036153,-0.345453,0.038562,-0.038171,0.406342,-0.344649,0.391959,-0.343128,-0.343251,0.814792
1,PCB,1,0.024620,0.034796,0.040489,0.355623,0.040404,0.372816,-0.039433,-0.303610,0.034665,-0.034042,0.373884,-0.304805,0.355297,-0.305712,-0.304418,0.747197
1,PCB,2,0.029230,0.042537,0.036190,0.343330,0.036344,0.378303,-0.034974,-0.284798,0.042493,-0.040787,0.374944,-0.284400,0.342333,-0.283382,-0.285716,0.734075
1,PCB,3,0.023623,0.027733,0.032854,0.393461,0.032814,0.426757,-0.032594,-0.349913,0.027729,-0.027573,0.429901,-0.351546,0.393372,-0.351353,-0.350018,0.803871
1,PCB,4,0.021388,0.031829,0.033977,0.349212,0.033951,0.363843,-0.033733,-0.300234,0.031681,-0.031450,0.353532,-0.303281,0.349653,-0.302000,-0.303319,0.714458
1,PCB,5,0.039543,0.028159,0.031188,0.446975,0.031171,0.503210,-0.031001,-0.412224,0.028107,-0.027955,0.484663,-0.412483,0.445410,-0.410456,-0.411197,0.919481
1,PCB,6,0.025174,0.032129,0.032220,0.415210,0.032280,0.441895,-0.032069,-0.370564,0.032122,-0.031964,0.420797,-0.372812,0.414283,-0.369914,-0.372445,0.836374
1,PCB,7,0.022106,0.024959,0.029162,0.412073,0.029164,0.446092,-0.028998,-0.376265,0.025022,-0.024800,0.443151,-0.378008,0.412541,-0.377707,-0.376837,0.846696
1,PCB,8,0.025682,0.026293,0.030465,0.418921,0.030422,0.495246,-0.030375,-0.376775,0.026307,-0.026088,0.451841,-0.379818,0.418588,-0.375661,-0.378296,0.857533
1,PCB,9,0.020587,0.029285,0.028885,0.397988,0.028926,0.428961,-0.028684,-0.357089,0.029252,-0.029106,0.421796,-0.357985,0.397795,-0.356859,-0.357476,0.822343
1,PCB,10,0.018790,0.027791,0.026741,0.416512,0.026780,0.456436,-0.026687,-0.372285,0.027779,-0.027648,0.433203,-0.374949,0.416597,-0.372067,-0.375136,0.847137
1,PCB,11,0.024937,0.026240,0.026679,0.419573,0.026683,0.472205,-0.026606,-0.384205,0.026210,-0.026135,0.448295,-0.388056,0.418988,-0.385559,-0.386407,0.861349
1,PCB,12,0.018278,0.025949,0.027496,0.399862,0.027527,0.437396,-0.027331,-0.356604,0.025877,-0.025795,0.431213,-0.358147,0.401905,-0.359540,-0.359213,0.811649
1,PCB,13,0.022519,0.032357,0.031901,0.396838,0.031903,0.413265,-0.031528,-0.345948,0.032322,-0.032079,0.417761,-0.346495,0.396255,-0.345573,-0.345682,0.797270
2,DMT,0,0.028100,0.029758,0.028103,0.429961,0.028124,0.472997,-0.028063,-0.393678,0.029758,-0.029741,0.459817,-0.395164,0.430950,-0.395372,-0.395976,0.880924
2,DMT,1,0.018665,0.024721,0.022435,0.409846,0.022425,0.454402,-0.022425,-0.373707,0.024780,-0.024665,0.450002,-0.374698,0.408630,-0.372011,-0.372918,0.838909
2,DMT,2,0.024804,0.026417,0.024653,0.435953,0.024658,0.506174,-0.024595,-0.398775,0.026403,-0.026326,0.458487,-0.402697,0.435593,-0.399850,-0.401345,0.887233
2,DMT,3,0.023238,0.027843,0.028359,0.407336,0.028313,0.450252,-0.028247,-0.365498,0.027800,-0.027578,0.459261,-0.368269,0.406318,-0.367386,-0.365528,0.836354
2,DMT,4,0.016274,0.026737,0.026411,0.341859,0.026374,0.367109,-0.026135,-0.298187,0.026748,-0.026503,0.366806,-0.298229,0.341083,-0.297920,-0.297899,0.689621
2,DMT,5,0.017658,0.031386,0.031607,0.304557,0.031664,0.292216,-0.030999,-0.259072,0.031368,-0.030766,0.307946,-0.257309,0.304591,-0.257340,-0.258146,0.630859
2,DMT,6,0.018458,0.030290,0.025720,0.363710,0.025714,0.401825,-0.025647,-0.317503,0.030240,-0.030025,0.373506,-0.322087,0.363216,-0.318000,-0.320269,0.738242
2,DMT,7,0.021076,0.028884,0.031640,0.381531,0.031627,0.405882,-0.031464,-0.333907,0.028784,-0.028605,0.402643,-0.337748,0.380482,-0.335815,-0.334524,0.772441
2,DMT,8,0.026732,0.026230,0.030252,0.402529,0.030250,0.463643,-0.030135,-0.366954,0.026260,-0.026202,0.424302,-0.369248,0.403547,-0.367138,-0.370511,0.832175
2,DMT,9,0.027137,0.036477,0.027289,0.368034,0.027222,0.393407,-0.027148,-0.327164,0.036362,-0.036138,0.394808,-0.325420,0.368375,-0.326256,-0.325620,0.769585
2,DMT,10,0.017706,0.028758,0.029026,0.353068,0.029025,0.367289,-0.028839,-0.307676,0.028722,-0.028476,0.359372,-0.307701,0.352619,-0.306322,-0.308697,0.717292
2,DMT,11,0.016053,0.023187,0.022715,0.395433,0.022712,0.418061,-0.022671,-0.359339,0.023175,-0.023122,0.419793,-0.359393,0.395386,-0.358840,-0.359552,0.800829
2,DMT,12,0.019730,0.028840,0.028649,0.393515,0.028647,0.419772,-0.028270,-0.350194,0.028811,-0.028681,0.408593,-0.350553,0.392924,-0.349866,-0.349578,0.799814
2,DMT,13,0.017234,0.025219,0.027825,0.364149,0.027824,0.389202,-0.027656,-0.322265,0.025248,-0.025124,0.379807,-0.323385,0.365082,-0.324583,-0.323568,0.741097
2,PCB,0,0.029618,0.036431,0.041034,0.363743,0.040913,0.385647,-0.040592,-0.316863,0.036455,-0.036233,0.369193,-0.317662,0.362958,-0.315234,-0.318237,0.775220
2,PCB,1,0.022375,0.032595,0.031424,0.369606,0.031407,0.402156,-0.031322,-0.322036,0.032560,-0.032407,0.390179,-0.326099,0.369493,-0.325167,-0.323326,0.757463
2,PCB,2,0.037209,0.029865,0.029913,0.418246,0.029883,0.486800,-0.029758,-0.384698,0.029856,-0.029799,0.465123,-0.385322,0.415068,-0.383108,-0.385246,0.871683
2,PCB,3,0.028235,0.034341,0.023249,0.402117,0.023209,0.460960,-0.023099,-0.366413,0.034261,-0.033873,0.436091,-0.367158,0.400447,-0.365596,-0.367154,0.837458
2,PCB,4,0.027884,0.032280,0.038906,0.355309,0.038903,0.384985,-0.038517,-0.309789,0.032228,-0.032034,0.371869,-0.311720,0.356041,-0.311967,-0.311251,0.740885
2,PCB,5,0.035254,0.034588,0.027411,0.401000,0.027373,0.468282,-0.027364,-0.361718,0.034667,-0.034386,0.436382,-0.362444,0.399559,-0.359770,-0.361166,0.825742
2,PCB,6,0.020640,0.024914,0.025674,0.420500,0.025689,0.464726,-0.025660,-0.382833,0.024911,-0.024859,0.449545,-0.383977,0.420645,-0.383378,-0.383833,0.857070
2,PCB,7,0.025081,0.025927,0.028033,0.430128,0.028022,0.478438,-0.027954,-0.394684,0.025953,-0.025847,0.465668,-0.396311,0.430115,-0.396238,-0.396183,0.882995
2,PCB,8,0.028668,0.025380,0.026788,0.455672,0.026799,0.495945,-0.026723,-0.426210,0.025451,-0.025368,0.499437,-0.424406,0.456408,-0.426156,-0.425198,0.934374
2,PCB,9,0.024568,0.030309,0.027276,0.406821,0.027283,0.444538,-0.027243,-0.368336,0.030277,-0.030165,0.435752,-0.368699,0.407027,-0.366956,-0.368699,0.833575
2,PCB,10,0.026194,0.028627,0.031365,0.415167,0.031397,0.451523,-0.031280,-0.379473,0.028644,-0.028460,0.446549,-0.381054,0.416086,-0.380155,-0.381871,0.866831
2,PCB,11,0.023856,0.028541,0.027157,0.408516,0.027178,0.459618,-0.026977,-0.368696,0.028545,-0.028341,0.428632,-0.371488,0.407799,-0.367614,-0.370835,0.845075
2,PCB,12,0.030566,0.028513,0.025351,0.405393,0.025366,0.451448,-0.025331,-0.375492,0.028508,-0.028430,0.455297,-0.374138,0.405320,-0.373609,-0.375963,0.849616
2,PCB,13,0.026491,0.030994,0.031206,0.374816,0.031203,0.401053,-0.031126,-0.337350,0.030994,-0.030881,0.382978,-0.339410,0.373574,-0.336534,-0.337483,0.780216
