# script=05_tier_check_decay_windows.py tables=18ad8b4 n_draws=2000 threshold=0.8 seed=20261120 git=8554b3d-dirty
condition,window,M,window_set,first_window,last_window,n_pairs,S_analytic,S_lo,S_hi,R_point,R_lo,R_hi,sign_truth_vs_f,S_pass,S_straddles,R_pass,R_straddles
nonstat_decay_coupling,60,1338,prereg,5,14,9,0.8066355555555556,0.6765246666666667,0.9360015555555555,0.9757575757575757,0.9393939393939393,0.9999999999999999,-1.0,1,1,1,0
nonstat_decay_coupling,60,1338,primary,6,14,8,0.7884022500000001,0.695277125,0.9280683750000001,0.9666666666666667,0.9166666666666666,0.9833333333333333,-1.0,0,1,1,0
nonstat_decay_coupling,60,742,prereg,5,14,9,0.8078753333333333,0.650573111111111,0.9242056666666666,0.9757575757575757,0.9151515151515152,0.9999999999999999,-1.0,1,1,1,0
nonstat_decay_coupling,60,742,primary,6,14,8,0.797218625,0.66692675,0.9156565,0.9666666666666667,0.8833333333333333,1.0,-1.0,0,1,1,0
nonstat_decay_coupling,60,151,prereg,5,14,9,0.739806,0.5830555555555557,0.8573167777777777,0.9757575757575757,0.8181818181818182,0.9878787878787878,-1.0,0,1,1,0
nonstat_decay_coupling,60,151,primary,6,14,8,0.74321125,0.59232375,0.8564547499999999,0.9666666666666667,0.7833333333333333,1.0,-1.0,0,1,1,1
nonstat_decay_coupling,30,1338,prereg,10,28,18,0.7318644444444444,0.2805233888888889,0.9458173888888888,0.9701754385964911,0.9070175438596491,0.980701754385965,-1.0,0,1,1,0
nonstat_decay_coupling,30,1338,primary,11,28,17,0.7369960588235295,0.2906175294117647,0.9440532352941178,0.9649122807017543,0.8885448916408669,0.9793601651186791,-1.0,0,1,1,0
nonstat_decay_coupling,30,742,prereg,10,28,18,0.6926512222222221,0.31342877777777783,0.920941888888889,0.9701754385964911,0.8684210526315789,0.9771929824561404,-1.0,0,1,1,0
nonstat_decay_coupling,30,742,primary,11,28,17,0.6975841764705883,0.3213129411764706,0.920455,0.9649122807017543,0.8492776057791539,0.9731682146542827,-1.0,0,1,1,0
nonstat_decay_coupling,30,151,prereg,10,28,18,0.5996127777777778,0.39683511111111114,0.7774677777777779,0.9701754385964911,0.6701754385964912,0.9333771929824559,-1.0,0,0,1,1
nonstat_decay_coupling,30,151,primary,11,28,17,0.6025562352941175,0.40021082352941173,0.7792965294117647,0.9649122807017543,0.6119711042311662,0.9215686274509803,-1.0,0,0,1,1
nonstat_decay_noisecorr,60,1338,prereg,5,14,9,0.8481185555555556,0.4934411111111111,0.9767287777777778,0.9878787878787878,0.9030303030303028,0.9999999999999999,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,1338,primary,6,14,8,0.8342768749999999,0.48594000000000004,0.973872125,0.9833333333333333,0.8833333333333333,1.0,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,742,prereg,5,14,9,0.8122936666666667,0.49317933333333336,0.960146888888889,0.9878787878787878,0.8666666666666665,0.9999999999999999,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,742,primary,6,14,8,0.8010615,0.48734462500000003,0.95596875,0.9833333333333333,0.8166666666666667,1.0,-1.0,1,1,1,0
nonstat_decay_noisecorr,60,151,prereg,5,14,9,0.687257888888889,0.4942686666666666,0.8387723333333333,0.9878787878787878,0.7333333333333332,0.9878787878787878,-1.0,0,1,1,1
nonstat_decay_noisecorr,60,151,primary,6,14,8,0.683129,0.49130175,0.8349785000000001,0.9833333333333333,0.6166666666666666,0.9833333333333333,-1.0,0,1,1,1
nonstat_decay_noisecorr,30,1338,prereg,10,28,18,0.5621239444444444,0.13467827777777777,0.925324111111111,0.9035087719298246,0.6947368421052632,0.9228070175438597,-1.0,0,1,1,1
nonstat_decay_noisecorr,30,1338,primary,11,28,17,0.5593899999999999,0.13717823529411766,0.9227040588235295,0.8864809081527348,0.6594427244582043,0.9215686274509803,-1.0,0,1,1,1
nonstat_decay_noisecorr,30,742,prereg,10,28,18,0.5515975555555556,0.18305,0.8790490555555555,0.9035087719298246,0.6140350877192983,0.9123245614035085,-1.0,0,1,1,1
nonstat_decay_noisecorr,30,742,primary,11,28,17,0.5498487058823529,0.1843209411764706,0.8766924117647058,0.8864809081527348,0.5603199174406606,0.9009287925696594,-1.0,0,1,1,1
nonstat_decay_noisecorr,30,151,prereg,10,28,18,0.5264175555555556,0.32436011111111107,0.7218067777777778,0.9035087719298246,0.2210526315789474,0.8052631578947368,-1.0,0,0,1,1
nonstat_decay_noisecorr,30,151,primary,11,28,17,0.5258013529411765,0.3241566470588235,0.7209699411764705,0.8864809081527348,0.15784313725490196,0.7956656346749225,-1.0,0,0,1,0
