# script=04_logdet_correction_check.py tables_commit=18ad8b4 n_windows_empirical=500 seed=20261120 branch='W=60 uncorrected (fallback)' git=8554b3d-dirty
analytic,atom,bias_corrected,bias_plugin,change,condition,corrected_over_analytic,corrected_over_true,diff_bias_corrected,diff_bias_plugin,max_abs_dev,n_windows,section,selections_changed,true_diff,value,window
0.046892,rtr,-0.024633219478655044,-0.005772,,asym_shift_noisecorr,0.5253181668228065,,,,,,bias,,,,30
0.039612,sts,-0.007620540067757946,0.001553,,asym_shift_noisecorr,0.19237958365540608,,,,,,bias,,,,60
0.046892,rtr,-0.011697864743082886,-0.002849,,asym_shift_noisecorr,0.24946397558395644,,,,,,bias,,,,60
0.039612,sts,-0.000944160959260825,-0.000345,,asym_shift_noisecorr,0.023835225670524714,,,,,,bias,,,,840
0.046892,rtr,-0.0003427284176448272,0.000255,,asym_shift_noisecorr,0.007308888886053637,,,,,,bias,,,,840
,sts,,,-6.938893903907228e-18,shift_coupling,,0.6960369487485101,0.046717999999999996,0.046718,,,differential,,-0.06712,,30
,rtr,,,-1.3877787807814457e-17,shift_coupling,,0.5544109793869486,-0.10381900000000001,-0.103819,,,differential,,0.18726,,30
,sts,,,-1.734723475976807e-18,shift_coupling,,0.18067640047675804,0.012126999999999999,0.012127,,,differential,,-0.06712,,60
,rtr,,,-6.938893903907228e-18,shift_coupling,,0.32993698600875787,-0.061784000000000006,-0.061784,,,differential,,0.18726,,60
,sts,,,5.204170427930421e-18,shift_coupling,,0.10660011918951125,-0.007154999999999995,-0.007155,,,differential,,-0.06712,,840
,rtr,,,-3.469446951953614e-18,shift_coupling,,0.04996795898750402,-0.009357000000000004,-0.009357,,,differential,,0.18726,,840
,sts,,,0.0,shift_noisecorr,,0.7699493444576878,0.051679,0.051679,,,differential,,-0.06712,,30
,rtr,,,1.000000000001e-06,shift_noisecorr,,0.4363215441258507,-0.031286,-0.031287,,,differential,,0.071704,,30
,sts,,,0.0,shift_noisecorr,,0.45119189511323005,0.030284,0.030284,,,differential,,-0.06712,,60
,rtr,,,9.999999999975306e-07,shift_noisecorr,,0.30568726988731454,-0.021919,-0.02192,,,differential,,0.071704,,60
,sts,,,-3.469446951953614e-18,shift_noisecorr,,0.04770560190703213,0.0032019999999999965,0.003202,,,differential,,-0.06712,,840
,rtr,,,9.999999999944949e-07,shift_noisecorr,,0.03858920004462799,-0.0027670000000000056,-0.002768,,,differential,,0.071704,,840
,sts,,,3.469446951953614e-18,asym_shift_coupling,,0.5221577561045063,0.029339000000000004,0.029339,,,differential,,-0.056188,,30
,rtr,,,6.938893903907228e-18,asym_shift_coupling,,0.5446475484638146,-0.039389999999999994,-0.03939,,,differential,,0.072322,,30
,sts,,,0.0,asym_shift_coupling,,0.15065494411618138,0.008465,0.008465,,,differential,,-0.056188,,60
,rtr,,,3.469446951953614e-18,asym_shift_coupling,,0.3481098420950748,-0.025175999999999997,-0.025176,,,differential,,0.072322,,60
,sts,,,-2.981555974335137e-19,asym_shift_coupling,,0.0025984195913718285,-0.0001460000000000003,-0.000146,,,differential,,-0.056188,,840
,rtr,,,1.3010426069826053e-18,asym_shift_coupling,,0.028760266585547947,-0.0020799999999999985,-0.00208,,,differential,,0.072322,,840
,sts,,,0.0,asym_shift_noisecorr,,0.6607816563495843,0.03608,0.03608,,,differential,,-0.054602,,30
,rtr,,,-1.000000000001e-06,asym_shift_noisecorr,,0.39990973371445765,-0.013291,-0.01329,,,differential,,0.033235,,30
,sts,,,-3.469446951953614e-18,asym_shift_noisecorr,,0.3144207171898465,0.017167999999999996,0.017168,,,differential,,-0.054602,,60
,rtr,,,-1.734723475976807e-18,asym_shift_noisecorr,,0.2739581766210321,-0.009105000000000002,-0.009105,,,differential,,0.033235,,60
,sts,,,-4.0115480381963664e-18,asym_shift_noisecorr,,0.006300135526171277,-0.000344000000000004,-0.000344,,,differential,,-0.054602,,840
,rtr,,,-3.415236843329339e-18,asym_shift_noisecorr,,0.011584173311268342,-0.0003850000000000034,-0.000385,,,differential,,0.033235,,840
,all,,,,baseline,,,,,3.608224830031759e-16,500,empirical,0,,,30
,all,,,,baseline,,,,,5.898059818321144e-16,500,empirical,0,,,60
,all,,,,asym_baseline,,,,,3.3306690738754696e-16,500,empirical,0,,,30
,all,,,,asym_baseline,,,,,5.152128723651117e-16,500,empirical,0,,,60
,all,,,,asym_shift_coupling,,,,,3.0531133177191805e-16,500,empirical,0,,,30
,all,,,,asym_shift_coupling,,,,,4.440892098500626e-16,500,empirical,0,,,60
