# 09_global_fc_per_bin.py variant=ts_demean regions=115 pairs=6555 excluded_regions=20 bin_trs=30 git=66b570e-dirty
subject,condition,bin,mean_r,n_tr
3,DMT,14,0.228408,30
3,DMT,15,0.131582,30
3,DMT,16,0.193564,30
3,DMT,17,0.238409,30
3,DMT,18,0.175301,30
3,DMT,19,0.066493,30
3,DMT,20,0.085362,30
3,DMT,21,0.119621,30
3,DMT,22,0.040751,30
3,DMT,23,0.287327,30
3,DMT,24,0.145826,30
3,DMT,25,0.180887,30
3,DMT,26,0.092090,30
3,DMT,27,0.040443,30
3,DMT,28,0.113000,30
3,PCB,1,0.391695,30
3,PCB,2,0.319967,30
3,PCB,3,0.155091,30
3,PCB,4,0.292059,30
3,PCB,5,0.285686,30
3,PCB,6,0.206131,30
3,PCB,7,0.209196,30
3,PCB,8,0.269943,30
3,PCB,9,0.359750,30
3,PCB,10,0.089072,30
3,PCB,11,0.131714,30
3,PCB,12,0.112775,30
3,PCB,13,0.169016,30
3,PCB,14,0.109260,30
3,PCB,15,0.069156,30
3,PCB,16,0.076031,30
3,PCB,17,0.056571,30
3,PCB,18,0.056321,30
3,PCB,19,0.099217,30
3,PCB,20,0.095077,30
3,PCB,21,0.134940,30
3,PCB,22,0.052256,30
3,PCB,23,0.142830,30
3,PCB,24,0.107651,30
3,PCB,25,0.125491,30
3,PCB,26,0.159802,30
3,PCB,27,0.083386,30
3,PCB,28,0.112558,30
4,DMT,1,0.059682,30
4,DMT,2,0.186583,30
4,DMT,3,0.200419,30
4,DMT,4,0.058942,30
4,DMT,5,0.169244,30
4,DMT,6,0.056106,30
4,DMT,7,0.087821,30
4,DMT,8,0.100128,30
4,DMT,9,0.373679,30
4,DMT,10,0.166213,30
4,DMT,11,0.129139,30
4,DMT,12,0.151460,30
4,DMT,13,0.341831,30
4,DMT,14,0.105722,30
4,DMT,15,0.088030,30
4,DMT,16,0.093871,30
4,DMT,17,0.052241,30
4,DMT,18,0.112806,30
4,DMT,19,0.049271,30
4,DMT,20,0.166358,30
4,DMT,21,0.122086,30
4,DMT,22,0.106352,30
4,DMT,23,0.038370,30
4,DMT,24,0.073456,30
4,DMT,25,0.053540,30
4,DMT,26,0.166638,30
4,DMT,27,0.155820,30
4,DMT,28,0.093425,30
4,PCB,1,0.050628,30
4,PCB,2,0.088510,30
4,PCB,3,0.056643,30
4,PCB,4,0.034554,30
4,PCB,5,0.111562,30
4,PCB,6,0.056584,30
4,PCB,7,0.088221,30
4,PCB,8,0.180966,30
4,PCB,9,0.209658,30
4,PCB,10,0.103037,30
4,PCB,11,0.072421,30
4,PCB,12,0.079780,30
4,PCB,13,0.196600,30
4,PCB,14,0.160518,30
4,PCB,15,0.091648,30
4,PCB,16,0.104784,30
4,PCB,17,0.061412,30
4,PCB,18,0.090743,30
4,PCB,19,0.049613,30
4,PCB,20,0.072723,30
4,PCB,21,0.044881,30
4,PCB,22,0.092476,30
4,PCB,23,0.090302,30
4,PCB,24,0.249798,30
4,PCB,25,0.214236,30
4,PCB,26,0.064588,30
4,PCB,27,0.142876,30
4,PCB,28,0.111297,30
5,DMT,1,0.079650,30
5,DMT,2,0.097451,30
5,DMT,3,0.089500,30
5,DMT,4,0.098705,30
5,DMT,5,0.203803,30
5,DMT,6,0.071652,30
5,DMT,7,0.171902,30
5,DMT,8,0.123045,30
5,DMT,9,0.213557,30
5,DMT,10,0.063323,30
5,DMT,11,0.177666,30
5,DMT,12,0.247678,30
5,DMT,13,0.117947,30
5,DMT,14,0.068067,30
5,DMT,15,0.037680,30
5,DMT,16,0.085033,30
5,DMT,17,0.046052,30
5,DMT,18,0.183853,30
5,DMT,19,0.039240,30
5,DMT,20,0.129641,30
5,DMT,21,0.161543,30
5,DMT,22,0.236797,30
5,DMT,23,0.146287,30
5,DMT,24,0.116246,30
5,DMT,25,0.279655,30
5,DMT,26,0.125638,30
5,DMT,27,0.202085,30
5,DMT,28,0.119640,30
5,PCB,1,0.096987,30
5,PCB,2,0.021279,30
5,PCB,3,0.067858,30
5,PCB,4,0.111268,30
5,PCB,5,0.085079,30
5,PCB,6,0.039410,30
5,PCB,7,0.080286,30
5,PCB,8,0.064051,30
5,PCB,9,0.121954,30
5,PCB,10,0.031432,30
5,PCB,11,0.055129,30
5,PCB,12,0.025481,30
5,PCB,13,0.109482,30
5,PCB,14,0.062438,30
5,PCB,15,0.118007,30
5,PCB,16,0.029686,30
5,PCB,17,0.117049,30
5,PCB,18,0.038744,30
5,PCB,19,0.088034,30
5,PCB,20,0.099227,30
5,PCB,21,0.047282,30
5,PCB,22,0.059645,30
5,PCB,23,0.032278,30
5,PCB,24,0.071645,30
5,PCB,25,0.056741,30
5,PCB,26,0.155644,30
5,PCB,27,0.060511,30
5,PCB,28,0.043998,30
6,DMT,1,0.156046,30
6,DMT,2,0.181261,30
6,DMT,3,0.207319,30
6,DMT,4,0.115815,30
6,DMT,5,0.193359,30
6,DMT,6,0.119504,30
6,DMT,7,0.237274,30
6,DMT,8,0.137659,30
6,DMT,9,0.304659,30
6,DMT,10,0.472358,30
6,DMT,11,0.201297,30
6,DMT,12,0.169549,30
6,DMT,13,0.269676,30
6,DMT,14,0.065509,30
6,DMT,15,0.336788,30
6,DMT,16,0.122628,30
6,DMT,17,0.327334,30
6,DMT,18,0.462325,30
6,DMT,19,0.154851,30
6,DMT,20,0.225813,30
6,DMT,21,0.202137,30
6,DMT,22,0.281579,30
6,DMT,23,0.412975,30
6,DMT,24,0.527775,30
6,DMT,25,0.139398,30
6,DMT,26,0.236626,30
6,DMT,27,0.252095,30
6,DMT,28,0.224824,30
6,PCB,1,0.187848,30
6,PCB,2,0.167275,30
6,PCB,3,0.094109,30
6,PCB,4,0.071891,30
6,PCB,5,0.097277,30
6,PCB,6,0.128196,30
6,PCB,7,0.183367,30
6,PCB,8,0.149874,30
6,PCB,9,0.232923,30
6,PCB,10,0.095871,30
6,PCB,11,0.131291,30
