# script=01_synergy_timecourse.py variant=ts_demean regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=84ea657
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,PCB,3,0.025876,0.001687,-0.000782,0.570636,-0.000782,0.631214,0.000782,-0.570396,0.001687,-0.001687,0.609572,-0.571353,0.570026,-0.570252,-0.569102,1.180927
0,PCB,4,0.021314,0.008083,0.004963,0.605368,0.004963,0.589384,-0.004963,-0.601304,0.008083,-0.008083,0.618599,-0.600342,0.604599,-0.599614,-0.599581,1.244690
0,PCB,5,0.025631,0.005164,0.003497,0.527228,0.003497,0.580749,-0.003497,-0.525864,0.005164,-0.005164,0.546735,-0.524330,0.526443,-0.523972,-0.525347,1.114361
0,PCB,6,0.029491,0.003905,0.004024,0.580551,0.004024,0.613717,-0.004024,-0.580256,0.003905,-0.003905,0.600434,-0.580633,0.581780,-0.581636,-0.581241,1.211399
0,PCB,7,0.036426,0.003104,0.002152,0.574879,0.002152,0.602231,-0.002152,-0.574857,0.003104,-0.003104,0.608949,-0.575028,0.571738,-0.572253,-0.572375,1.189994
0,PCB,8,0.046703,0.005262,0.007600,0.578536,0.007600,0.616846,-0.007600,-0.577483,0.005262,-0.005262,0.604131,-0.577416,0.579879,-0.576576,-0.576358,1.245602
0,PCB,9,0.024309,0.002939,0.005085,0.582679,0.005085,0.623531,-0.005085,-0.582624,0.002939,-0.002939,0.609814,-0.581278,0.581531,-0.580210,-0.581926,1.202100
0,PCB,10,0.012406,0.003224,0.004821,0.619518,0.004821,0.645762,-0.004821,-0.615020,0.003224,-0.003224,0.607133,-0.615143,0.620646,-0.616446,-0.616229,1.267586
0,PCB,11,0.021757,0.010941,0.010681,0.542319,0.010681,0.573725,-0.010681,-0.535493,0.010941,-0.010941,0.566179,-0.535376,0.542328,-0.535088,-0.536414,1.119771
0,PCB,12,0.039250,0.010495,0.024957,0.486443,0.024957,0.517134,-0.024957,-0.471178,0.010495,-0.010495,0.566495,-0.468980,0.487354,-0.470882,-0.473525,1.046507
0,PCB,13,0.017648,0.005615,0.007707,0.516781,0.007707,0.566037,-0.007707,-0.510691,0.005615,-0.005615,0.544028,-0.509999,0.515614,-0.509371,-0.510976,1.067220
0,PCB,14,0.033498,0.009108,0.015328,0.505705,0.015328,0.529680,-0.015328,-0.495534,0.009108,-0.009108,0.538405,-0.495364,0.506494,-0.496695,-0.496498,1.082834
0,PCB,15,0.020706,0.007899,0.011230,0.563070,0.011230,0.591151,-0.011230,-0.555264,0.007899,-0.007899,0.591871,-0.555124,0.564472,-0.556053,-0.557381,1.172905
0,PCB,16,0.032008,0.016349,0.009093,0.646881,0.009093,0.682849,-0.009093,-0.640474,0.016349,-0.016349,0.638239,-0.641828,0.644966,-0.639970,-0.639210,1.316178
0,PCB,17,0.042829,0.013381,0.016633,0.553214,0.016633,0.588260,-0.016633,-0.547887,0.013381,-0.013381,0.554635,-0.547253,0.553839,-0.547352,-0.549635,1.156398
0,PCB,18,0.006323,0.003283,0.011936,0.530746,0.011936,0.570455,-0.011936,-0.521692,0.003283,-0.003283,0.567678,-0.522480,0.531698,-0.523263,-0.523728,1.088603
0,PCB,19,0.033186,0.013005,0.017660,0.611694,0.017660,0.629795,-0.017660,-0.599357,0.013005,-0.013005,0.621693,-0.599931,0.611685,-0.599826,-0.600134,1.266787
0,PCB,20,0.025322,0.004945,0.002505,0.604545,0.002505,0.632789,-0.002505,-0.604613,0.004945,-0.004945,0.660272,-0.605725,0.605241,-0.607091,-0.605652,1.261940
0,PCB,21,0.036888,0.008987,0.007678,0.608834,0.007678,0.700948,-0.007678,-0.604482,0.008987,-0.008987,0.661357,-0.605931,0.608907,-0.605784,-0.605685,1.269795
0,PCB,22,0.032094,0.000209,-0.001161,0.652321,-0.001161,0.715995,0.001161,-0.655610,0.000209,-0.000209,0.689305,-0.656804,0.653344,-0.657807,-0.656419,1.350102
0,PCB,23,0.031759,0.005941,0.003332,0.627079,0.003332,0.667001,-0.003332,-0.624242,0.005941,-0.005941,0.631530,-0.626606,0.624700,-0.624597,-0.623324,1.303152
0,PCB,24,0.063997,0.003801,0.010894,0.702683,0.010894,0.734543,-0.010894,-0.700350,0.003801,-0.003801,0.723349,-0.700633,0.705192,-0.703064,-0.702236,1.476779
0,PCB,25,0.037732,0.032586,0.025590,0.567152,0.025590,0.631209,-0.025590,-0.543784,0.032586,-0.032586,0.602544,-0.546418,0.567644,-0.545358,-0.547019,1.227212
0,PCB,26,0.019349,0.033956,0.026666,0.378023,0.026666,0.367776,-0.026666,-0.356505,0.033956,-0.033956,0.394703,-0.357157,0.375073,-0.356771,-0.352250,0.838107
0,PCB,27,0.033319,0.004529,0.007207,0.600526,0.007207,0.623787,-0.007207,-0.597092,0.004529,-0.004529,0.617882,-0.597326,0.597190,-0.593411,-0.593102,1.228360
1,DMT,0,0.038728,0.008419,0.004859,0.706568,0.004859,0.732880,-0.004859,-0.706273,0.008419,-0.008419,0.702577,-0.705073,0.705554,-0.703891,-0.705082,1.445837
1,DMT,1,0.014755,0.010959,0.014672,0.587798,0.014672,0.614765,-0.014672,-0.579735,0.010959,-0.010959,0.590265,-0.576829,0.586141,-0.574517,-0.577217,1.189115
1,DMT,2,0.010277,0.003119,0.006371,0.579317,0.006371,0.638193,-0.006371,-0.576339,0.003119,-0.003119,0.609107,-0.576896,0.580358,-0.577638,-0.577428,1.176370
1,DMT,3,0.013944,0.002533,0.009181,0.552846,0.009181,0.620052,-0.009181,-0.549798,0.002533,-0.002533,0.577943,-0.551328,0.553157,-0.551017,-0.550397,1.144547
1,DMT,4,0.017505,0.006760,0.004581,0.592533,0.004581,0.615670,-0.004581,-0.589774,0.006760,-0.006760,0.615288,-0.590291,0.591995,-0.589783,-0.588982,1.202825
1,DMT,5,0.024078,0.004292,0.001754,0.603401,0.001754,0.671252,-0.001754,-0.602233,0.004292,-0.004292,0.624200,-0.602357,0.603515,-0.603163,-0.602366,1.233188
1,DMT,6,0.034878,0.008559,0.010913,0.491537,0.010913,0.558289,-0.010913,-0.486655,0.008559,-0.008559,0.531874,-0.487449,0.491574,-0.487419,-0.487221,1.046711
1,DMT,7,0.017293,0.003121,-0.001087,0.600222,-0.001087,0.637647,0.001087,-0.599904,0.003121,-0.003121,0.618160,-0.599814,0.601448,-0.602111,-0.600494,1.221018
1,DMT,8,0.026519,0.002167,-0.002789,0.646681,-0.002789,0.680188,0.002789,-0.645547,0.002167,-0.002167,0.662984,-0.648447,0.647082,-0.648371,-0.646962,1.324877
1,DMT,9,0.017281,0.004180,0.002452,0.572539,0.002452,0.612762,-0.002452,-0.570007,0.004180,-0.004180,0.602370,-0.570491,0.572868,-0.570784,-0.570642,1.168670
1,DMT,10,0.013953,0.002376,0.003773,0.553324,0.003773,0.614780,-0.003773,-0.551862,0.002376,-0.002376,0.573076,-0.552516,0.553537,-0.552637,-0.552397,1.123792
1,DMT,11,0.017192,0.002345,0.004068,0.540167,0.004068,0.609135,-0.004068,-0.538142,0.002345,-0.002345,0.567133,-0.538725,0.540883,-0.539421,-0.539223,1.101954
1,DMT,12,0.018519,0.002349,0.006445,0.587375,0.006445,0.647728,-0.006445,-0.586248,0.002349,-0.002349,0.604419,-0.585549,0.588209,-0.586138,-0.587021,1.190590
1,DMT,13,0.016256,0.005322,0.002154,0.607414,0.002154,0.652613,-0.002154,-0.605754,0.005322,-0.005322,0.624501,-0.605910,0.606486,-0.604866,-0.604915,1.231209
1,DMT,14,0.014982,0.003757,0.002611,0.611907,0.002611,0.620486,-0.002611,-0.609635,0.003757,-0.003757,0.625860,-0.610081,0.611174,-0.609160,-0.608590,1.243878
1,DMT,15,0.014839,0.003144,0.005503,0.542297,0.005503,0.587651,-0.005503,-0.539413,0.003144,-0.003144,0.554625,-0.539654,0.543247,-0.540571,-0.540563,1.108891
1,DMT,16,0.021998,0.007654,0.011919,0.540814,0.011919,0.554892,-0.011919,-0.532598,0.007654,-0.007654,0.541485,-0.534629,0.541862,-0.535426,-0.534353,1.114685
1,DMT,17,0.020851,0.002894,0.004470,0.553819,0.004470,0.629761,-0.004470,-0.552527,0.002894,-0.002894,0.569133,-0.552234,0.554584,-0.552325,-0.553052,1.127601
1,DMT,18,0.020446,0.004211,0.011852,0.626472,0.011852,0.683331,-0.011852,-0.622570,0.004211,-0.004211,0.658209,-0.621192,0.626334,-0.620707,-0.621567,1.273624
1,DMT,19,0.091202,0.020844,0.005666,0.547026,0.005666,0.521255,-0.005666,-0.541286,0.020844,-0.020844,0.548136,-0.545710,0.547940,-0.546031,-0.542564,1.225429
1,DMT,20,0.019991,0.002492,-0.000365,0.598380,-0.000365,0.591049,0.000365,-0.599750,0.002492,-0.002492,0.605214,-0.598558,0.599350,-0.599826,-0.599260,1.221408
1,DMT,21,0.021938,0.002124,0.006709,0.619390,0.006709,0.719164,-0.006709,-0.615538,0.002124,-0.002124,0.650973,-0.617101,0.619903,-0.616670,-0.616947,1.254907
1,DMT,22,0.026303,0.005361,0.006650,0.584400,0.006650,0.665991,-0.006650,-0.582053,0.005361,-0.005361,0.597785,-0.580054,0.583701,-0.578849,-0.580839,1.195478
1,DMT,23,0.014317,0.005100,0.008204,0.661307,0.008204,0.724027,-0.008204,-0.653042,0.005100,-0.005100,0.687852,-0.655361,0.663177,-0.657228,-0.655331,1.335903
1,DMT,24,0.028310,0.002930,0.009056,0.698088,0.009056,0.720233,-0.009056,-0.691935,0.002930,-0.002930,0.685930,-0.693206,0.698546,-0.693110,-0.693582,1.421982
1,DMT,25,0.021620,0.009490,0.013165,0.576843,0.013165,0.556892,-0.013165,-0.570055,0.009490,-0.009490,0.593514,-0.569566,0.575810,-0.568096,-0.569761,1.192407
1,DMT,26,0.052644,0.011733,0.009019,0.649968,0.009019,0.779251,-0.009019,-0.640972,0.011733,-0.011733,0.704303,-0.646052,0.656241,-0.653525,-0.646744,1.357761
1,DMT,27,0.013976,0.011331,0.013797,0.580687,0.013797,0.578384,-0.013797,-0.565731,0.011331,-0.011331,0.573148,-0.570452,0.583602,-0.572931,-0.571220,1.183410
1,PCB,0,0.022519,0.011222,0.015366,0.679872,0.015366,0.665251,-0.015366,-0.670620,0.011222,-0.011222,0.686083,-0.669388,0.679373,-0.669012,-0.669898,1.384392
1,PCB,1,0.027519,0.005898,0.004190,0.571902,0.004190,0.578212,-0.004190,-0.571129,0.005898,-0.005898,0.603801,-0.569120,0.571565,-0.569065,-0.570599,1.176944
1,PCB,2,0.024616,0.009761,0.010014,0.601990,0.010014,0.642790,-0.010014,-0.596989,0.009761,-0.009761,0.618090,-0.595087,0.601278,-0.594398,-0.596706,1.233285
1,PCB,3,0.022900,0.008098,0.011701,0.595638,0.011701,0.638207,-0.011701,-0.591359,0.008098,-0.008098,0.612579,-0.592287,0.595802,-0.591455,-0.591292,1.230596
1,PCB,4,0.023640,0.006252,0.007207,0.626223,0.007207,0.698175,-0.007207,-0.623202,0.006252,-0.006252,0.701436,-0.621980,0.625244,-0.621482,-0.621562,1.282141
