# script=07_windowed_atoms_did.py variant=ts_gsr window_trs=60 n_boot=10000 seed=20261120 windowed_file=atoms_win60_115regions-all_ts_gsr_window.npy global_file=atoms_bins_115regions-all_ts_gsr_global.npy git=f3b435d-dirty
estimator,window_set,atom,pre_dmt,pre_pcb,change_dmt,change_pcb,did_mean,ci_lo,ci_hi,p_signflip,n_negative,did_over_pre_dmt
windowed,primary,sts,1.155376719125973,1.1377895407727243,-0.04847102940570617,0.03239517991611775,-0.08086620932182391,-0.12532941231764907,-0.036546928396967854,0.0037841796875,13,-0.06999120545115199
windowed,primary,rtr,0.03880994079744514,0.03747418929352509,-0.007226547750595937,0.000544212827898598,-0.007770760578494537,-0.01346383155153973,-0.0016167613879309432,0.03125,10,-0.20022603536169492
windowed,primary,total,1.4771784835072173,1.4596681488738386,-0.06781829304197264,0.035899607977742484,-0.10371790101971512,-0.1599992789617987,-0.04785905016913857,0.00341796875,12,-0.07021352001652573
windowed,primary,xtx,0.6272617548217541,0.6130737130449767,-0.02802164090274292,0.02430311701725974,-0.052324757920002664,-0.08391680697590012,-0.022120564812211987,0.0064697265625,12,-0.08341773991126167
windowed,primary,yty,0.6125267524795088,0.6060422471362982,-0.024376874431247388,0.015239674138261898,-0.03961654856950929,-0.06734507442587208,-0.01303144985873127,0.0130615234375,13,-0.06467725435524484
windowed,primary,rts,0.5668704492730409,0.5560598902643675,-0.022411449856692387,0.018249450434161436,-0.04066090029085383,-0.0645230432040769,-0.017796805752620555,0.005126953125,12,-0.07172873509811226
windowed,sensitivity,sts,1.155376719125973,1.1377895407727243,-0.049143529301426674,0.024200293220113474,-0.07334382252154015,-0.11788348943531746,-0.029768029893896906,0.0069580078125,12,-0.06348044002221524
windowed,sensitivity,rtr,0.03880994079744514,0.03747418929352509,-0.006913706278136757,0.00016827009707945966,-0.007081976375216217,-0.012695287555742311,-0.0009974493460059304,0.0423583984375,10,-0.1824784122237678
windowed,sensitivity,total,1.4771784835072173,1.4596681488738386,-0.06665028794520422,0.026359119238757032,-0.09300940718396125,-0.14947281662949805,-0.03699253878442585,0.0072021484375,12,-0.06296423094596668
windowed,sensitivity,xtx,0.6272617548217541,0.6130737130449767,-0.027859874358380277,0.018802819421576262,-0.046662693779956535,-0.07870642955154804,-0.016297524175478414,0.013671875,12,-0.07439110295065965
windowed,sensitivity,yty,0.6125267524795088,0.6060422471362982,-0.0245369983433883,0.010599043699397737,-0.03513604204278604,-0.06317607515272092,-0.009145544379173405,0.02392578125,12,-0.0573624611505625
windowed,sensitivity,rts,0.5668704492730409,0.5560598902643675,-0.023063294229893633,0.014021461737795322,-0.037084755967688954,-0.06060797490728964,-0.014546493467475332,0.0079345703125,13,-0.06542016084141754
windowed,peak(bins 9-14),sts,1.155376719125973,1.1377895407727243,-0.08332918517798818,-0.01328779467265327,-0.07004139050533491,-0.10652799079575483,-0.030133133793024056,0.0054931640625,13,-0.060622123802460105
windowed,peak(bins 9-14),rtr,0.03880994079744514,0.03747418929352509,-0.010055587190341225,0.0002789591347491164,-0.010334546325090342,-0.016412140228681846,-0.00362258482321797,0.011962890625,11,-0.2662860626102956
windowed,peak(bins 9-14),total,1.4771784835072173,1.4596681488738386,-0.10867510696129346,-0.01580311644748284,-0.0928719905138106,-0.14142689588007568,-0.04172079676190782,0.005126953125,12,-0.06287120449609288
windowed,peak(bins 9-14),xtx,0.6272617548217541,0.6130737130449767,-0.047827277256133637,-0.008250384815013214,-0.03957689244112043,-0.07077128493408176,-0.008550392321042271,0.0362548828125,10,-0.06309470031752024
windowed,peak(bins 9-14),yty,0.6125267524795088,0.6060422471362982,-0.04310679014147201,-0.011829671472444705,-0.031277118669027305,-0.05635655539843432,-0.00543095561903323,0.0361328125,11,-0.05106245326006987
windowed,peak(bins 9-14),rts,0.5668704492730409,0.5560598902643675,-0.040675377399486644,-0.006157421557562873,-0.03451795584192378,-0.05497152001138691,-0.012906790726753964,0.0096435546875,12,-0.06089214191036043
global,primary,sts,1.3085170237102626,1.2893436040581727,-0.05212037770620971,0.02796069133625215,-0.08008106904246186,-0.13021554482145367,-0.031047924800376332,0.007080078125,12,-0.061199867935530776
global,primary,rtr,0.02479752865060974,0.022520212233807933,-0.006151322519340694,-0.00010191507678726185,-0.00604940744255343,-0.013101168281310575,0.0014245696145975388,0.1378173828125,10,-0.24395202956665132
global,primary,total,1.4421155390020064,1.4046388144065538,-0.08518870558557479,0.03644847141941698,-0.12163717700499177,-0.19174697969747595,-0.05259430424576891,0.005126953125,13,-0.08434634654111617
global,primary,xtx,0.6896767476167839,0.672091375869746,-0.032336827321212666,0.022069159206000895,-0.05440598652721356,-0.08849428615836274,-0.021617735235886892,0.008056640625,12,-0.07888621258468761
global,primary,yty,0.6719075441730213,0.6622927848352906,-0.028893943788225598,0.01416032376253842,-0.04305426755076402,-0.0766887710847074,-0.012767293604723496,0.013671875,13,-0.0640776665244247
