# script=01_synergy_timecourse.py variant=ts_demean regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=window window_trs=60 placebo_fit_trs=na seed=20261120 git=f3b435d
subject,condition,window,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
1,DMT,3,0.035008,0.028724,0.028058,0.495948,0.028044,0.549620,-0.027968,-0.461915,0.028706,-0.028662,0.526278,-0.463268,0.496272,-0.464038,-0.464351,1.035945
1,DMT,4,0.040242,0.031149,0.024133,0.518086,0.024133,0.576266,-0.024133,-0.484438,0.031151,-0.031102,0.559494,-0.488956,0.516472,-0.485763,-0.487002,1.072250
1,DMT,5,0.019236,0.019391,0.021931,0.471508,0.021928,0.534684,-0.021928,-0.440873,0.019370,-0.019347,0.502576,-0.443964,0.471681,-0.442273,-0.442911,0.959817
1,DMT,6,0.028966,0.024286,0.021391,0.539372,0.021409,0.606684,-0.021391,-0.510471,0.024286,-0.024228,0.578063,-0.511441,0.538943,-0.510026,-0.511140,1.094417
1,DMT,7,0.024650,0.021981,0.022131,0.506684,0.022140,0.555875,-0.022128,-0.478342,0.022008,-0.021968,0.555605,-0.479384,0.505840,-0.478353,-0.478209,1.035483
1,DMT,8,0.031030,0.025247,0.028683,0.491743,0.028762,0.546939,-0.028607,-0.456130,0.025241,-0.025222,0.514371,-0.459736,0.492566,-0.457284,-0.458586,1.011514
1,DMT,9,0.058647,0.035279,0.030512,0.521183,0.030576,0.564230,-0.030372,-0.490326,0.035352,-0.034753,0.560358,-0.493274,0.520565,-0.491966,-0.489971,1.117501
1,DMT,10,0.030232,0.024332,0.023798,0.551821,0.023782,0.606244,-0.023775,-0.517605,0.024311,-0.024277,0.584827,-0.521814,0.551421,-0.517307,-0.521231,1.119790
1,DMT,11,0.033168,0.022946,0.024029,0.569141,0.024037,0.635849,-0.023949,-0.538083,0.022957,-0.022902,0.594876,-0.539573,0.568702,-0.537381,-0.539040,1.155265
1,DMT,12,0.035077,0.024047,0.028207,0.558530,0.028199,0.591593,-0.028192,-0.524732,0.023988,-0.023983,0.598455,-0.523895,0.557109,-0.524460,-0.524950,1.145717
1,DMT,13,0.043051,0.026040,0.030352,0.556850,0.030233,0.615216,-0.030162,-0.516611,0.026022,-0.025787,0.595886,-0.523539,0.560572,-0.526409,-0.521664,1.146059
1,PCB,0,0.036012,0.028341,0.028675,0.548446,0.028671,0.570571,-0.028610,-0.515273,0.028329,-0.028241,0.598861,-0.512982,0.547338,-0.514859,-0.512767,1.128253
1,PCB,1,0.039218,0.027282,0.029460,0.538001,0.029472,0.585713,-0.029313,-0.505880,0.027287,-0.027157,0.564265,-0.508126,0.538323,-0.506045,-0.508912,1.117322
1,PCB,2,0.038336,0.027193,0.027219,0.524059,0.027214,0.589773,-0.027129,-0.487880,0.027225,-0.027133,0.594443,-0.487652,0.522806,-0.486675,-0.489728,1.086360
1,PCB,3,0.049138,0.024422,0.024458,0.548112,0.024450,0.609640,-0.024424,-0.522569,0.024436,-0.024422,0.594808,-0.523447,0.549039,-0.523624,-0.523529,1.142257
1,PCB,4,0.035256,0.031608,0.027160,0.487739,0.027152,0.515635,-0.027076,-0.455008,0.031583,-0.031566,0.504258,-0.455784,0.487578,-0.456130,-0.455910,1.018016
1,PCB,5,0.061632,0.027853,0.031016,0.567461,0.031006,0.676091,-0.030891,-0.529858,0.027761,-0.027740,0.625414,-0.532047,0.570420,-0.534400,-0.536494,1.173916
1,PCB,6,0.046506,0.033844,0.041027,0.522510,0.040917,0.544069,-0.040766,-0.471276,0.033726,-0.033492,0.545026,-0.473096,0.522765,-0.473948,-0.471897,1.063090
1,PCB,7,0.041545,0.024926,0.025656,0.538181,0.025650,0.602521,-0.025632,-0.507898,0.024982,-0.024918,0.590835,-0.509499,0.539878,-0.510724,-0.509069,1.111465
1,PCB,8,0.038854,0.024121,0.024346,0.578144,0.024334,0.659140,-0.024318,-0.545575,0.024122,-0.024096,0.627826,-0.549992,0.577416,-0.545687,-0.546675,1.184900
1,PCB,9,0.038408,0.039456,0.024167,0.488517,0.024130,0.514022,-0.024036,-0.449700,0.039427,-0.039368,0.509795,-0.453219,0.489101,-0.453248,-0.450879,1.050762
1,PCB,10,0.036952,0.024252,0.027952,0.562073,0.027951,0.647465,-0.027929,-0.527335,0.024249,-0.024249,0.596946,-0.530947,0.561626,-0.527978,-0.530161,1.161745
1,PCB,11,0.041405,0.025809,0.029788,0.545039,0.029821,0.609955,-0.029737,-0.507531,0.025812,-0.025728,0.581855,-0.511943,0.545088,-0.510590,-0.510212,1.122440
1,PCB,12,0.031606,0.023250,0.030913,0.550290,0.030929,0.587575,-0.030797,-0.509558,0.023254,-0.023222,0.586494,-0.511290,0.551383,-0.510630,-0.511327,1.121015
1,PCB,13,0.031924,0.026965,0.029230,0.557519,0.029265,0.589796,-0.029189,-0.516847,0.026947,-0.026894,0.603710,-0.515710,0.557193,-0.515914,-0.516289,1.140490
2,DMT,0,0.043174,0.035145,0.030729,0.548030,0.030708,0.582861,-0.030475,-0.507348,0.035162,-0.035019,0.558848,-0.513040,0.547608,-0.511106,-0.511622,1.143188
2,DMT,1,0.033926,0.027445,0.024658,0.521150,0.024663,0.564822,-0.024651,-0.488656,0.027496,-0.027435,0.576809,-0.489322,0.520544,-0.489260,-0.488671,1.090825
2,DMT,2,0.033777,0.023216,0.024122,0.553212,0.024117,0.644822,-0.024106,-0.522054,0.023211,-0.023198,0.577565,-0.525262,0.554054,-0.522412,-0.524966,1.129040
2,DMT,3,0.034727,0.020934,0.022775,0.568667,0.022775,0.625748,-0.022775,-0.540822,0.020934,-0.020934,0.651331,-0.540521,0.568208,-0.541618,-0.539019,1.157586
2,DMT,4,0.036488,0.040324,0.022462,0.453477,0.022444,0.466394,-0.022356,-0.421575,0.040418,-0.040250,0.512760,-0.419825,0.453637,-0.421411,-0.419146,0.962101
2,DMT,5,0.025208,0.033922,0.033666,0.332632,0.033637,0.354895,-0.033404,-0.290156,0.033866,-0.033569,0.352427,-0.289800,0.332735,-0.291141,-0.291315,0.741613
2,DMT,6,0.036880,0.042748,0.031789,0.414973,0.031844,0.460251,-0.031599,-0.370484,0.042719,-0.042641,0.425043,-0.374674,0.414664,-0.373435,-0.373462,0.901184
2,DMT,7,0.027413,0.023967,0.026413,0.497656,0.026410,0.543281,-0.026371,-0.465263,0.023973,-0.023956,0.530977,-0.467011,0.498280,-0.466306,-0.467092,1.017256
2,DMT,8,0.035754,0.025467,0.025245,0.536771,0.025233,0.604108,-0.025233,-0.505791,0.025466,-0.025466,0.563460,-0.505194,0.537002,-0.503098,-0.508034,1.100580
2,DMT,9,0.039469,0.032072,0.022086,0.519369,0.022081,0.571136,-0.022075,-0.490497,0.032040,-0.031969,0.565235,-0.487032,0.518278,-0.486319,-0.489473,1.068893
2,DMT,10,0.024188,0.023057,0.021104,0.526411,0.021113,0.574566,-0.021070,-0.495850,0.023046,-0.023014,0.547905,-0.496797,0.525320,-0.494966,-0.497216,1.069473
