# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atoms=rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts tau=1 redundancy=MMI fit_mode=placebo window_trs=na placebo_fit_trs=420 seed=20261120 git=553e919
subject,condition,bin,rtr,rtx,rty,rts,xtr,xtx,xty,xts,ytr,ytx,yty,yts,str,stx,sty,sts
0,PCB,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,PCB,14,0.031145,0.003938,0.007454,0.647839,0.007454,0.715309,-0.007454,-0.646772,0.003938,-0.003938,0.676172,-0.647245,0.647232,-0.646302,-0.646514,1.317152
0,PCB,15,0.015073,-0.004337,-0.002975,0.693442,-0.002975,0.750646,0.002975,-0.698898,-0.004337,0.004337,0.728208,-0.698922,0.691904,-0.698289,-0.696683,1.398934
0,PCB,16,0.015018,-0.004519,0.001180,0.665930,0.001180,0.713128,-0.001180,-0.670365,-0.004519,0.004519,0.674724,-0.670902,0.663059,-0.667802,-0.668528,1.335187
0,PCB,17,0.008557,-0.000650,0.002891,0.603356,0.002891,0.631727,-0.002891,-0.601470,-0.000650,0.000650,0.588965,-0.602245,0.603800,-0.602470,-0.602574,1.215831
0,PCB,18,-0.001102,-0.010465,-0.004666,0.639613,-0.004666,0.693388,0.004666,-0.647317,-0.010465,0.010465,0.678290,-0.648165,0.639641,-0.648574,-0.647438,1.280757
0,PCB,19,0.003053,-0.002928,-0.002626,0.706065,-0.002626,0.746227,0.002626,-0.710779,-0.002928,0.002928,0.715262,-0.710549,0.705226,-0.710024,-0.711274,1.423682
0,PCB,20,0.014124,-0.008065,-0.001663,0.750041,-0.001663,0.780172,0.001663,-0.760920,-0.008065,0.008065,0.773778,-0.759314,0.750040,-0.759308,-0.759000,1.513607
0,PCB,21,0.014590,-0.017657,-0.009085,0.838569,-0.009085,0.903707,0.009085,-0.852323,-0.017657,0.017657,0.807290,-0.855675,0.836491,-0.852049,-0.852638,1.683816
0,PCB,22,-0.003886,-0.015125,-0.007646,0.787292,-0.007646,0.851009,0.007646,-0.797174,-0.015125,0.015125,0.783025,-0.797475,0.786147,-0.796332,-0.796971,1.565957
0,PCB,23,0.009087,-0.002657,-0.006701,0.722710,-0.006701,0.776853,0.006701,-0.730440,-0.002657,0.002657,0.717967,-0.729572,0.721546,-0.729363,-0.730273,1.460683
0,PCB,24,0.015463,-0.012337,-0.007999,0.873501,-0.007999,0.973448,0.007999,-0.885412,-0.012337,0.012337,0.910573,-0.887223,0.874879,-0.887004,-0.887014,1.757772
0,PCB,25,0.013349,-0.013940,-0.005678,0.863909,-0.005678,0.972264,0.005678,-0.878476,-0.013940,0.013940,0.850081,-0.879499,0.865364,-0.878258,-0.881416,1.747733
0,PCB,26,0.004294,-0.007844,-0.000421,0.540442,-0.000421,0.503016,0.000421,-0.549001,-0.007844,0.007844,0.537564,-0.543764,0.542526,-0.548565,-0.547535,1.101075
0,PCB,27,0.019228,-0.013515,-0.002458,0.642370,-0.002458,0.639937,0.002458,-0.656900,-0.013515,0.013515,0.660228,-0.654106,0.641993,-0.653287,-0.653816,1.304470
1,DMT,0,0.021566,-0.000050,0.001254,0.702373,0.001254,0.721672,-0.001254,-0.705018,-0.000050,0.000050,0.699444,-0.705108,0.700332,-0.703315,-0.702955,1.420480
1,DMT,1,0.016464,0.008743,0.010455,0.596862,0.010455,0.611111,-0.010455,-0.587475,0.008743,-0.008743,0.612980,-0.587086,0.596881,-0.587482,-0.587765,1.212819
1,DMT,2,0.009513,0.001868,0.003755,0.629103,0.003755,0.660029,-0.003755,-0.628365,0.001868,-0.001868,0.649387,-0.628268,0.628855,-0.628955,-0.627921,1.273254
1,DMT,3,0.009711,-0.004133,-0.002396,0.636683,-0.002396,0.689984,0.002396,-0.643179,-0.004133,0.004133,0.650110,-0.642462,0.637392,-0.643948,-0.643122,1.290310
1,DMT,4,0.017121,0.004813,0.003177,0.600782,0.003177,0.611761,-0.003177,-0.601582,0.004813,-0.004813,0.610964,-0.603227,0.602471,-0.603758,-0.603231,1.227979
1,DMT,5,0.017002,-0.000412,0.001197,0.647433,0.001197,0.687518,-0.001197,-0.650869,-0.000412,0.000412,0.645992,-0.650900,0.647567,-0.651619,-0.651422,1.314862
1,DMT,6,0.018479,0.001671,0.003713,0.605934,0.003713,0.648839,-0.003713,-0.607002,0.001671,-0.001671,0.616995,-0.607394,0.605302,-0.606083,-0.605972,1.228644
1,DMT,7,0.011077,0.002023,0.000058,0.631242,0.000058,0.667875,-0.000058,-0.631650,0.002023,-0.002023,0.651857,-0.633615,0.630864,-0.631925,-0.632559,1.272813
1,DMT,8,0.017749,-0.001782,-0.001478,0.685495,-0.001478,0.719115,0.001478,-0.691860,-0.001782,0.001782,0.691503,-0.691235,0.687599,-0.692313,-0.693341,1.392496
1,DMT,9,0.015836,0.004201,0.004565,0.611482,0.004565,0.643086,-0.004565,-0.610390,0.004201,-0.004201,0.643984,-0.609910,0.612391,-0.610801,-0.610804,1.239745
1,DMT,10,0.017180,0.002610,0.005475,0.586756,0.005475,0.626718,-0.005475,-0.585709,0.002610,-0.002610,0.609020,-0.586513,0.586339,-0.586250,-0.585296,1.189557
1,DMT,11,0.019761,0.003368,0.007150,0.582584,0.007150,0.638014,-0.007150,-0.580804,0.003368,-0.003368,0.603446,-0.581411,0.582798,-0.581775,-0.581600,1.187445
1,DMT,12,0.020358,0.004858,0.005932,0.615374,0.005932,0.657227,-0.005932,-0.614252,0.004858,-0.004858,0.620126,-0.614176,0.614431,-0.613155,-0.613942,1.250198
1,DMT,13,0.014169,0.003700,0.000705,0.611925,0.000705,0.651306,-0.000705,-0.613574,0.003700,-0.003700,0.638933,-0.613650,0.613753,-0.615218,-0.615502,1.247303
1,DMT,14,0.011056,0.002897,0.002270,0.631518,0.002270,0.646603,-0.002270,-0.632133,0.002897,-0.002897,0.644974,-0.632016,0.632281,-0.632327,-0.631942,1.276194
1,DMT,15,0.016856,0.003125,0.005222,0.586812,0.005222,0.615965,-0.005222,-0.585178,0.003125,-0.003125,0.598754,-0.585642,0.587115,-0.585716,-0.585185,1.189622
1,DMT,16,0.018560,0.004956,0.005217,0.573948,0.005217,0.617407,-0.005217,-0.573068,0.004956,-0.004956,0.600330,-0.572025,0.574212,-0.573012,-0.572913,1.172928
1,DMT,17,0.013996,0.005432,0.005150,0.602095,0.005150,0.635651,-0.005150,-0.600072,0.005432,-0.005432,0.609757,-0.597904,0.603706,-0.599697,-0.601179,1.217053
1,DMT,18,0.019787,0.001086,0.003885,0.687041,0.003885,0.715073,-0.003885,-0.687434,0.001086,-0.001086,0.690655,-0.687994,0.687863,-0.687930,-0.688890,1.394902
1,DMT,19,0.031340,0.003405,0.007243,0.659307,0.007243,0.671337,-0.007243,-0.663169,0.003405,-0.003405,0.663543,-0.662003,0.660662,-0.663245,-0.665159,1.353199
1,DMT,20,0.019421,-0.000372,-0.000880,0.628009,-0.000880,0.637569,0.000880,-0.633702,-0.000372,0.000372,0.633614,-0.632785,0.628602,-0.633253,-0.633070,1.276392
1,DMT,21,0.016141,0.000032,0.001328,0.668330,0.001328,0.691664,-0.001328,-0.671260,0.000032,-0.000032,0.669288,-0.672201,0.668024,-0.670288,-0.671492,1.349532
1,DMT,22,0.019184,0.000818,0.002348,0.638800,0.002348,0.687726,-0.002348,-0.639955,0.000818,-0.000818,0.629509,-0.640693,0.640267,-0.641312,-0.642041,1.294447
1,DMT,23,0.010032,0.000504,0.000870,0.696456,0.000870,0.724962,-0.000870,-0.697082,0.000504,-0.000504,0.705534,-0.697284,0.697561,-0.697430,-0.698250,1.402979
1,DMT,24,0.015329,0.001680,0.007012,0.731494,0.007012,0.747040,-0.007012,-0.728381,0.001680,-0.001680,0.717441,-0.728489,0.729941,-0.726139,-0.727064,1.471220
1,DMT,25,0.023085,0.007608,0.006490,0.627899,0.006490,0.655529,-0.006490,-0.623644,0.007608,-0.007608,0.634980,-0.622294,0.626542,-0.622294,-0.622408,1.285795
1,DMT,26,0.031980,0.000206,0.001165,0.768317,0.001165,0.825510,-0.001165,-0.774950,0.000206,-0.000206,0.771536,-0.775289,0.768567,-0.773540,-0.776186,1.558695
1,DMT,27,0.018615,0.009515,0.008976,0.618703,0.008976,0.626801,-0.008976,-0.611576,0.009515,-0.009515,0.625409,-0.610031,0.616481,-0.609735,-0.608653,1.252504
1,PCB,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,PCB,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
