# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,window_index,atom,bins_covered,f_first_bin,analytic,est_mean,bias,bias_ci_lo,bias_ci_hi,est_sd
nonstat_step_coupling,30,17,rtr,17-17,1.000000,0.085980,0.055235,-0.030744,-0.031676,-0.029813,0.067240
nonstat_step_coupling,30,18,rtr,18-18,1.000000,0.085980,0.055221,-0.030759,-0.031691,-0.029827,0.067236
nonstat_step_coupling,30,19,rtr,19-19,1.000000,0.085980,0.055914,-0.030066,-0.031005,-0.029126,0.067799
nonstat_step_coupling,30,20,rtr,20-20,1.000000,0.085980,0.055031,-0.030949,-0.031884,-0.030014,0.067448
nonstat_step_coupling,30,21,rtr,21-21,1.000000,0.085980,0.055743,-0.030237,-0.031176,-0.029298,0.067743
nonstat_step_coupling,30,22,rtr,22-22,1.000000,0.085980,0.055574,-0.030406,-0.031337,-0.029474,0.067180
nonstat_step_coupling,30,23,rtr,23-23,1.000000,0.085980,0.054886,-0.031094,-0.032023,-0.030165,0.067003
nonstat_step_coupling,30,24,rtr,24-24,1.000000,0.085980,0.056181,-0.029799,-0.030749,-0.028849,0.068544
nonstat_step_coupling,30,25,rtr,25-25,1.000000,0.085980,0.055284,-0.030696,-0.031615,-0.029777,0.066285
nonstat_step_coupling,30,26,rtr,26-26,1.000000,0.085980,0.054990,-0.030990,-0.031926,-0.030054,0.067534
nonstat_step_coupling,30,27,rtr,27-27,1.000000,0.085980,0.054982,-0.030998,-0.031936,-0.030060,0.067676
nonstat_step_coupling,30,28,rtr,28-28,1.000000,0.085980,0.055416,-0.030564,-0.031492,-0.029635,0.066975
nonstat_step_coupling,60,1,sts,1-2,0.000000,0.094214,0.076983,-0.017231,-0.018214,-0.016248,0.070909
nonstat_step_coupling,60,2,sts,3-4,0.000000,0.094214,0.077672,-0.016543,-0.017531,-0.015554,0.071354
nonstat_step_coupling,60,3,sts,5-6,0.000000,0.094214,0.078168,-0.016046,-0.017040,-0.015052,0.071699
nonstat_step_coupling,60,4,sts,7-8,0.000000,0.094214,0.077147,-0.017067,-0.018054,-0.016081,0.071172
nonstat_step_coupling,60,5,sts,9-10,1.000000,0.038026,0.030256,-0.007770,-0.008254,-0.007286,0.034886
nonstat_step_coupling,60,6,sts,11-12,1.000000,0.038026,0.030215,-0.007811,-0.008297,-0.007325,0.035051
nonstat_step_coupling,60,7,sts,13-14,1.000000,0.038026,0.029855,-0.008171,-0.008653,-0.007689,0.034796
nonstat_step_coupling,60,8,sts,15-16,1.000000,0.038026,0.030473,-0.007554,-0.008043,-0.007064,0.035350
nonstat_step_coupling,60,9,sts,17-18,1.000000,0.038026,0.030297,-0.007730,-0.008222,-0.007237,0.035513
nonstat_step_coupling,60,10,sts,19-20,1.000000,0.038026,0.030142,-0.007885,-0.008372,-0.007398,0.035132
nonstat_step_coupling,60,11,sts,21-22,1.000000,0.038026,0.030103,-0.007924,-0.008404,-0.007444,0.034634
nonstat_step_coupling,60,12,sts,23-24,1.000000,0.038026,0.030130,-0.007896,-0.008372,-0.007421,0.034300
nonstat_step_coupling,60,13,sts,25-26,1.000000,0.038026,0.030004,-0.008023,-0.008505,-0.007541,0.034788
nonstat_step_coupling,60,14,sts,27-28,1.000000,0.038026,0.030260,-0.007766,-0.008253,-0.007279,0.035156
nonstat_step_coupling,60,1,rtr,1-2,0.000000,0.013658,0.019779,0.006121,0.005772,0.006470,0.025200
nonstat_step_coupling,60,2,rtr,3-4,0.000000,0.013658,0.019484,0.005826,0.005474,0.006178,0.025389
nonstat_step_coupling,60,3,rtr,5-6,0.000000,0.013658,0.019836,0.006178,0.005824,0.006532,0.025543
nonstat_step_coupling,60,4,rtr,7-8,0.000000,0.013658,0.019385,0.005727,0.005381,0.006073,0.024947
nonstat_step_coupling,60,5,rtr,9-10,1.000000,0.085980,0.068545,-0.017435,-0.018252,-0.016618,0.058952
nonstat_step_coupling,60,6,rtr,11-12,1.000000,0.085980,0.068889,-0.017091,-0.017916,-0.016267,0.059485
nonstat_step_coupling,60,7,rtr,13-14,1.000000,0.085980,0.069143,-0.016837,-0.017657,-0.016018,0.059133
nonstat_step_coupling,60,8,rtr,15-16,1.000000,0.085980,0.069476,-0.016504,-0.017326,-0.015682,0.059311
nonstat_step_coupling,60,9,rtr,17-18,1.000000,0.085980,0.069303,-0.016677,-0.017498,-0.015856,0.059238
nonstat_step_coupling,60,10,rtr,19-20,1.000000,0.085980,0.069510,-0.016470,-0.017302,-0.015638,0.060012
nonstat_step_coupling,60,11,rtr,21-22,1.000000,0.085980,0.068810,-0.017170,-0.017985,-0.016354,0.058822
nonstat_step_coupling,60,12,rtr,23-24,1.000000,0.085980,0.069371,-0.016609,-0.017438,-0.015780,0.059822
nonstat_step_coupling,60,13,rtr,25-26,1.000000,0.085980,0.069473,-0.016507,-0.017332,-0.015682,0.059527
nonstat_step_coupling,60,14,rtr,27-28,1.000000,0.085980,0.068801,-0.017179,-0.017998,-0.016359,0.059113
nonstat_step_noisecorr,30,1,sts,1-1,0.000000,0.094214,0.058878,-0.035336,-0.036367,-0.034305,0.074371
nonstat_step_noisecorr,30,2,sts,2-2,0.000000,0.094214,0.058819,-0.035396,-0.036414,-0.034377,0.073516
