# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=18ad8b4
subject,condition,bin,synergy_mean
3,PCB,11,1.354163
3,PCB,12,1.425909
3,PCB,13,1.440710
3,PCB,14,1.525519
3,PCB,15,1.466844
3,PCB,16,1.342716
3,PCB,17,1.281507
3,PCB,18,1.132928
3,PCB,19,1.344689
3,PCB,20,1.503636
3,PCB,21,1.413748
3,PCB,22,1.351600
3,PCB,23,1.210388
3,PCB,24,1.417174
3,PCB,25,1.472187
3,PCB,26,1.348707
3,PCB,27,1.443303
4,DMT,0,1.492457
4,DMT,1,1.351098
4,DMT,2,1.251827
4,DMT,3,1.301633
4,DMT,4,1.288073
4,DMT,5,1.375868
4,DMT,6,1.354612
4,DMT,7,1.358803
4,DMT,8,1.413419
4,DMT,9,1.198171
4,DMT,10,1.195694
4,DMT,11,1.134973
4,DMT,12,0.994251
4,DMT,13,1.284443
4,DMT,14,1.287616
4,DMT,15,1.293881
4,DMT,16,1.277138
4,DMT,17,1.212363
4,DMT,18,1.271999
4,DMT,19,1.359965
4,DMT,20,1.417006
4,DMT,21,1.447989
4,DMT,22,1.366293
4,DMT,23,1.272836
4,DMT,24,1.362897
4,DMT,25,1.153263
4,DMT,26,1.236699
4,DMT,27,1.498183
4,PCB,0,1.188043
4,PCB,1,1.384115
4,PCB,2,1.315489
4,PCB,3,1.302381
4,PCB,4,1.429443
4,PCB,5,1.416160
4,PCB,6,1.306312
4,PCB,7,1.370695
4,PCB,8,1.281555
4,PCB,9,1.081705
4,PCB,10,1.291480
4,PCB,11,1.278000
4,PCB,12,1.379823
4,PCB,13,1.257782
4,PCB,14,1.271121
4,PCB,15,1.480343
4,PCB,16,1.463049
4,PCB,17,1.226406
4,PCB,18,1.334880
4,PCB,19,1.254542
4,PCB,20,1.427360
4,PCB,21,1.353326
4,PCB,22,1.408025
4,PCB,23,1.210742
4,PCB,24,1.173848
4,PCB,25,1.394505
4,PCB,26,1.375881
4,PCB,27,1.314886
5,DMT,0,1.316000
5,DMT,1,1.276211
5,DMT,2,1.361713
5,DMT,3,1.348869
