# 11_regional_analysis.py EXPLORATORY variant=ts_demean regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
section,name,value,ci_lo,ci_hi,p,note
workspace_primary_Default+Cont,nonworkspace_mean_did_vs_noncortex_ws+subcortex,-0.099644,-0.162870,-0.034496,0.01379,""
workspace_primary_Default+Cont,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.016252,-0.039179,0.007797,0.21118,"n=24 neg=11/14"
workspace_primary_Default+Cont,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.003851,-0.027220,0.020307,0.76917,"n=13 neg=8/14"
workspace_primary_Default+Cont,gateway_proxy_minus_broadcaster_proxy,-0.012401,-0.043589,0.018306,0.45850,"n_gw=24 n_bc=13"
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws,-0.006977,-0.030474,0.017036,0.58264,"n_ws=26 n_non=73 neg=8/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws,-0.113537,-0.186949,-0.037733,0.01367,""
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws,-0.106560,-0.171713,-0.037774,0.01233,""
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws,-0.008589,-0.033815,0.018047,0.52490,"n=21 neg=9/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws,-0.000207,-0.037580,0.041672,0.99341,"n=5 neg=8/14"
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.013007,-0.036319,0.011024,0.31848,"n_ws=26 n_non=89 neg=9/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws+subcortex,-0.113537,-0.186096,-0.038359,0.01367,""
