# script=06_primary_b_analysis.py variant=ts_demean window_trs=60 pre=[np.int64(1), np.int64(2), np.int64(3), np.int64(4)] primary=[np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14)] sensitivity=[np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14)] n_boot=10000 n_surr=1000 tier2_abs_rho=0.8 prereg_direction=1 tier2_decides=groupmean_series seed=20261120 git=f3b435d
section,statistic,value,ci_lo,ci_hi,p,note
B.primary,raw rho_S group-mean sts series vs template [THRESHOLDED],-0.9333333333333332,nan,nan,0.011988011988011988,|rho|>=0.80: PASS; sign - vs prereg +
B.primary,"raw control (a): rho_S PCB vs template, group mean",-0.23452380952380955,-0.37857142857142856,-0.08928571428571429,0.03296703296703297,
B.primary,raw control (a): within-subject rho_DMT - rho_PCB (template),-0.13214285714285715,-0.36547619047619045,0.10836309523809483,nan,VOID (CI includes 0: True; PCB same sign & >= half: True)
B.primary,"control (b): rho_S window-mean FD (DMT) vs template, group mean",0.405952380952381,0.17738095238095242,0.5999999999999999,nan,
B.primary,"FD-resid rho_S DMT vs per-subject ratings [PRIMARY]: group mean (existence test, not thresholded)",-0.18740938076364702,-0.3607946040967063,-0.002624446996374107,0.06893106893106893,n_defined=14/14; |rho|>=0.80 in 0 subjects (report only); p_one(prereg dir)=0.9700; sign - vs prereg +; significant vs null: no
B.primary,"FD-resid rho_S DMT vs group template f [SENSITIVITY]: group mean (existence test, not thresholded)",-0.24285714285714285,-0.4333333333333333,-0.05,0.02097902097902098,n_defined=14/14; |rho|>=0.80 in 1 subjects (report only); p_one(prereg dir)=0.9930; sign - vs prereg +; significant vs null: yes
B.primary,FD-resid rho_S group-mean sts series vs template [THRESHOLDED],-0.8833333333333333,nan,nan,0.005994005994005994,|rho|>=0.80: PASS; sign - vs prereg +
B.primary,"FD-resid control (a): rho_S PCB vs template, group mean",-0.09999999999999999,-0.2035714285714286,0.007142857142857141,0.22077922077922077,
B.primary,FD-resid control (a): within-subject rho_DMT - rho_PCB (template),-0.14285714285714285,-0.33571428571428574,0.06669642857142817,nan,VOID (CI includes 0: True; PCB same sign & >= half: False)
B.primary,TIER-2 CLAIM (per-subject ratings [PRIMARY]): gm threshold & subject existence & (a) & (b),0.0,nan,nan,nan,"raw: gm_pass=True, subj_sig=True, same_dir=True, (a) void=True | resid: gm_pass=True, subj_sig=False, same_dir=True, (a) void=True; sign of raw gm: - (prereg +)"
B.primary,TIER-2 CLAIM (group template f [SENSITIVITY]): gm threshold & subject existence & (a) & (b),0.0,nan,nan,nan,"raw: gm_pass=True, subj_sig=True, same_dir=True, (a) void=True | resid: gm_pass=True, subj_sig=True, same_dir=True, (a) void=True; sign of raw gm: - (prereg +)"
B.sensitivity,"raw rho_S DMT vs per-subject ratings [PRIMARY]: group mean (existence test, not thresholded)",-0.24026195147027635,-0.4233344166357656,-0.03655247271137353,0.06393606393606394,n_defined=14/14; |rho|>=0.80 in 1 subjects (report only); p_one(prereg dir)=0.9730; sign - vs prereg +; significant vs null: no
B.sensitivity,"raw rho_S DMT vs group template f [SENSITIVITY]: group mean (existence test, not thresholded)",-0.2883116883116883,-0.4874458874458874,-0.0675108225108228,0.025974025974025976,n_defined=14/14; |rho|>=0.80 in 2 subjects (report only); p_one(prereg dir)=0.9920; sign - vs prereg +; significant vs null: yes
B.sensitivity,raw rho_S group-mean sts series vs template [THRESHOLDED],-0.6727272727272726,nan,nan,0.1968031968031968,|rho|>=0.80: fail; sign - vs prereg +
B.sensitivity,"raw control (a): rho_S PCB vs template, group mean",-0.3549783549783549,-0.49090909090909085,-0.19307359307359304,0.001998001998001998,
B.sensitivity,raw control (a): within-subject rho_DMT - rho_PCB (template),0.06666666666666668,-0.11948051948051949,0.26580086580086576,nan,VOID (CI includes 0: True; PCB same sign & >= half: True)
B.sensitivity,"control (b): rho_S window-mean FD (DMT) vs template, group mean",0.5116883116883117,0.3489177489177489,0.6632034632034631,nan,
B.sensitivity,"FD-resid rho_S DMT vs per-subject ratings [PRIMARY]: group mean (existence test, not thresholded)",-0.12426747326108598,-0.32263780164925276,0.08357026831893212,0.20679320679320679,n_defined=14/14; |rho|>=0.80 in 0 subjects (report only); p_one(prereg dir)=0.9011; sign - vs prereg +; significant vs null: no
B.sensitivity,"FD-resid rho_S DMT vs group template f [SENSITIVITY]: group mean (existence test, not thresholded)",-0.17662337662337665,-0.3826839826839826,0.0545454545454545,0.07992007992007992,n_defined=14/14; |rho|>=0.80 in 1 subjects (report only); p_one(prereg dir)=0.9630; sign - vs prereg +; significant vs null: no
B.sensitivity,FD-resid rho_S group-mean sts series vs template [THRESHOLDED],-0.4545454545454545,nan,nan,0.3166833166833167,|rho|>=0.80: fail; sign - vs prereg +
B.sensitivity,"FD-resid control (a): rho_S PCB vs template, group mean",-0.2831168831168831,-0.40173160173160166,-0.15324675324675324,0.000999000999000999,
B.sensitivity,FD-resid control (a): within-subject rho_DMT - rho_PCB (template),0.10649350649350652,-0.09179653679653677,0.31255411255411253,nan,VOID (CI includes 0: True; PCB same sign & >= half: True)
B.sensitivity,TIER-2 CLAIM (per-subject ratings [PRIMARY]): gm threshold & subject existence & (a) & (b),0.0,nan,nan,nan,"raw: gm_pass=False, subj_sig=False, same_dir=True, (a) void=True | resid: gm_pass=False, subj_sig=False, same_dir=True, (a) void=True; sign of raw gm: - (prereg +)"
B.sensitivity,TIER-2 CLAIM (group template f [SENSITIVITY]): gm threshold & subject existence & (a) & (b),0.0,nan,nan,nan,"raw: gm_pass=False, subj_sig=True, same_dir=True, (a) void=True | resid: gm_pass=False, subj_sig=False, same_dir=True, (a) void=True; sign of raw gm: - (prereg +)"
