# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,M,pair,true_diff,est_diff_mean,est_diff_se,est_diff_sd_pooled,p_correct_sign_boot,p_correct_sign_analytic,p_analytic_lo,p_analytic_hi
nonstat_decay_coupling,30,151,17->18,0.001531,0.001754,0.000639,0.007358,0.584500,0.594194,0.527124,0.658603
nonstat_decay_coupling,30,151,18->19,0.002450,0.002829,0.000658,0.007568,0.651000,0.645728,0.580631,0.706820
nonstat_decay_coupling,30,151,19->20,0.006450,0.000337,0.000670,0.007716,0.516000,0.517394,0.449592,0.584695
nonstat_decay_coupling,30,151,20->21,0.004542,0.001750,0.000689,0.007926,0.579500,0.587377,0.520137,0.652142
nonstat_decay_coupling,30,151,21->22,0.005570,0.001231,0.000703,0.008085,0.581500,0.560489,0.492780,0.626468
nonstat_decay_coupling,30,151,22->23,0.002204,0.000473,0.000708,0.008145,0.524000,0.523146,0.455311,0.590316
nonstat_decay_coupling,30,151,23->24,0.003274,0.000423,0.000716,0.008235,0.494000,0.520467,0.452645,0.587699
nonstat_decay_coupling,30,151,24->25,0.003235,0.000973,0.000720,0.008288,0.527500,0.546730,0.478905,0.613216
nonstat_decay_coupling,30,151,25->26,0.002134,-0.000075,0.000723,0.008317,0.501500,0.496412,0.428851,0.564076
nonstat_decay_coupling,30,151,26->27,-0.001065,0.000892,0.000726,0.008350,0.454500,0.457457,0.390833,0.525301
nonstat_decay_coupling,30,151,27->28,0.004219,0.001446,0.000740,0.008522,0.552000,0.567384,0.499765,0.633081
nonstat_decay_coupling,60,1338,5->6,0.001549,0.001911,0.000376,0.001454,0.909000,0.905635,0.790279,0.965719
nonstat_decay_coupling,60,1338,6->7,0.005287,0.006735,0.000422,0.001632,1.000000,0.999982,0.999853,0.999998
nonstat_decay_coupling,60,1338,7->8,0.004509,0.008057,0.000487,0.001882,1.000000,0.999991,0.999919,0.999999
nonstat_decay_coupling,60,1338,8->9,0.003865,0.007319,0.000550,0.002125,0.999500,0.999713,0.998344,0.999961
nonstat_decay_coupling,60,1338,9->10,0.006229,0.007224,0.000604,0.002336,0.999500,0.999006,0.995131,0.999840
nonstat_decay_coupling,60,1338,10->11,0.010780,0.004869,0.000645,0.002495,0.977500,0.974529,0.925774,0.993032
nonstat_decay_coupling,60,1338,11->12,0.006614,0.002571,0.000670,0.002589,0.849000,0.839566,0.686417,0.933145
nonstat_decay_coupling,60,1338,12->13,0.005935,0.003299,0.000687,0.002656,0.886000,0.892923,0.768912,0.959870
nonstat_decay_coupling,60,1338,13->14,0.002122,0.001366,0.000702,0.002712,0.693500,0.692704,0.498633,0.843868
nonstat_decay_coupling,60,742,5->6,0.001549,0.001911,0.000376,0.001953,0.833500,0.836155,0.726164,0.912498
nonstat_decay_coupling,60,742,6->7,0.005287,0.006735,0.000422,0.002191,0.999500,0.998943,0.996495,0.999721
nonstat_decay_coupling,60,742,7->8,0.004509,0.008057,0.000487,0.002528,1.000000,0.999282,0.997522,0.999818
nonstat_decay_coupling,60,742,8->9,0.003865,0.007319,0.000550,0.002854,0.995000,0.994837,0.985637,0.998371
nonstat_decay_coupling,60,742,9->10,0.006229,0.007224,0.000604,0.003138,0.989000,0.989347,0.972886,0.996319
nonstat_decay_coupling,60,742,10->11,0.010780,0.004869,0.000645,0.003350,0.936500,0.926973,0.859056,0.966460
nonstat_decay_coupling,60,742,11->12,0.006614,0.002571,0.000670,0.003477,0.775500,0.770117,0.641215,0.867950
nonstat_decay_coupling,60,742,12->13,0.005935,0.003299,0.000687,0.003566,0.821500,0.822535,0.707998,0.903643
nonstat_decay_coupling,60,742,13->14,0.002122,0.001366,0.000702,0.003642,0.657500,0.646159,0.498982,0.774123
nonstat_decay_coupling,60,151,5->6,0.001549,0.001911,0.000376,0.004329,0.688500,0.670589,0.606894,0.729680
nonstat_decay_coupling,60,151,6->7,0.005287,0.006735,0.000422,0.004857,0.907500,0.917228,0.888076,0.940261
nonstat_decay_coupling,60,151,7->8,0.004509,0.008057,0.000487,0.005603,0.920500,0.924766,0.897525,0.946103
nonstat_decay_coupling,60,151,8->9,0.003865,0.007319,0.000550,0.006326,0.891500,0.876362,0.838102,0.907795
nonstat_decay_coupling,60,151,9->10,0.006229,0.007224,0.000604,0.006955,0.861000,0.850529,0.807412,0.886670
nonstat_decay_coupling,60,151,10->11,0.010780,0.004869,0.000645,0.007426,0.743500,0.744006,0.686317,0.795612
nonstat_decay_coupling,60,151,11->12,0.006614,0.002571,0.000670,0.007708,0.644500,0.630613,0.564808,0.692793
nonstat_decay_coupling,60,151,12->13,0.005935,0.003299,0.000687,0.007905,0.669500,0.661775,0.597548,0.721605
nonstat_decay_coupling,60,151,13->14,0.002122,0.001366,0.000702,0.008074,0.567500,0.567163,0.499541,0.632869
nonstat_decay_noisecorr,30,1338,10->11,0.001218,0.000327,0.000535,0.002068,0.577000,0.562751,0.363542,0.746943
nonstat_decay_noisecorr,30,1338,11->12,0.001927,0.000391,0.000546,0.002112,0.588500,0.573369,0.373728,0.755504
nonstat_decay_noisecorr,30,1338,12->13,0.002567,0.001021,0.000566,0.002190,0.663500,0.679488,0.483773,0.834779
nonstat_decay_noisecorr,30,1338,13->14,0.002358,0.000628,0.000587,0.002269,0.619500,0.609057,0.409010,0.783426
nonstat_decay_noisecorr,30,1338,14->15,0.002089,0.002211,0.000612,0.002366,0.833000,0.824939,0.665456,0.925251
nonstat_decay_noisecorr,30,1338,15->16,0.001774,0.000232,0.000628,0.002428,0.530500,0.538128,0.340450,0.726637
nonstat_decay_noisecorr,30,1338,16->17,0.002033,0.002348,0.000644,0.002489,0.830500,0.827247,0.668723,0.926512
nonstat_decay_noisecorr,30,1338,17->18,0.005103,-0.000112,0.000659,0.002549,0.470500,0.482541,0.290909,0.678382
nonstat_decay_noisecorr,30,1338,18->19,0.009037,0.001692,0.000666,0.002577,0.734500,0.744256,0.559448,0.877682
nonstat_decay_noisecorr,30,1338,19->20,0.004823,0.001245,0.000682,0.002637,0.686500,0.681505,0.486023,0.836177
nonstat_decay_noisecorr,30,1338,20->21,0.003186,0.000620,0.000696,0.002690,0.588000,0.591127,0.391078,0.769560
nonstat_decay_noisecorr,30,1338,21->22,0.003931,0.001531,0.000711,0.002750,0.720500,0.711112,0.519812,0.856243
nonstat_decay_noisecorr,30,1338,22->23,0.001564,0.000194,0.000718,0.002776,0.528000,0.527895,0.331065,0.718008
nonstat_decay_noisecorr,30,1338,23->24,0.002332,0.000434,0.000716,0.002767,0.559500,0.562308,0.363120,0.746584
nonstat_decay_noisecorr,30,1338,24->25,0.002316,0.000162,0.000723,0.002794,0.529000,0.523069,0.326681,0.713899
nonstat_decay_noisecorr,30,1338,25->26,0.001535,0.000742,0.000737,0.002849,0.609500,0.602751,0.402655,0.778587
nonstat_decay_noisecorr,30,1338,26->27,-0.000767,-0.000531,0.000737,0.002849,0.561000,0.573942,0.374281,0.755963
nonstat_decay_noisecorr,30,1338,27->28,0.003046,0.000520,0.000731,0.002827,0.563500,0.572957,0.373330,0.755174
nonstat_decay_noisecorr,30,742,10->11,0.001218,0.000327,0.000535,0.002778,0.546500,0.546816,0.397470,0.689751
nonstat_decay_noisecorr,30,742,11->12,0.001927,0.000391,0.000546,0.002837,0.538000,0.554775,0.405248,0.696814
nonstat_decay_noisecorr,30,742,12->13,0.002567,0.001021,0.000566,0.002941,0.652500,0.635789,0.487915,0.765696
nonstat_decay_noisecorr,30,742,13->14,0.002358,0.000628,0.000587,0.003047,0.571500,0.581673,0.431976,0.720289
nonstat_decay_noisecorr,30,742,14->15,0.002089,0.002211,0.000612,0.003177,0.767500,0.756723,0.624863,0.858437
nonstat_decay_noisecorr,30,742,15->16,0.001774,0.000232,0.000628,0.003260,0.520000,0.528413,0.379710,0.673213
nonstat_decay_noisecorr,30,742,16->17,0.002033,0.002348,0.000644,0.003342,0.759500,0.758815,0.627399,0.859933
nonstat_decay_noisecorr,30,742,17->18,0.005103,-0.000112,0.000659,0.003423,0.482500,0.486997,0.340858,0.634924
nonstat_decay_noisecorr,30,742,18->19,0.009037,0.001692,0.000666,0.003460,0.693500,0.687545,0.544343,0.806872
nonstat_decay_noisecorr,30,742,19->20,0.004823,0.001245,0.000682,0.003542,0.637500,0.637366,0.489591,0.766984
nonstat_decay_noisecorr,30,742,20->21,0.003186,0.000620,0.000696,0.003612,0.568000,0.568127,0.418429,0.708542
nonstat_decay_noisecorr,30,742,21->22,0.003931,0.001531,0.000711,0.003692,0.660000,0.660754,0.514757,0.785832
nonstat_decay_noisecorr,30,742,22->23,0.001564,0.000194,0.000718,0.003728,0.515000,0.520781,0.372436,0.666270
nonstat_decay_noisecorr,30,742,23->24,0.002332,0.000434,0.000716,0.003716,0.556500,0.546484,0.397147,0.689455
