# 11_regional_analysis.py EXPLORATORY variant=ts_gsr regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
section,name,value,ci_lo,ci_hi,p,note
workspace_named_subregion,workspace_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.013524,-0.033651,0.007399,0.23474,"n_ws=26 n_non=89 neg=9/14"
workspace_named_subregion,workspace_mean_did_vs_noncortex_ws+subcortex,-0.090547,-0.150240,-0.033688,0.00867,""
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws+subcortex,-0.077023,-0.125139,-0.029458,0.00793,""
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.018263,-0.040852,0.005627,0.15332,"n=21 neg=9/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,0.006380,-0.023582,0.037697,0.70105,"n=5 neg=6/14"
workspace_named_subregion,gateway_proxy_minus_broadcaster_proxy,-0.024643,-0.058663,0.009169,0.18945,"n_gw=21 n_bc=5"
rankrule_placebo,n_rankrule_workspace_of_115,52.000000,,,,""
rankrule_placebo,n_rankrule_cortical,45.000000,,,,""
rankrule_placebo,n_rankrule_subcortical,7.000000,,,,""
rankrule_placebo,overlap_with_primary_proxy_count,20.000000,,,,"proxy n=37; rule cortical n=45"
rankrule_placebo,jaccard_rule_vs_primary_proxy_cortical,0.322581,,,,""
rankrule_placebo,spearman_rank_sts_vs_rank_rtr_115,0.392164,,,,""
rankrule_placebo_composition,Vis_rule_count_of_17,7.000000,,,,""
rankrule_placebo_composition,SomMot_rule_count_of_14,2.000000,,,,""
rankrule_placebo_composition,DorsAttn_rule_count_of_14,9.000000,,,,""
rankrule_placebo_composition,SalVentAttn_rule_count_of_12,3.000000,,,,""
rankrule_placebo_composition,Limbic_rule_count_of_5,4.000000,,,,""
rankrule_placebo_composition,Cont_rule_count_of_13,8.000000,,,,""
rankrule_placebo_composition,Default_rule_count_of_24,12.000000,,,,""
rankrule_placebo_composition,Subcortex_rule_count_of_16,7.000000,,,,""
rankrule_dmt_descriptive,n_rankrule_workspace_of_115,45.000000,,,,""
rankrule_dmt_descriptive,n_regions_same_membership_as_placebo,106.000000,,,,""
