# 11_regional_analysis.py EXPLORATORY variant=ts_demean regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_neg_of_14
83,RH_Cont_PFCl_2,6,-0.067099,0.182981,0.19263,0,10
84,RH_Cont_PFCl_3,6,-0.134119,0.167394,0.01099,0,12
85,RH_Cont_PFCl_4,6,-0.110970,0.173997,0.03186,0,10
86,RH_Cont_Cing_1,6,-0.036987,0.178186,0.44946,0,9
87,RH_Cont_PFCmp_1,6,-0.118492,0.194150,0.04285,0,9
88,RH_Cont_pCun_1,6,-0.088357,0.144977,0.04053,0,10
89,RH_Default_Par_1,7,-0.108068,0.183441,0.04858,0,11
90,RH_Default_Temp_1,7,-0.114479,0.178437,0.03284,0,13
91,RH_Default_Temp_2,7,-0.099464,0.160856,0.03943,0,11
92,RH_Default_Temp_3,7,-0.149440,0.186236,0.01050,0,9
93,RH_Default_PFCv_1,7,-0.115854,0.232999,0.08093,0,10
94,RH_Default_PFCv_2,7,-0.133180,0.164851,0.00525,1,12
95,RH_Default_PFCdPFCm_1,7,-0.081389,0.174181,0.10388,0,10
96,RH_Default_PFCdPFCm_2,7,-0.106093,0.168425,0.03577,0,11
97,RH_Default_PFCdPFCm_3,7,-0.118341,0.173444,0.01721,0,10
98,RH_Default_pCunPCC_1,7,-0.114772,0.134694,0.00781,1,12
99,RH_Default_pCunPCC_2,7,-0.107009,0.156310,0.02539,0,11
100,SUB_1,8,-0.098327,0.175396,0.05798,0,10
101,SUB_2,8,-0.092547,0.198183,0.10425,0,10
102,SUB_3,8,-0.082704,0.216715,0.17480,0,9
103,SUB_4,8,-0.133426,0.302271,0.12256,0,10
104,SUB_5,8,0.019340,0.123513,0.56592,0,6
105,SUB_6,8,-0.071719,0.210956,0.22485,0,9
106,SUB_7,8,-0.058788,0.220042,0.32678,0,9
107,SUB_8,8,-0.067972,0.175194,0.16675,0,9
108,SUB_9,8,-0.088522,0.172234,0.07739,0,12
109,SUB_10,8,-0.087828,0.189666,0.10449,0,10
110,SUB_11,8,-0.066624,0.186019,0.19971,0,9
111,SUB_12,8,-0.095867,0.234018,0.14685,0,9
112,SUB_13,8,-0.085056,0.152616,0.05164,0,11
113,SUB_14,8,-0.083058,0.181680,0.10852,0,11
114,SUB_15,8,-0.014718,0.207513,0.79541,0,7
115,SUB_16,8,-0.060494,0.128886,0.10449,0,11
