# script=13_loo_did.py git=17dbfcb seed=20261120 window_trs=60 pre=[np.int64(1), np.int64(2), np.int64(3), np.int64(4)] post=[np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14)] n_boot=10000 signflip=exact 2^n two-sided; POST-HOC robustness check
variant,dropped_subject,n,mean_did,ci_lo,ci_hi,p_signflip,n_negative,ci_includes_zero,dropped_subject_did
ts_gsr,none,14,-0.08086620932182391,-0.12532941231764907,-0.036546928396967854,0.0037841796875,13,False,nan
ts_gsr,1,13,-0.08082908035801126,-0.12945752175375816,-0.03307141986390329,0.0068359375,12,False,-0.08134888585138844
ts_gsr,2,13,-0.0836581016535757,-0.13229438677999758,-0.035833782317300465,0.006103515625,12,False,-0.04457160900905066
ts_gsr,3,13,-0.07499746989873442,-0.12377033895655364,-0.03032402679614439,0.007568359375,12,False,-0.1571598218219874
ts_gsr,4,13,-0.0764802295263579,-0.12501496545663515,-0.030354380167779412,0.007568359375,12,False,-0.13788394666288206
ts_gsr,5,13,-0.0861781499344584,-0.13395683699072639,-0.03894624894053642,0.00439453125,12,False,-0.011810981357575745
ts_gsr,6,13,-0.0829606455742386,-0.13143982426152725,-0.0350344068088041,0.00634765625,12,False,-0.05363853804043295
ts_gsr,7,13,-0.08206613708529881,-0.13077087810382462,-0.034522324523459685,0.006591796875,12,False,-0.06526714839665027
ts_gsr,8,13,-0.06558487989503375,-0.10134270098100014,-0.027096879639372046,0.007568359375,12,False,-0.27952349187009595
ts_gsr,9,13,-0.076963650600798,-0.12554602188970274,-0.030833688822332263,0.007568359375,12,False,-0.1315994726951608
ts_gsr,10,13,-0.07529467367301729,-0.12506751035272687,-0.03056127048804623,0.007568359375,12,False,-0.15329617275631002
ts_gsr,11,13,-0.08397022705566133,-0.13265993549808336,-0.03718025600792476,0.005859375,12,False,-0.04051397878193752
ts_gsr,12,13,-0.08187768743004907,-0.13036337042083415,-0.034047152512743886,0.006591796875,12,False,-0.06771699391489694
ts_gsr,13,13,-0.08688200014815574,-0.13395987252168595,-0.04041698267104606,0.004150390625,12,False,-0.00266092857951028
ts_gsr,14,13,-0.09438399767214455,-0.13736059810233264,-0.057445400862259244,0.000244140625,13,False,0.09486503923234424
ts_demean,none,14,-0.10311246510896124,-0.154383159378876,-0.052306268589246835,0.0025634765625,12,False,nan
ts_demean,1,13,-0.10840192519508535,-0.1634027226136377,-0.05287463655215443,0.00341796875,11,False,-0.034349483989347895
ts_demean,2,13,-0.11134946598643256,-0.16469417563045885,-0.057175682504212906,0.00244140625,12,False,0.003968546298165787
ts_demean,3,13,-0.09890625443972437,-0.1545992225976045,-0.04528358965427602,0.005126953125,11,False,-0.15779320380904083
ts_demean,4,13,-0.09982992553952928,-0.1555672131665854,-0.04553518510519426,0.005126953125,11,False,-0.14578547951157694
ts_demean,5,13,-0.10879575243000301,-0.16388213598008042,-0.05291511328765161,0.00341796875,11,False,-0.02922972993541828
ts_demean,6,13,-0.10869498245424412,-0.16337139479000365,-0.05245910896871097,0.00341796875,11,False,-0.030539739620284
ts_demean,7,13,-0.10440810047354043,-0.16193635378824303,-0.04902882434262348,0.004638671875,11,False,-0.08626920536943183
ts_demean,8,13,-0.08711432509987208,-0.13095943182191025,-0.04084662230792916,0.005126953125,11,False,-0.3110882852271204
ts_demean,9,13,-0.09470060560410373,-0.1494596852661831,-0.04186535415230205,0.005126953125,11,False,-0.21246663867210924
ts_demean,10,13,-0.09591189822290233,-0.15100131010748633,-0.04351237345826257,0.005126953125,11,False,-0.19671983462772746
ts_demean,11,13,-0.10579187609810262,-0.1625456468287977,-0.0497947028127664,0.004638671875,11,False,-0.0682801222501237
ts_demean,12,13,-0.09916480414736066,-0.15579426447413328,-0.04530762010369264,0.005126953125,11,False,-0.15443205760976897
ts_demean,13,13,-0.1022650652185398,-0.15920181654157084,-0.04751447657026675,0.005126953125,11,False,-0.11412866368444008
ts_demean,14,13,-0.1182395306160172,-0.16752842610633137,-0.07295596681901426,0.00048828125,12,False,0.09353938648276627
