# partB16_prewhiten.py; git=f1f5fcc
label,set,pre_dmt,pre_pcb,dmt_change,dmt_lo,dmt_hi,dmt_p,pcb_change,pcb_lo,pcb_hi,pcb_p,did,did_lo,did_hi,did_p,n_neg,share_of_pre,phase_p,phase_null_sd,fd_did,fd_lo,fd_hi,fd_p,resid_did,resid_lo,resid_hi,resid_p,resid_n_neg,survives,placebo_share
prewhiten arp MMI sts ts_gsr W60,primary,0.22017678792832424,0.2001793488784253,0.06355611885955816,0.04539675392715501,0.0814986212678332,0.0001220703125,0.08975121977323909,0.06792669319389363,0.11194203580679686,0.0001220703125,-0.02619510091368096,-0.05889677444444129,0.004873389770144763,0.140625,8,-0.11897303598691994,0.4175824175824176,0.03286650156759499,0.014346739579365077,-0.006645993415608477,0.037444893187293306,0.2452392578125,-0.006176678766685027,-0.04599695170217189,0.03301694691158719,0.7713623046875,9.0,False,3.4262597448656735
prewhiten arp MMI sts ts_gsr W60,sensitivity,0.22017678792832424,0.2001793488784253,0.08375773923039213,0.06555780563367565,0.10148764139010055,0.0001220703125,0.10232661990941248,0.07812240507306838,0.12686628545795214,0.0001220703125,-0.018568880679020332,-0.051018533312702265,0.014116004044800038,0.303466796875,7,-0.08433623205124237,0.5454545454545454,0.03175669570125867,0.019114751916666665,-0.0012632722332440425,0.04069218288193451,0.1082763671875,-0.003939711758394486,-0.04441226535730209,0.03729784459783684,0.8582763671875,7.0,False,5.5106509475837235
prewhiten arp MMI sts ts_gsr W60,early,0.22017678792832424,0.2001793488784253,0.05734749636717805,0.03448333648899176,0.08075806413434516,0.0003662109375,0.09527854218193973,0.06305154484732038,0.12785483434916026,0.0001220703125,-0.037931045814761685,-0.0834420589026411,0.0084174310383478,0.1419677734375,8,-0.17227540728366725,0.3356643356643357,0.03990174516800933,0.036577911,0.015564397224627978,0.058788689609002964,0.01025390625,-0.0342539918575202,-0.08570358358809949,0.01705584922163021,0.222900390625,9.0,False,2.5118880889084276
prewhiten arp MMI sts ts_gsr W60,late,0.22017678792832424,0.2001793488784253,0.06852301685346225,0.051015396825712454,0.08693696571821544,0.0001220703125,0.08532936184627861,0.0686380238121286,0.10237229128498306,0.0001220703125,-0.016806344992816375,-0.04392711401905539,0.008569374021609247,0.2518310546875,7,-0.07633113894952209,0.6473526473526473,0.03571355304486178,-0.0034381975571428575,-0.02945162454808035,0.024140657547038674,0.806884765625,0.016285171705983117,-0.024101057665541086,0.054761147185565545,0.44873046875,5.0,False,5.077211129650819
prewhiten arp MMI sts ts_gsr W60,trend_a_placebo_line,,,,,,,,,,,0.027316744110362206,0.006686450671668168,0.047501428372950745,0.029052734375,4,,,,,,,,,,,,,,
prewhiten arp MMI sts ts_gsr W60,trend_b_shared_slope,,,,,,,,,,,0.025952136097617737,0.0008877308442365032,0.05070922386521351,0.066650390625,4,,,,,,,,,,,,,,
prewhiten arp MMI xtx+yty ts_gsr W60,primary,0.20597501720261707,0.17676196238244543,0.08827642962625368,0.06243888836021381,0.1116913502288897,0.000244140625,0.1297092675862745,0.10284215337727587,0.1562252067136682,0.0001220703125,-0.04143283796002085,-0.07948639595110767,-0.005986301220193867,0.0528564453125,8,-0.20115467653663782,0.4515484515484515,0.05583915980851364,0.014346739579365077,-0.006645993415608477,0.037444893187293306,0.2452392578125,-0.026740636066064864,-0.07753625696744693,0.024965526741156735,0.347412109375,8.0,False,3.1305909508644536
prewhiten arp MMI xtx+yty ts_gsr W60,sensitivity,0.20597501720261707,0.17676196238244543,0.11096822596108609,0.08492045714706715,0.13457610229556002,0.000244140625,0.14351002281715258,0.11452145151874055,0.17065890645273676,0.0001220703125,-0.03254179685606654,-0.07043426186837956,0.003637177201843946,0.1240234375,8,-0.15798904788562423,0.5304695304695305,0.05311139040964294,0.019114751916666665,-0.0012632722332440425,0.04069218288193451,0.1082763671875,-0.02478198470461208,-0.07610039834720142,0.027798749186268647,0.3819580078125,8.0,False,4.410021470292566
prewhiten arp MMI xtx+yty ts_gsr W60,early,0.20597501720261707,0.17676196238244543,0.1218371719799382,0.08744736110161908,0.15172781360679993,0.000244140625,0.16477990667080059,0.1253143592881305,0.2034809491067587,0.0001220703125,-0.04294273469086233,-0.09234494795680925,0.005114836068203644,0.1241455078125,8,-0.2084851613272093,0.5264735264735265,0.06821362477116874,0.036577911,0.015564397224627978,0.058788689609002964,0.01025390625,-0.047998910093317707,-0.10834134897902549,0.014962005164244148,0.160888671875,9.0,False,3.8372010505857155
prewhiten arp MMI xtx+yty ts_gsr W60,late,0.20597501720261707,0.17676196238244543,0.061427835743306014,0.03754948974643937,0.08609427525305832,0.0006103515625,0.10165275631865367,0.08173214323410366,0.12263902831140762,0.0001220703125,-0.04022492057534766,-0.07574051873071282,-0.009932054959401982,0.0284423828125,9,-0.19529028870418064,0.5164835164835165,0.060693420270975094,-0.0034381975571428575,-0.02945162454808035,0.024140657547038674,0.806884765625,-0.009734016844262573,-0.06571977784557084,0.04317550160697781,0.746337890625,8.0,False,2.5271089380584835
