label,set,pre_dmt,pre_pcb,dmt_change,dmt_lo,dmt_hi,dmt_p,pcb_change,pcb_lo,pcb_hi,pcb_p,did,did_lo,did_hi,did_p,n_neg,share_of_pre,phase_p,phase_null_sd,fd_did,fd_lo,fd_hi,fd_p,resid_did,resid_lo,resid_hi,resid_p,resid_n_neg,survives,placebo_share
PhiR_deconv ts_gsr W30,primary,0.2352059067893907,0.2525591219184368,0.013499762993976792,0.0052427061313772665,0.021268149047277085,0.0081787109375,-0.01717110304519224,-0.029745435565116534,-0.005460035029301572,0.0186767578125,0.030670866039169027,0.014801572433288826,0.047151813736639334,0.0023193359375,2,0.1304000671489619,0.000999000999000999,0.007864151970320421,0.014346739579365081,-0.006960127706795631,0.03683391050170303,0.2452392578125,0.02570680522752586,0.012093255834564038,0.039168035700095576,0.0045166015625,2.0,True,0.5598506094762188
PhiR_deconv ts_gsr W30,sensitivity,0.2352059067893907,0.2525591219184368,0.01472987122672936,0.006262985496811119,0.022662466618354308,0.0059814453125,-0.016196165829732635,-0.02877124592871516,-0.004535599465322412,0.0234375,0.030926037056461988,0.01523028670297642,0.04758221678179624,0.00244140625,2,0.13148495069111482,0.000999000999000999,0.007796395278194524,0.01739740427443608,-0.003764680665922632,0.03932980495497726,0.155029296875,0.025870781470797303,0.012227413635212717,0.03923271075179759,0.0040283203125,2.0,True,0.523706474261902
PhiR_deconv ts_gsr W30,early,0.2352059067893907,0.2525591219184368,0.022688207790163045,0.012937952773895792,0.03226590506141982,0.00146484375,-0.015276834766298384,-0.02936978995389244,-0.0019161287297955352,0.057373046875,0.03796504255646143,0.01845634657919873,0.05905489784748857,0.0023193359375,1,0.16141194358038077,0.000999000999000999,0.008989392782373547,0.036577911,0.01577961407775299,0.058545405232366045,0.01025390625,0.030573326694187688,0.01335603720576344,0.047938138106998256,0.00634765625,3.0,True,0.40239214123305006
PhiR_deconv ts_gsr W30,late,0.2352059067893907,0.2525591219184368,0.006149007157027807,-0.002758557428108514,0.014813981344367238,0.209228515625,-0.018686517668307336,-0.030655887929863526,-0.0073831771286318095,0.0078125,0.02483552482533515,0.01116728359393744,0.04032668917336952,0.004150390625,2,0.10559056600382703,0.007992007992007992,0.008896647273066808,-0.0034381975571428657,-0.02939762686660715,0.02391010963406247,0.806884765625,0.021813588054196396,0.009705412125290611,0.032294804875948324,0.00537109375,2.0,True,0.7524108227922325
PhiR_deconv ts_gsr W30,trend_a_placebo_line,,,,,,,,,,,0.028262189775304862,0.014965176747957692,0.042590616715866995,0.00146484375,1,,,,,,,,,,,,,,
PhiR_deconv ts_gsr W30,trend_b_shared_slope,,,,,,,,,,,0.030355940252017103,0.017415472819308567,0.043914012007435055,0.0006103515625,1,,,,,,,,,,,,,,
sts_deconv ts_gsr W30,primary,0.7511445095421757,0.7318793203045973,-0.04687014153465873,-0.07055373367955178,-0.02125219215748594,0.0037841796875,0.02019651269670923,0.0008192256338810405,0.03924844576866791,0.068115234375,-0.06706665423136796,-0.10115499291472073,-0.035157918629995774,0.0013427734375,13,-0.0892859541398302,0.000999000999000999,0.016031197800493634,0.014346739579365081,-0.006960127706795631,0.03683391050170303,0.2452392578125,-0.060774466333131764,-0.0861212264871999,-0.03285148766783081,0.0015869140625,13.0,True,0.3011409012150043
sts_deconv ts_gsr W30,sensitivity,0.7511445095421757,0.7318793203045973,-0.049241663460782945,-0.07304124624615721,-0.024522171165896427,0.0030517578125,0.01711985571357336,-0.002248129585375059,0.03577935662622924,0.1129150390625,-0.0663615191743563,-0.10124928063362824,-0.03493804426162232,0.001708984375,12,-0.08834720660449719,0.000999000999000999,0.015776764996042147,0.01739740427443608,-0.003764680665922632,0.03932980495497726,0.155029296875,-0.059829159775725345,-0.08490693912206676,-0.03184593660987573,0.001708984375,13.0,True,0.2579786588157085
sts_deconv ts_gsr W30,early,0.7511445095421757,0.7318793203045973,-0.06573360971481541,-0.08730616110243448,-0.042772369221487076,0.0003662109375,0.014398600973796456,-0.005513639992185438,0.03368103390985003,0.1884765625,-0.08013221068861189,-0.11600791544682909,-0.047646567478615516,0.00048828125,13,-0.10668015231510199,0.000999000999000999,0.018742658351791654,0.036577911,0.01577961407775299,0.058545405232366045,0.01025390625,-0.06996753539459181,-0.09667913933622321,-0.04212848590674534,0.0006103515625,13.0,True,0.17968555778085799
sts_deconv ts_gsr W30,late,0.7511445095421757,0.7318793203045973,-0.03177936699053335,-0.059884168022741296,-0.0009970773115244914,0.06298828125,0.02483484207503942,0.0051294147222652195,0.04524346772520858,0.0338134765625,-0.056614209065572775,-0.09647545728092753,-0.02131289802162298,0.0093994140625,11,-0.07537059559961273,0.001998001998001998,0.017705268483988932,-0.0034381975571428657,-0.02939762686660715,0.02391010963406247,0.806884765625,-0.05342001108396372,-0.08257676104478143,-0.021032024780104495,0.007568359375,12.0,True,0.43866800375634923
sts_deconv ts_gsr W30,trend_a_placebo_line,,,,,,,,,,,-0.0694147809214495,-0.10257628112726333,-0.039874016784664575,0.0008544921875,13,,,,,,,,,,,,,,
sts_deconv ts_gsr W30,trend_b_shared_slope,,,,,,,,,,,-0.07085284769770953,-0.10179330123984612,-0.04299157998565394,0.0006103515625,13,,,,,,,,,,,,,,
