# partB6_ccs_definition.py; git=d507728
label,set,pre_dmt,pre_pcb,dmt_change,dmt_lo,dmt_hi,dmt_p,pcb_change,pcb_lo,pcb_hi,pcb_p,did,did_lo,did_hi,did_p,n_neg,share_of_pre,phase_p,phase_null_sd,fd_did,fd_lo,fd_hi,fd_p,resid_did,resid_lo,resid_hi,resid_p,resid_n_neg,survives,placebo_share
CCSpub sts ts_gsr W60,primary,-0.04802780690250467,-0.04542582147701944,0.0021201371550985436,-0.0005540107129411906,0.004847364916642862,0.166748046875,-0.002258127786587107,-0.004692233088675415,0.00016973523494886807,0.1092529296875,0.004378264941685652,0.0003615164521787776,0.008128478677886209,0.055908203125,3,-0.09116104240556784,0.005994005994005994,0.001515820903537302,0.014346739579365077,-0.007038787851562497,0.03645704179645336,0.2452392578125,0.0038789489661103685,0.00046832732843777523,0.007259031251810426,0.053466796875,2.0,True,0.515758597678129
CCSpub sts ts_gsr W60,sensitivity,-0.04802780690250467,-0.04542582147701944,0.0023393096583582654,-0.0002532585414496379,0.005007296985568226,0.1153564453125,-0.0021417878922896576,-0.004492964690101294,0.00024667188554060673,0.1080322265625,0.004481097550647922,0.0007892176585406001,0.00800019174472235,0.03564453125,3,-0.09330214806069421,0.004995004995004995,0.001486317527441568,0.019114751916666665,-0.0008026585178125139,0.04022990842482142,0.1082763671875,0.0039663821683154025,0.0008279944486992744,0.00693203325614767,0.0325927734375,2.0,True,0.4779605594571304
CCSpub sts ts_gsr W60,early,-0.04802780690250467,-0.04542582147701944,0.0030830438239671763,0.0009203695586158336,0.005261129776786207,0.017578125,-0.0021064198425971977,-0.005011253031609273,0.0006559024941520956,0.1917724609375,0.005189463666564374,0.0010940975510633207,0.009272143854317856,0.031982421875,3,-0.10805123117736491,0.006993006993006993,0.001831379584900718,0.036577911,0.01568577859188987,0.059168159934002956,0.01025390625,0.0042813020512768325,0.0007665326637117766,0.00794019729723895,0.0384521484375,3.0,True,0.4059031872925183
CCSpub sts ts_gsr W60,late,-0.04802780690250467,-0.04542582147701944,0.0013498118200036407,-0.002024873721204961,0.004715377336753005,0.466552734375,-0.0023794941417790336,-0.005066654484989957,0.0004722959524611946,0.1297607421875,0.0037293059617826744,-0.0010765746417977621,0.008176110810076553,0.1505126953125,4,-0.07764889138813019,0.027972027972027972,0.0017004605304710336,-0.0034381975571428575,-0.029848601319791657,0.02307142915680058,0.806884765625,0.003557066497977196,-0.0005963062668398457,0.007302332693471554,0.11279296875,3.0,False,0.638052808260761
CCSpub sts ts_gsr W60,trend_a_placebo_line,,,,,,,,,,,0.00406117728796529,0.0006114096051308061,0.007634829133864231,0.048583984375,3,,,,,,,,,,,,,,
CCSpub sts ts_gsr W60,trend_b_shared_slope,,,,,,,,,,,0.004416718766008172,0.001562595768331798,0.007396779116569824,0.0107421875,2,,,,,,,,,,,,,,
CCSpub xtx+yty ts_gsr W60,primary,1.2162068752112236,1.196773959389324,-0.05132648593498775,-0.0892789390231963,-0.010123976884223436,0.0313720703125,0.038074182287672786,0.0076594674636683594,0.07025598841893718,0.035888671875,-0.08940066822266055,-0.143055946344314,-0.0382434173326785,0.0054931640625,12,-0.0735077806620144,0.001998001998001998,0.02351262576228101,0.014346739579365077,-0.007038787851562497,0.03645704179645336,0.2452392578125,-0.06975481248881371,-0.10757778983610308,-0.028130920753221298,0.007080078125,12.0,True,0.42588252464562737
CCSpub xtx+yty ts_gsr W60,sensitivity,1.2162068752112236,1.196773959389324,-0.051001145185073433,-0.08860930384963885,-0.010346523260632606,0.0316162109375,0.028796742529728143,-0.00031921359392701146,0.05785540756620309,0.0902099609375,-0.07979788771480158,-0.13272013490961468,-0.027708300499975774,0.0106201171875,12,-0.06561210049149142,0.001998001998001998,0.022570101624362612,0.019114751916666665,-0.0008026585178125139,0.04022990842482142,0.1082763671875,-0.05844144726880279,-0.09481739937658798,-0.01859692944736362,0.0155029296875,12.0,True,0.3608709873705928
CCSpub xtx+yty ts_gsr W60,early,1.2162068752112236,1.196773959389324,-0.08855047010944701,-0.12493858173366372,-0.04996454359461958,0.0015869140625,0.02158696053870814,-0.011417094294824563,0.05338413643550287,0.2269287109375,-0.11013743064815515,-0.16314782505173872,-0.059235765798022096,0.0015869140625,12,-0.09055813849845827,0.000999000999000999,0.02818454670365982,0.036577911,0.01568577859188987,0.059168159934002956,0.01025390625,-0.084062420038841,-0.12643319149377427,-0.042114191513890196,0.0028076171875,11.0,True,0.19600021910507254
CCSpub xtx+yty ts_gsr W60,late,1.2162068752112236,1.196773959389324,-0.021547298595420403,-0.06749734854696188,0.02883155654590591,0.4024658203125,0.05126395968684446,0.020022724874501872,0.08587686684851571,0.00927734375,-0.07281125828226487,-0.1320585613348323,-0.01363071584215738,0.0333251953125,10,-0.05986749439285931,0.002997002997002997,0.025707400162931826,-0.0034381975571428575,-0.029848601319791657,0.02307142915680058,0.806884765625,-0.05830872644879187,-0.10192449451429117,-0.007221582629465722,0.0367431640625,12.0,True,0.704066388855845
